Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
65,Tommy Jordan,http://www.gatorzone.com/football/bios.php?year=2012&player_id=308,OL,"6' 4""",306,RFR,SQ,"Ridgefield, CONN",Ridgefield,CONN,Ridgefield,,,,University of Florida,2012-2013
41,Hunter Joyer,http://www.gatorzone.com/football/bios.php?year=2012&player_id=298,RB,"5' 10""",249,SO,1L,"Wesley Chapel, FL",Wesley Chapel,FL,Tampa Catholic,,,,University of Florida,2012-2013
49,Darrin Kitchens,http://www.gatorzone.com/football/bios.php?year=2012&player_id=256,LB,"6' 1""",229,JR,2L,"Homestead, FL",Homestead,FL,Homestead,,,,University of Florida,2012-2013
64,Kyle Koehne,http://www.gatorzone.com/football/bios.php?year=2012&player_id=220,OL,"6' 5""",311,RJR,2L,"Indianapolis, IND",Indianapolis,IND,Cathedral,,,,University of Florida,2012-2013
29,Rhaheim Ledbetter,http://www.gatorzone.com/football/bios.php?year=2012&player_id=341,DB,"5' 11""",206,FR,HS,"Shelby, NC",Shelby,NC,Crest Senior,,,,University of Florida,2012-2013
33,Chris Maignan,http://www.gatorzone.com/football/bios.php?year=2012&player_id=329,WR,"6' 0""",178,RJR,HS,"Miami, FL",Miami,FL,Northwest Christian Academy,,,,University of Florida,2012-2013
81,Darius Masline,http://www.gatorzone.com/football/bios.php?year=2012&player_id=343,WR,"5' 8""",168,FR,HS,"Jacksonville, FL",Jacksonville,FL,Raines,,,,University of Florida,2012-2013
20,Marcus Maye,http://www.gatorzone.com/football/bios.php?year=2012&player_id=344,DB,"5' 11""",203,FR,HS,"Melbourne, FL",Melbourne,FL,Holy Trinity Episcopal School,,,,University of Florida,2012-2013
95,Alex McCalister,http://www.gatorzone.com/football/bios.php?year=2012&player_id=345,DL,"6' 6""",222,FR,HS,"Clemmons, NC",Clemmons,NC,West Forsyth,,,,University of Florida,2012-2013
34,Lerentee McCray,http://www.gatorzone.com/football/bios.php?year=2012&player_id=190,LB,"6' 3""",249,RSR,3L,"Ocala, FL",Ocala,FL,Dunnellon,,,,University of Florida,2012-2013
