Name,Team_ID,Colors,Current_FranchiseURL,Pic_URL
Mavericks,DAL,"Blue, Silver, White",wikipedia.org/wiki/Dallas_Mavericks,http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png
Nuggets,DEN,"Light Blue, Gold, Navy",wikipedia.org/wiki/Denver_Nuggets,http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png
Raptors,TOR,"Red, Black, Silver",wikipedia.org/wiki/Toronto_Raptors,http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Toronto_Raptors.svg/400px-Toronto_Raptors.svg.png
Heat,MIA,"Black, Red, White, Gold",wikipedia.org/wiki/Miami_Heat,http://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png
Timberwolves,MIN,"Blue, Black, Silver, Green",wikipedia.org/wiki/Minnesota_Timberwolves,http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Minnesota_Timberwolves.svg/400px-Minnesota_Timberwolves.svg.png
Rockets,HOU,"Red, White, Silver",wikipedia.org/wiki/Houston_Rockets,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png
Spurs,SAS,"Black, Silver, White",wikipedia.org/wiki/San_Antonio_Spurs,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png
Trail Blazers,POR,"Red, Silver, Black, White",wikipedia.org/wiki/Portland_Trail_Blazers,http://upload.wikimedia.org/wikipedia/en/thumb/7/74/Portland_Trail_Blazers.svg/205px-Portland_Trail_Blazers.svg.png
Bulls,CHI,"Red, Black, White",wikipedia.org/wiki/Chicago_Bulls,http://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/204px-Chicago_Bulls_logo.svg.png
Bucks,MIL,"Green, Red, Silver, White",wikipedia.org/wiki/Milwaukee_Bucks,http://upload.wikimedia.org/wikipedia/en/thumb/2/20/Milwaukee_Bucks.svg/400px-Milwaukee_Bucks.svg.png
Pacers,IND,"Navy, Gold, Silver, White",wikipedia.org/wiki/Indiana_Pacers,http://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png
Clippers,LAC,"Red, Blue, White",wikipedia.org/wiki/Los_Angeles_Clippers,http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png
Lakers,LAL,"Purple, Gold, White",wikipedia.org/wiki/Los_Angeles_Lakers,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png
