,year,profootball_ref_team_year_url,team_id,year,team
110,1943,http://www.pro-football-reference.com/teams/crd/1943.htm,crd,1943,Chicago Cardinals
111,1943,http://www.pro-football-reference.com/teams/det/1943.htm,det,1943,Detroit Lions
112,1943,http://www.pro-football-reference.com/teams/gnb/1943.htm,gnb,1943,Green Bay Packers
113,1943,http://www.pro-football-reference.com/teams/nyg/1943.htm,nyg,1943,New York Giants
114,1943,http://www.pro-football-reference.com/teams/phi/1943.htm,phi,1943,Phi/Pit Eagles/Steelers
115,1943,http://www.pro-football-reference.com/teams/was/1943.htm,was,1943,Washington Redskins
116,1945,http://www.pro-football-reference.com/teams/byk/1945.htm,byk,1945,Bos/Bkn Yanks/Tigers
117,1945,http://www.pro-football-reference.com/teams/chi/1945.htm,chi,1945,Chicago Bears
118,1945,http://www.pro-football-reference.com/teams/crd/1945.htm,crd,1945,Chicago Cardinals
119,1945,http://www.pro-football-reference.com/teams/det/1945.htm,det,1945,Detroit Lions
120,1945,http://www.pro-football-reference.com/teams/gnb/1945.htm,gnb,1945,Green Bay Packers
121,1945,http://www.pro-football-reference.com/teams/nyg/1945.htm,nyg,1945,New York Giants
122,1945,http://www.pro-football-reference.com/teams/phi/1945.htm,phi,1945,Philadelphia Eagles
123,1945,http://www.pro-football-reference.com/teams/pit/1945.htm,pit,1945,Pittsburgh Steelers
124,1945,http://www.pro-football-reference.com/teams/ram/1945.htm,ram,1945,Cleveland Rams
125,1945,http://www.pro-football-reference.com/teams/was/1945.htm,was,1945,Washington Redskins
126,1946,http://www.pro-football-reference.com/teams/byk/1946.htm,byk,1946,Boston Yanks
127,1946,http://www.pro-football-reference.com/teams/chi/1946.htm,chi,1946,Chicago Bears
128,1946,http://www.pro-football-reference.com/teams/crd/1946.htm,crd,1946,Chicago Cardinals
129,1946,http://www.pro-football-reference.com/teams/det/1946.htm,det,1946,Detroit Lions
130,1946,http://www.pro-football-reference.com/teams/gnb/1946.htm,gnb,1946,Green Bay Packers
131,1946,http://www.pro-football-reference.com/teams/nyg/1946.htm,nyg,1946,New York Giants
132,1946,http://www.pro-football-reference.com/teams/phi/1946.htm,phi,1946,Philadelphia Eagles
133,1946,http://www.pro-football-reference.com/teams/pit/1946.htm,pit,1946,Pittsburgh Steelers
134,1946,http://www.pro-football-reference.com/teams/ram/1946.htm,ram,1946,Los Angeles Rams
135,1946,http://www.pro-football-reference.com/teams/was/1946.htm,was,1946,Washington Redskins
136,1947,http://www.pro-football-reference.com/teams/byk/1947.htm,byk,1947,Boston Yanks
137,1947,http://www.pro-football-reference.com/teams/chi/1947.htm,chi,1947,Chicago Bears
138,1947,http://www.pro-football-reference.com/teams/crd/1947.htm,crd,1947,Chicago Cardinals
139,1947,http://www.pro-football-reference.com/teams/det/1947.htm,det,1947,Detroit Lions
140,1947,http://www.pro-football-reference.com/teams/gnb/1947.htm,gnb,1947,Green Bay Packers
141,1947,http://www.pro-football-reference.com/teams/nyg/1947.htm,nyg,1947,New York Giants
142,1947,http://www.pro-football-reference.com/teams/phi/1947.htm,phi,1947,Philadelphia Eagles
143,1947,http://www.pro-football-reference.com/teams/pit/1947.htm,pit,1947,Pittsburgh Steelers
144,1947,http://www.pro-football-reference.com/teams/ram/1947.htm,ram,1947,Los Angeles Rams
145,1947,http://www.pro-football-reference.com/teams/was/1947.htm,was,1947,Washington Redskins
146,1948,http://www.pro-football-reference.com/teams/byk/1948.htm,byk,1948,Boston Yanks
147,1948,http://www.pro-football-reference.com/teams/chi/1948.htm,chi,1948,Chicago Bears
148,1948,http://www.pro-football-reference.com/teams/crd/1948.htm,crd,1948,Chicago Cardinals
149,1948,http://www.pro-football-reference.com/teams/det/1948.htm,det,1948,Detroit Lions
150,1948,http://www.pro-football-reference.com/teams/gnb/1948.htm,gnb,1948,Green Bay Packers
151,1948,http://www.pro-football-reference.com/teams/nyg/1948.htm,nyg,1948,New York Giants
152,1948,http://www.pro-football-reference.com/teams/phi/1948.htm,phi,1948,Philadelphia Eagles
153,1948,http://www.pro-football-reference.com/teams/pit/1948.htm,pit,1948,Pittsburgh Steelers
154,1948,http://www.pro-football-reference.com/teams/ram/1948.htm,ram,1948,Los Angeles Rams
155,1948,http://www.pro-football-reference.com/teams/was/1948.htm,was,1948,Washington Redskins
156,1949,http://www.pro-football-reference.com/teams/chi/1949.htm,chi,1949,Chicago Bears
157,1949,http://www.pro-football-reference.com/teams/crd/1949.htm,crd,1949,Chicago Cardinals
158,1949,http://www.pro-football-reference.com/teams/det/1949.htm,det,1949,Detroit Lions
159,1949,http://www.pro-football-reference.com/teams/gnb/1949.htm,gnb,1949,Green Bay Packers
160,1949,http://www.pro-football-reference.com/teams/nyg/1949.htm,nyg,1949,New York Giants
161,1949,http://www.pro-football-reference.com/teams/nyy/1949.htm,nyy,1949,New York Bulldogs
162,1949,http://www.pro-football-reference.com/teams/phi/1949.htm,phi,1949,Philadelphia Eagles
163,1949,http://www.pro-football-reference.com/teams/pit/1949.htm,pit,1949,Pittsburgh Steelers
164,1949,http://www.pro-football-reference.com/teams/ram/1949.htm,ram,1949,Los Angeles Rams
165,1949,http://www.pro-football-reference.com/teams/was/1949.htm,was,1949,Washington Redskins
166,1950,http://www.pro-football-reference.com/teams/bcl/1950.htm,bcl,1950,Baltimore Colts
167,1950,http://www.pro-football-reference.com/teams/chi/1950.htm,chi,1950,Chicago Bears
168,1950,http://www.pro-football-reference.com/teams/cle/1950.htm,cle,1950,Cleveland Browns
169,1950,http://www.pro-football-reference.com/teams/crd/1950.htm,crd,1950,Chicago Cardinals
170,1950,http://www.pro-football-reference.com/teams/det/1950.htm,det,1950,Detroit Lions
171,1950,http://www.pro-football-reference.com/teams/gnb/1950.htm,gnb,1950,Green Bay Packers
172,1950,http://www.pro-football-reference.com/teams/nyg/1950.htm,nyg,1950,New York Giants
173,1950,http://www.pro-football-reference.com/teams/nyy/1950.htm,nyy,1950,New York Yanks
174,1950,http://www.pro-football-reference.com/teams/phi/1950.htm,phi,1950,Philadelphia Eagles
175,1950,http://www.pro-football-reference.com/teams/pit/1950.htm,pit,1950,Pittsburgh Steelers
176,1950,http://www.pro-football-reference.com/teams/ram/1950.htm,ram,1950,Los Angeles Rams
177,1950,http://www.pro-football-reference.com/teams/sfo/1950.htm,sfo,1950,San Francisco 49ers
178,1950,http://www.pro-football-reference.com/teams/was/1950.htm,was,1950,Washington Redskins
179,1951,http://www.pro-football-reference.com/teams/chi/1951.htm,chi,1951,Chicago Bears
180,1951,http://www.pro-football-reference.com/teams/cle/1951.htm,cle,1951,Cleveland Browns
181,1951,http://www.pro-football-reference.com/teams/crd/1951.htm,crd,1951,Chicago Cardinals
182,1951,http://www.pro-football-reference.com/teams/det/1951.htm,det,1951,Detroit Lions
183,1951,http://www.pro-football-reference.com/teams/gnb/1951.htm,gnb,1951,Green Bay Packers
184,1951,http://www.pro-football-reference.com/teams/nyg/1951.htm,nyg,1951,New York Giants
185,1951,http://www.pro-football-reference.com/teams/nyy/1951.htm,nyy,1951,New York Yanks
186,1951,http://www.pro-football-reference.com/teams/phi/1951.htm,phi,1951,Philadelphia Eagles
187,1951,http://www.pro-football-reference.com/teams/pit/1951.htm,pit,1951,Pittsburgh Steelers
188,1951,http://www.pro-football-reference.com/teams/ram/1951.htm,ram,1951,Los Angeles Rams
189,1951,http://www.pro-football-reference.com/teams/sfo/1951.htm,sfo,1951,San Francisco 49ers
190,1951,http://www.pro-football-reference.com/teams/was/1951.htm,was,1951,Washington Redskins
191,1952,http://www.pro-football-reference.com/teams/chi/1952.htm,chi,1952,Chicago Bears
192,1952,http://www.pro-football-reference.com/teams/cle/1952.htm,cle,1952,Cleveland Browns
193,1952,http://www.pro-football-reference.com/teams/crd/1952.htm,crd,1952,Chicago Cardinals
194,1952,http://www.pro-football-reference.com/teams/det/1952.htm,det,1952,Detroit Lions
195,1952,http://www.pro-football-reference.com/teams/dtx/1952.htm,dtx,1952,Dallas Texans
196,1952,http://www.pro-football-reference.com/teams/gnb/1952.htm,gnb,1952,Green Bay Packers
197,1952,http://www.pro-football-reference.com/teams/nyg/1952.htm,nyg,1952,New York Giants
198,1952,http://www.pro-football-reference.com/teams/phi/1952.htm,phi,1952,Philadelphia Eagles
199,1952,http://www.pro-football-reference.com/teams/pit/1952.htm,pit,1952,Pittsburgh Steelers
200,1952,http://www.pro-football-reference.com/teams/ram/1952.htm,ram,1952,Los Angeles Rams
201,1952,http://www.pro-football-reference.com/teams/sfo/1952.htm,sfo,1952,San Francisco 49ers
202,1952,http://www.pro-football-reference.com/teams/was/1952.htm,was,1952,Washington Redskins
203,1953,http://www.pro-football-reference.com/teams/chi/1953.htm,chi,1953,Chicago Bears
204,1953,http://www.pro-football-reference.com/teams/cle/1953.htm,cle,1953,Cleveland Browns
205,1953,http://www.pro-football-reference.com/teams/clt/1953.htm,clt,1953,Baltimore Colts
206,1953,http://www.pro-football-reference.com/teams/crd/1953.htm,crd,1953,Chicago Cardinals
207,1953,http://www.pro-football-reference.com/teams/det/1953.htm,det,1953,Detroit Lions
208,1953,http://www.pro-football-reference.com/teams/gnb/1953.htm,gnb,1953,Green Bay Packers
209,1953,http://www.pro-football-reference.com/teams/nyg/1953.htm,nyg,1953,New York Giants
210,1953,http://www.pro-football-reference.com/teams/phi/1953.htm,phi,1953,Philadelphia Eagles
211,1953,http://www.pro-football-reference.com/teams/pit/1953.htm,pit,1953,Pittsburgh Steelers
212,1953,http://www.pro-football-reference.com/teams/ram/1953.htm,ram,1953,Los Angeles Rams
213,1953,http://www.pro-football-reference.com/teams/sfo/1953.htm,sfo,1953,San Francisco 49ers
214,1953,http://www.pro-football-reference.com/teams/was/1953.htm,was,1953,Washington Redskins
215,1954,http://www.pro-football-reference.com/teams/chi/1954.htm,chi,1954,Chicago Bears
