ID_Sport,ID_School,Season,Player,First_Name,Last_Name,Height,Weight,Year,Hometown/Prior_School,Player_URL
MTEN,ND,2009-2010,Blas Moros,Blas,Moros,6/1/00,178,FR,"Boca Raton, FL/Pine Crest School",http://www.und.com/sports/m-tennis/mtt/moros_blas00.html
MTEN,ND,2009-2010,Daniel Stahl,Daniel,Stahl,5/10/13,150,JR,"Bethesda, MD/Walt Whitman H.S.",http://www.und.com/sports/m-tennis/mtt/stahl_daniel00.html
MTEN,ND,2009-2010,Spencer Talmadge,Spencer,Talmadge,6/2/13,230,FR,"Hillsborough, CA/Junipero Serra",http://www.und.com/sports/m-tennis/mtt/talmadge_spencer00.html
MTEN,ND,2009-2010,Sean Tan,Sean,Tan,5/8/13,140,JR,"Lakewood, CA/Lakewood H.S.",http://www.und.com/sports/m-tennis/mtt/tan_sean00.html
MTEN,ND,2009-2010,Casey Watt,Casey,Watt,6/1/00,165,SO,"Gibsonia, PA/Pine-Richland",http://www.und.com/sports/m-tennis/mtt/watt_casey00.html
MTEN,ND,2009-2010,Takashi Yoshii,Takashi,Yoshii,5/9/13,150,SR,"Tokyo, Japan/The American School in Japan",http://www.und.com/sports/m-tennis/mtt/yoshii_takashi00.html
MTEN,ND,2010-2011,David Anderson,David,Anderson,5/11/13,155,SR,"Sandwich, MA/Sandwich",http://www.und.com/sports/m-tennis/mtt/anderson_david00.html
MTEN,ND,2010-2011,Greg Andrews,Greg,Andrews,5/11/13,165,FR,"Richland, MI/Gull Lake",http://www.und.com/sports/m-tennis/mtt/andrews_greg00.html
MTEN,ND,2010-2011,Ryan Bandy,Ryan,Bandy,6/1/13,170,FR,"Cincinnati, OH/St. Xavier",http://www.und.com/sports/m-tennis/mtt/bandy_ryan00.html
MTEN,ND,2010-2011,Daven Brodess,Daven,Brodess,6/1/13,165,JR,"Austin, TX/Lake Travis",http://www.und.com/sports/m-tennis/mtt/brodess_daven00.html
MTEN,ND,2010-2011,Tyler Davis,Tyler,Davis,5/11/13,160,SR,"Nashville, TN/Father Ryan",http://www.und.com/sports/m-tennis/mtt/davis_tyler00.html
MTEN,ND,2010-2011,Matt Dooley,Matt,Dooley,5/10/13,155,FR,"New Braunfels, TX/New Braunfels",http://www.und.com/sports/m-tennis/mtt/dooley_matt00.html
MTEN,ND,2010-2011,Niall Fitzgerald,Niall,Fitzgerald,5/11/13,155,JR,"Wicklow, Ireland/Blackrock College",http://www.und.com/sports/m-tennis/mtt/fitzgerald_niall00.html
MTEN,ND,2010-2011,Stephen Havens,Stephen,Havens,5/11/13,170,SR,"Cincinnati, OH/Cincinnati Hills Christian Academy",http://www.und.com/sports/m-tennis/mtt/havens_stephen00.html
MTEN,ND,2010-2011,Matt Johnson,Matt,Johnson,5/11/13,155,SR,"Portage, MI/Portage Central",http://www.und.com/sports/m-tennis/mtt/johnson_matt00.html
MTEN,ND,2010-2011,Samuel Keeton,Samuel,Keeton,6/2/13,155,JR,"Kansas City, MO/Pembroke Hill",http://www.und.com/sports/m-tennis/mtt/keeton_samuel00.html
MTEN,ND,2010-2011,Bryan Kelly,Bryan,Kelly,6/1/13,185,SR,"North Oaks, MN/Mounds Park Academy",http://www.und.com/sports/m-tennis/mtt/kelly_bryan00.html
MTEN,ND,2010-2011,Michael Moore,Michael,Moore,6/2/13,180,SO,"Glenview, IL/Glenbrook South",http://www.und.com/sports/m-tennis/mtt/moore_michael00.html
MTEN,ND,2010-2011,Blas Moros,Blas,Moros,6/1/00,178,SO,"Boca Raton, FL/Pine Crest",http://www.und.com/sports/m-tennis/mtt/moros_blas00.html
MTEN,ND,2010-2011,Billy Pecor,Billy,Pecor,6/2/13,185,FR,"Scottsdale, AZ/Chaparral",http://www.und.com/sports/m-tennis/mtt/pecor_billy00.html
MTEN,ND,2010-2011,Daniel Stahl,Daniel,Stahl,5/10/13,150,SR,"Bethesda, MD/Walt Whitman",http://www.und.com/sports/m-tennis/mtt/stahl_daniel00.html
MTEN,ND,2010-2011,Spencer Talmadge,Spencer,Talmadge,6/2/13,230,SO,"Hillsborough, CA/Junipero Serra",http://www.und.com/sports/m-tennis/mtt/talmadge_spencer00.html
MTEN,ND,2010-2011,Sean Tan,Sean,Tan,5/8/13,140,SR,"Lakewood, CA/Lakewood",http://www.und.com/sports/m-tennis/mtt/tan_sean00.html
MTEN,ND,2010-2011,Casey Watt,Casey,Watt,6/1/00,165,JR,"Gibsonia, PA/Pine-Richland",http://www.und.com/sports/m-tennis/mtt/watt_casey00.html
MTEN,ND,2011-2012,Greg Andrews,Greg,Andrews,5/11/13,165,SO,"Richland, MI/Gull Lake",http://www.und.com/sports/m-tennis/mtt/andrews_greg00.html
MTEN,ND,2011-2012,Ryan Bandy,Ryan,Bandy,6/1/13,170,SO,"Cincinnati, OH/St. Xavier",http://www.und.com/sports/m-tennis/mtt/bandy_ryan00.html
MTEN,ND,2011-2012,Dougie Barnard,Dougie,Barnard,5/10/13,150,FR,"Indianapolis, IN/Brebeuf Jesuit",http://www.und.com/sports/m-tennis/mtt/barnard_dougie00.html
MTEN,ND,2011-2012,Daven Brodess,Daven,Brodess,6/1/13,165,SR,"Austin, TX/Lake Travis",http://www.und.com/sports/m-tennis/mtt/brodess_daven00.html
MTEN,ND,2011-2012,Matt Dooley,Matt,Dooley,5/10/13,155,SO,"New Braunfels, TX/New Braunfels",http://www.und.com/sports/m-tennis/mtt/dooley_matt00.html
