ID_School,ID_Sport,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL,Major,Concentration
CLEM,MBBALL,2008-2009,2,Demontez Stitt,Demontez,Stitt,G,41427,175,SO,"Matthews, NC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/stitt_demontez00.html,"Parks, Recreation & Tourism Management",
CLEM,MBBALL,2008-2009,12,Raymond Sykes,Raymond,Sykes,C/F,41434,220,SR,"Jacksonville, FL",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/sykes_raymond00.html,Sociology,
CLEM,MBBALL,2008-2009,44,Jesse Yanutola,Jesse,Yanutola,F,41429,215,SR,"Tega Cay, SC",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/yanutola_jesse00.html,Computer Engineering,
CLEM,MBBALL,2008-2009,11,Andre Young,Andre,Young,G,41403,160,FR,"Albany, GA",http://web.archive.org/web/20090401153854/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/young_andre00.html,Computer Information Systems,
CLEM,MBBALL,2007-2008,5,Zavier Anderson,Zavier,Anderson,G,41403,160,FR,"Greenville, SC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/anderson_zavier00.html,Computer Science,
CLEM,MBBALL,2007-2008,4,Jonah Baize,Jonah,Baize,G/F,41431,200,FR,"Evansville, IN",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/baize_jonah00.html,Pre-Business,
CLEM,MBBALL,2007-2008,35,Trevor Booker,Trevor,Booker,C/F,41432,240,SO,"Whitmire, SC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/booker_trevor00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2007-2008,45,Jerai Grant,Jerai,Grant,F,41433,215,FR,"Bowie, MD",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/grant_jerai00.html,English,
CLEM,MBBALL,2007-2008,25,Cliff Hammonds,Cliff,Hammonds,G,41428,200,SR,"Cairo, GA",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hammonds_cliff00.html,Architecture,
CLEM,MBBALL,2007-2008,40,James Mays,James,Mays,F,41434,230,SR,"Garner, NC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/mays_james00.html,"Parks, Recreation & Tourism Management ","Community Recreation, Sport & Camp Management"
CLEM,MBBALL,2007-2008,24,Matt Morris,Matt,Morris,F,41430,200,SR,"Georgetown, SC",http://web.archive.org/web/20080613203153/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/morris_matt00.html,Marketing,
