ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Last_School,Last_School,Player_Bio
OSU,MBBALL,2008-2009,34,Mark Titus,Mark,Titus,G,6/4/13,210,Jr.,"Brownsburg, Ind. (Brownsburg)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/titus_mark00.html
OSU,MBBALL,2008-2009,40,J.J. Grycko,J.J.,Grycko,F,6/9/13,210,Fr.,"Cincinnati, Ohio (Moeller)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/grycko_jj00.html
OSU,MBBALL,2008-2009,44,William Buford,William,Buford,G,6/5/13,190,Fr.,"Toledo, Ohio (Libbey)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/buford_william00.html
OSU,MBBALL,2008-2009,45,Zisis Sarikopoulos,Zisis,Sarikopoulos,C,7/1/00,265,So.,"Athens, Greece (UAB) (Olympiakos)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/sarikopoulos_zisis00.html
OSU,MBBALL,2008-2009,52,Dallas Lauderdale,Dallas,Lauderdale,F,6/8/13,255,So.,"Solon, Ohio (Solon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lauderdale_dallas00.html
OSU,MBBALL,2007-2008,2,Eric Wallace,Eric,Wallace,G/F,6/5/13,215,Fr.,"Winston-Salem, N.C. (Hargrave Military Academy)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/wallace_eric00.html
OSU,MBBALL,2007-2008,4,P.J. Hill,P.J.,Hill,G,6/1/13,165,So.,"Minneapolis, Minn. (Midland JC) (Minneapolis North)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/hill_pj00.html
OSU,MBBALL,2007-2008,13,Danny Peters,Danny,Peters,G,6/2/13,175,Jr.,"New Albany, Ohio (New Albany)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/peters_danny00.html
OSU,MBBALL,2007-2008,14,Jamar Butler,Jamar,Butler,G,6/1/13,195,Sr.,"Lima, Ohio (Shawnee)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/butler_jamar00.html
OSU,MBBALL,2007-2008,15,Kyle Madsen,Kyle,Madsen,C,6/9/13,240,So.,"Dublin, Ohio (Vanderbilt) (Dublin Coffman)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/madsen_kyle00.html
OSU,MBBALL,2007-2008,21,Evan Turner,Evan,Turner,G/F,6/6/13,200,Fr.,"Chicago, Ill. (St. Joseph's)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/turner_evan00.html
OSU,MBBALL,2007-2008,23,David Lighty,David,Lighty,G/F,6/5/13,215,So.,"Cleveland, Ohio (Villa Angela-St. Joseph)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lighty_david00.html
OSU,MBBALL,2007-2008,31,Kosta Koufos,Kosta,Koufos,F/C,7/1/00,265,Fr.,"Canton, Ohio (GlenOak)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/koufos_kosta00.html
OSU,MBBALL,2007-2008,33,Jon Diebler,Jon,Diebler,G,6/6/13,200,Fr.,"Upper Sandusky, Ohio (Upper Sandusky)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/diebler_jon00.html
OSU,MBBALL,2007-2008,34,Mark Titus,Mark,Titus,G,6/4/13,210,So.,"Brownsburg, Ind. (Brownsburg)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/titus_mark00.html
OSU,MBBALL,2007-2008,42,Matt Terwilliger,Matt,Terwilliger,F/C,6/9/13,245,Sr.,"Troy, Ohio (Troy)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/terwilliger_matt00.html
OSU,MBBALL,2007-2008,45,Othello Hunter,Othello,Hunter,F,6/8/13,225,Sr.,"Winston-Salem, N.C. (Hillsborough, C.C.) (R.J. Reynolds)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/hunter_othello00.html
OSU,MBBALL,2007-2008,52,Dallas Lauderdale,Dallas,Lauderdale,F,6/8/13,260,Fr.,"Solon, Ohio (Solon)",,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lauderdale_dallas00.html
OSU,MBBALL,2006-2007,1,"Mike Conley, Jr.",Mike,"Conley, Jr.",G,6/1/13,175,Fr.,"Indianapolis, Ind.",Lawrence North,"http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/conley, jr._mike00.html"
OSU,MBBALL,2006-2007,3,Ivan Harris,Ivan,Harris,F,6/7/13,215,Sr.,"Springfield, Ohio",Oak Hill (Va.) Academy,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/harris_ivan00.html
OSU,MBBALL,2006-2007,12,Ron Lewis,Ron,Lewis,G,6/4/13,195,Sr.,"Columbus, Ohio",Brookhaven,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lewis_ron00.html
OSU,MBBALL,2006-2007,14,Jamar Butler,Jamar,Butler,G,6/2/13,200,Jr.,"Lima, Ohio",Shawnee,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/butler_jamar00.html
OSU,MBBALL,2006-2007,15,Kyle Madsen,Kyle,Madsen,C,6/10/13,230,So.,"Dublin, Ohio",Dublin Coffman/Vanderbilt,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/madsen_kyle00.html
OSU,MBBALL,2006-2007,20,Greg Oden,Greg,Oden,C,7/1/13,255,Fr.,"Indianapolis, Ind.",Lawrence North,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/oden_greg00.html
OSU,MBBALL,2006-2007,23,David Lighty,David,Lighty,G/F,6/5/13,225,Fr.,"Cleveland, Ohio",Villa Angela-St. Joseph,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/lighty_david00.html
OSU,MBBALL,2006-2007,31,Daequan Cook,Daequan,Cook,G,6/5/13,210,Fr.,"Dayton, Ohio",Dunbar,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/cook_daequan00.html
OSU,MBBALL,2006-2007,33,Samuel Payne,Samuel,Payne,G,6/2/13,185,So.,"Columbus, Ohio",Linden McKinley,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/payne_samuel00.html
OSU,MBBALL,2006-2007,42,Matt Terwilliger,Matt,Terwilliger,F/C,6/8/13,230,Jr.,"Troy, Ohio",Troy,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/terwilliger_matt00.html
OSU,MBBALL,2006-2007,45,Othello Hunter,Othello,Hunter,F,6/9/13,225,Jr.,"Winston-Salem, N.C.",Hillsborough CC/R.J. Reynolds,http://www.ohiostatebuckeyes.com/sports/m-baskbl/mtt/hunter_othello00.html
OSU,MBBALL,2005-2006,0,J.J. Sullinger,J.J.,Sullinger,G,6/5/13,215,Sr.-5th,"Columbus, Ohio",Thomas Worthington/Arkansas,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/sullinger_jj00.html
OSU,MBBALL,2005-2006,3,Ivan Harris,Ivan,Harris,F,6/7/13,215,Jr.,"Springfield, Ohio",Oak Hill (Va.) Academy,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/harris_ivan00.html
OSU,MBBALL,2005-2006,12,Ron Lewis,Ron,Lewis,G,6/4/13,195,Jr.,"Columbus, Ohio",Brookhaven,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/lewis_ron00.html
OSU,MBBALL,2005-2006,14,Jamar Butler,Jamar,Butler,G,6/2/13,200,So.,"Lima, Ohio",Shawnee,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/butler_jamar00.html
OSU,MBBALL,2005-2006,21,Brayden Bell,Brayden,Bell,C,6/8/13,255,Fr.,"Salt Lake City, Utah",Brighton,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/bell_brayden00.html
OSU,MBBALL,2005-2006,23,Je'Kel Foster,Je'Kel,Foster,G,6/3/13,210,Sr.,"Natchez, Miss.",Natchez/Chipola J.C.,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/foster_jekel00.html
OSU,MBBALL,2005-2006,32,Sylvester Mayes,Sylvester,Mayes,G,6/1/13,190,Jr.,"South Bend, Ind.",Clay/Redlands C.C.,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/mayes_sylvester00.html
OSU,MBBALL,2005-2006,33,Samuel Payne,Samuel,Payne,G,6/2/13,185,Fr.,"Columbus, Ohio",Linden McKinley,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/payne_samuel00.html
OSU,MBBALL,2005-2006,34,Terence Dials,Terence,Dials,F/C,6/9/13,260,Sr.-5th,"Youngstown, Ohio",Boardman,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/dials_terence00.html
OSU,MBBALL,2005-2006,40,Matt Sylvester,Matt,Sylvester,F,6/7/13,230,Sr.-5th,"Cincinnati, Ohio",Moeller,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/sylvester_matt00.html
OSU,MBBALL,2005-2006,42,Matt Terwilliger,Matt,Terwilliger,F/C,6/8/13,230,So.,"Troy, Ohio",Troy,http://web.archive.org/web/20051217125424/http://ohiostatebuckeyes.collegesports.com/sports/m-baskbl/mtt/terwilliger_matt00.html
