ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
USC,MBBALL,2009-2010,5,Nikola Vucevic,Vucevic,Nikola,Forward,6/10/13,240,SO,"Bar, Montenegro (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/vucevic_nikola00.html,
USC,MBBALL,2009-2010,4,Leonard Washington,Washington,Leonard,Forward,6/7/13,230,SO,"Lake Charles, L.A. (Marion)",http://www.usctrojans.com/sports/m-baskbl/mtt/washington_leonard00.html,
USC,MBBALL,2008-2009,43,Kasey Cunningham,Cunningham,Kasey,Forward,6/7/13,225,RS SO,"Albuquerque, N.M. (Cibola High)",http://www.usctrojans.com/sports/m-baskbl/mtt/cunningham_kasey00.html,
USC,MBBALL,2008-2009,10,DeMar DeRozan,DeRozan,DeMar,Forward,6/7/13,220,FR,"Compton, Calif. (Compton)",http://www.usctrojans.com/sports/m-baskbl/mtt/derozan_demar00.html,
USC,MBBALL,2008-2009,14,Mamadou Diarra,Diarra,Mamadou,Forward,7/1/00,230,RS FR,"Bamako, Mali (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/diarra_mamadou00.html,
USC,MBBALL,2008-2009,3,James Dunleavy,Dunleavy,James,Guard,6/6/13,195,RS FR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/dunleavy_james00.html,
USC,MBBALL,2008-2009,22,Taj Gibson,Gibson,Taj,Forward,6/9/13,225,JR,"Brooklyn, N.Y. (Calvary Christian High)",http://www.usctrojans.com/sports/m-baskbl/mtt/gibson_taj00.html,
USC,MBBALL,2008-2009,30,Terence Green,Green,Terence,Guard,5/11/13,180,SR,"Aliso Viejo, Calif. (Aliso Niguel)",http://www.usctrojans.com/sports/m-baskbl/mtt/green_terence00.html,
USC,MBBALL,2008-2009,13,Daniel Hackett,Hackett,Daniel,Guard,6/5/13,215,JR,"Pesaro, Italy (St. John Bosco (CA))",http://www.usctrojans.com/sports/m-baskbl/mtt/hackett_daniel00.html,
USC,MBBALL,2008-2009,0,Marcus Johnson,Johnson,Marcus,Forward,6/6/13,210,SR,"Los Angeles, Calif. (Westchester)",http://www.usctrojans.com/sports/m-baskbl/mtt/johnson_marcus00.html,
USC,MBBALL,2008-2009,21,Dwight Lewis,Lewis,Dwight,Guard,6/5/13,215,JR,"Metairie, La. (Taylor High (TX))",http://www.usctrojans.com/sports/m-baskbl/mtt/lewis_dwight00.html,
USC,MBBALL,2008-2009,34,J.J. Meyers,Meyers,J.J.,Guard,6/2/13,175,JR,"Hidden Hills, Calif. (Campbell Hall)",http://www.usctrojans.com/sports/m-baskbl/mtt/meyers_j.j.00.html,
USC,MBBALL,2008-2009,15,Percy Miller,Miller,Percy,Guard,5/11/13,170,FR,"Beverly Hills, Calif. (Beverly Hills)",http://www.usctrojans.com/sports/m-baskbl/mtt/miller_percy00.html,
USC,MBBALL,2008-2009,20,Marcus Simmons,Simmons,Marcus,Guard,6/6/13,200,SO,"Alexandria, La. (Peabody High)",http://www.usctrojans.com/sports/m-baskbl/mtt/simmons_marcus00.html,
USC,MBBALL,2008-2009,35,Donte Smith,Smith,Donte,Guard,5/11/13,180,RS SO,"Pomona, Calif. (Diamond Ranch)",http://www.usctrojans.com/sports/m-baskbl/mtt/smith_donte00.html,
USC,MBBALL,2008-2009,1,Alex Stepheson,Stepheson,Alex,Forward,6/9/13,235,JR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/stepheson_alex00.html,
USC,MBBALL,2008-2009,5,Nikola Vucevic,Vucevic,Nikola,Forward,6/10/13,220,FR,"Bar, Montenegro (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/vucevic_nikola00.html,
USC,MBBALL,2008-2009,4,Leonard Washington,Washington,Leonard,Forward,6/7/13,230,FR,"Lake Charles, L.A. (Marion)",http://www.usctrojans.com/sports/m-baskbl/mtt/washington_leonard00.html,
USC,MBBALL,2008-2009,2,Ryan Wetherell,Wetherell,Ryan,Guard,5/11/13,175,JR,"Calgary, Alberta, CN (Sr. Winston Churchill)",http://www.usctrojans.com/sports/m-baskbl/mtt/wetherell_ryan00.html,
USC,MBBALL,2008-2009,23,Keith Wilkinson,Wilkinson,Keith,Forward,6/10/13,225,SR,"Mission Viejo, Calif. (Capistrano Valley)",http://www.usctrojans.com/sports/m-baskbl/mtt/wilkinson_keith00.html,
USC,MBBALL,2007-2008,0,Kyle Austin,Austin,Kyle,Forward,6/7/13,205,SO,"Pasadena, Calif. (Pasadena High)",http://www.usctrojans.com/sports/m-baskbl/mtt/austin_kyle00.html,
