ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Height_Feet,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,89,John Carlson,Carlson,John,Tight End,TE,6'6,78,6.4999974,254,JR,"Litchfield, MN",Litchfield,MN,Litchfield,http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2005-2006,31,Jake Carney,Carney,Jake,Defensive Back,DB,6'0,72,5.9999976,187,SR,"Lexington, KY",Lexington,KY,Lexington Catholic,http://www.und.com/sports/m-footbl/mtt/carney_jake00.html
ND,FBALL,2005-2006,93,Dan Chervanick,Chervanick,Dan,Defensive Line,DL,6'1,73,6.0833309,259,SR,"Leesport, PA",Leesport,PA,Holy Name,http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
ND,FBALL,2005-2006,40,Maurice Crum Jr.,Crum Jr.,Maurice,Linebacker,LB,6'0,72,5.9999976,220,SO,"Riverview, FL",Riverview,FL,Tamba Bay Tech,http://www.und.com/sports/m-footbl/mtt/crumjr_maurice00.html
ND,FBALL,2005-2006,60,Casey Cullen,Cullen,Casey,Defensive Line,DL,6'1,73,6.0833309,238,JR,"Victoria, TX",Victoria,TX,St. Joseph,http://www.und.com/sports/m-footbl/mtt/cullen_casey00.html
ND,FBALL,2005-2006,72,Paul Duncan,Duncan,Paul,Offensive Line,OL,6'7,79,6.5833307,292,FR,"Dallas, GA",Dallas,GA,East Paulding,http://www.und.com/sports/m-footbl/mtt/duncan_paul00.html
ND,FBALL,2005-2006,24,Brandon Erickson,Erickson,Brandon,Wide Receiver,WR,6'0,72,5.9999976,178,SO,"Marlboro, NJ",Marlboro,NJ,Marlboro,http://www.und.com/sports/m-footbl/mtt/erickson_brandon00.html
ND,FBALL,2005-2006,88,Anthony Fasano,Fasano,Anthony,Tight End,TE,6'5,77,6.4166641,255,SR,"Verona, NJ",Verona,NJ,Verona,http://www.und.com/sports/m-footbl/mtt/fasano_anthony00.html
ND,FBALL,2005-2006,15,Leo Ferrine,Ferrine,Leo,Defensive Back,DB,6'0,72,5.9999976,186,SO,"Springfield, NJ",Springfield,NJ,St. Peter's Prep,http://www.und.com/sports/m-footbl/mtt/ferrine_leo00.html
ND,FBALL,2005-2006,54,David Fitzgerald,Fitzgerald,David,Offensive Line,OL,6'4,76,6.3333308,293,SR,"Godfrey, IL",Godfrey,IL,Marquette Catholic,http://www.und.com/sports/m-footbl/mtt/fitzgerald_david00.html
ND,FBALL,2005-2006,19,D.J. Fitzpatrick,Fitzpatrick,D.J.,Kicker/Punter,P/K,6'2,74,6.1666642,206,SR,"Granger, IN",Granger,IN,Marian,http://www.und.com/sports/m-footbl/mtt/fitzpatrick_dj00.html
ND,FBALL,2005-2006,87,Marcus Freeman,Freeman,Marcus,Tight End,TE,6'3,75,6.2499975,245,SR,"St. Paul, MN",St. Paul,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/freeman_marcus00.html
ND,FBALL,2005-2006,75,Chris Frome,Frome,Chris,Defensive Line,DL,6'5,77,6.4166641,268,SR,"Saugus, CA",Saugus,CA,Newhall Hart,http://www.und.com/sports/m-footbl/mtt/frome_chris00.html
ND,FBALL,2005-2006,45,Carl Gioia,Gioia,Carl,Kicker,K,5'11,71,5.9166643,183,JR,"Valparaiso, IN",Valparaiso,IN,Valparaiso,http://www.und.com/sports/m-footbl/mtt/gioia_carl00.html
ND,FBALL,2005-2006,17,Dan Gorski,Gorski,Dan,Quarterback,QB,6'3,75,6.2499975,196,FR,"Omaha, NE",Omaha,NE,Creighton Prep,http://www.und.com/sports/m-footbl/mtt/gorski_dan00.html
ND,FBALL,2005-2006,11,David Grimes,Grimes,David,Wide Receiver,WR,6'0,72,5.9999976,170,FR,"Detroit, MI",Detroit,MI,DePorres,http://www.und.com/sports/m-footbl/mtt/grimes_david00.html
ND,FBALL,2005-2006,92,Derrell Hand,Hand,Derrell,Defensive Line,DL,6'3,75,6.2499975,301,FR,"Philadelphia, PA",Philadelphia,PA,West Catholic,http://www.und.com/sports/m-footbl/mtt/hand_derrell00.html
ND,FBALL,2005-2006,36,Brandon Harris,Harris,Brandon,Defensive Back,DB,6'0,72,5.9999976,198,SR,"New Orleans, LA",New Orleans,LA,Benjamin Franklin,http://www.und.com/sports/m-footbl/mtt/harris_brandon00.html
ND,FBALL,2005-2006,68,Ryan Harris,Harris,Ryan,Offensive Line,OL,6'5,77,6.4166641,288,JR,"St. Paul, MN",St. Paul,MN,Cretin Derham Hall,http://www.und.com/sports/m-footbl/mtt/harris_ryan00.html
ND,FBALL,2005-2006,29,LaBrose Hedgemon II,Hedgemon II,LaBrose,Defensive Back,DB,5'9,69,5.7499977,190,JR,"Hoover, AL",Hoover,AL,Hoover,http://www.und.com/sports/m-footbl/mtt/hedgemonii_labrose01.html
ND,FBALL,2005-2006,6,Ray Herring,Herring,Ray,Defensive Back,DB,6'0,72,5.9999976,199,FR,"Melbourne, FL",Melbourne,FL,Holy Trinity,http://www.und.com/sports/m-footbl/mtt/herring_ray00.html
ND,FBALL,2005-2006,85,Joey Hiben,Hiben,Joey,Tight End,TE,6'4,76,6.3333308,253,FR,"Chaska, MN",Chaska,MN,Waconia,http://www.und.com/sports/m-footbl/mtt/hiben_joey00.html
ND,FBALL,2005-2006,1,D.J. Hord,Hord,D.J.,Wide Receiver,WR,6'1,73,6.0833309,198,FR,"Lee's Summit, MO",Lee's Summit,MO,Rockhurst,http://www.und.com/sports/m-footbl/mtt/hord_dj00.html
ND,FBALL,2005-2006,33,Justin Hoskins,Hoskins,Justin,Running Back,RB,5'11,71,5.9166643,186,SO,"Grand Rapids, MI",Grand Rapids,MI,Creston,http://www.und.com/sports/m-footbl/mtt/hoskins_justin00.html
ND,FBALL,2005-2006,39,Brandon Hoyte,Hoyte,Brandon,Linebacker,LB,6'0,72,5.9999976,236,SR,"Parlin, NJ",Parlin,NJ,Sayreville War Memorial,http://www.und.com/sports/m-footbl/mtt/hoyte_brandon00.html
ND,FBALL,2005-2006,26,Wade Iams,Iams,Wade,Defensive Back,DB,5'9,69,5.7499977,188,SO,"Mishawaka, IN",Mishawaka,IN,Penn,http://www.und.com/sports/m-footbl/mtt/iams_wade00.html
ND,FBALL,2005-2006,8,Junior Jabbie,Jabbie,Junior,Running Back,RB,6'0,72,5.9999976,188,SO,"Parlin, NJ",Parlin,NJ,The Hun School,http://www.und.com/sports/m-footbl/mtt/jabbie_junior00.html
ND,FBALL,2005-2006,61,J.J. Jansen,Jansen,J.J.,Snapper,LS,6'3,75,6.2499975,242,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/jansen_jj00.html
ND,FBALL,2005-2006,32,Jeff Jenkins,Jenkins,Jeff,Running Back,RB,6'0,72,5.9999976,232,SR,"Ann Arbor, MI",Ann Arbor,MI,Huron,http://www.und.com/sports/m-footbl/mtt/jenkins_jeff00.html
ND,FBALL,2005-2006,69,Neil Kennedy,Kennedy,Neil,Defensive Line,DL,5'11,71,5.9166643,260,SO,"Phoenix, AZ",Phoenix,AZ,Brophy Prep,http://www.und.com/sports/m-footbl/mtt/kennedy_neil00.html
ND,FBALL,2005-2006,35,Tim Kenney,Kenney,Tim,Defensive Back,DB,6'0,72,5.9999976,180,JR,"Belvidere, IL",Belvidere,IL,Belvidere,http://www.und.com/sports/m-footbl/mtt/kenney_tim00.html
ND,FBALL,2005-2006,96,Pat Kuntz,Kuntz,Pat,Defensive Line,DL,6'2,74,6.1666642,267,FR,"Indianapolis, IN",Indianapolis,IN,Roncalli,http://www.und.com/sports/m-footbl/mtt/kuntz_pat00.html
ND,FBALL,2005-2006,20,Terrail Lambert,Lambert,Terrail,Defensive Back,DB,5'11,71,5.9166643,188,SO,"Oxnard, CA",Oxnard,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/lambert_terrail00.html
ND,FBALL,2005-2006,66,Derek Landri,Landri,Derek,Defensive Line,DL,6'3,75,6.2499975,263,SR,"Concord, CA",Concord,CA,De La Salle,http://www.und.com/sports/m-footbl/mtt/landri_derek00.html
ND,FBALL,2005-2006,98,Trevor Laws,Laws,Trevor,Defensive Line,DL,6'1,73,6.0833309,293,JR,"Burnsville, MN",Burnsville,MN,Apple Valley,http://www.und.com/sports/m-footbl/mtt/laws_trevor00.html
ND,FBALL,2005-2006,34,Tommie Lee,Lee,Tommie,Defensive Back,DB,6'2,74,6.1666642,200,JR,"Milwaukee, WI",Milwaukee,WI,Pius XI,http://www.und.com/sports/m-footbl/mtt/lee_tommie00.html
ND,FBALL,2005-2006,73,Mark LeVoir,LeVoir,Mark,Offensive Line,OL,6'7,79,6.5833307,311,SR,"Eden Prairie, MN",Eden Prairie,MN,Eden Prairie,http://www.und.com/sports/m-footbl/mtt/levoir_mark01.html
ND,FBALL,2005-2006,27,John Lyons,Lyons,John,Running Back,RB,6'1,73,6.0833309,205,JR,"Sioux Falls, SD",Sioux Falls,SD,O'Gorman,http://www.und.com/sports/m-footbl/mtt/lyons_john01.html
ND,FBALL,2005-2006,79,Brian Mattes,Mattes,Brian,Offensive Line,OL,6'6,78,6.4999974,285,SR,"Larksville, PA",Larksville,PA,Wyoming Valley West,http://www.und.com/sports/m-footbl/mtt/mattes_brian00.html
ND,FBALL,2005-2006,46,Corey Mays,Mays,Corey,Linebacker,LB,6'1,73,6.0833309,234,SR,"Chicago, IL",Chicago,IL,Morgan Park,http://www.und.com/sports/m-footbl/mtt/mays_corey00.html
ND,FBALL,2005-2006,28,Kyle McCarthy,McCarthy,Kyle,Defensive Back,DB,6'0,72,5.9999976,189,FR,"Youngstown, OH",Youngstown,OH,Cardinal Mooney,http://www.und.com/sports/m-footbl/mtt/mccarthy_kyle00.html
ND,FBALL,2005-2006,35,Ashley McConnell,McConnell,Ashley,Running Back,RB,6'0,72,5.9999976,247,JR,"Adairsville, GA",Adairsville,GA,Adairsville,http://www.und.com/sports/m-footbl/mtt/mcconnell_ashley00.html
ND,FBALL,2005-2006,5,Rhema McKnight,McKnight,Rhema,Wide Receiver,WR,6'2,74,6.1666642,207,SR,"La Palma, CA",La Palma,CA,Kennedy,http://www.und.com/sports/m-footbl/mtt/mcknight_rhema00.html
ND,FBALL,2005-2006,37,Matt Mitchell,Mitchell,Matt,Defensive Back,DB,5'8,68,5.6666644,187,SR,"Memphis, TN",Memphis,TN,Christian Brothers,http://www.und.com/sports/m-footbl/mtt/mitchell_matt00.html
ND,FBALL,2005-2006,12,Marty Mooney,Mooney,Marty,Quarterback,QB,6'2,74,6.1666642,207,SR,"Cincinnati, OH, OH","Cincinnati, OH",OH,St. Xavier,http://www.und.com/sports/m-footbl/mtt/mooney_marty00.html
ND,FBALL,2005-2006,76,Bob Morton,Morton,Bob,Offensive Line,OL,6'4,76,6.3333308,292,SR,"McKinney, TX",McKinney,TX,McKinney,http://www.und.com/sports/m-footbl/mtt/morton_bob00.html
ND,FBALL,2005-2006,18,Chinedum Ndukwe,Ndukwe,Chinedum,Defensive Back,DB,6'2,74,6.1666642,219,JR,"Powell, OH",Powell,OH,Dublin Coffman,http://www.und.com/sports/m-footbl/mtt/ndukwe_chinedum00.html
ND,FBALL,2005-2006,84,Michael O'Hara,O'Hara,Michael,Wide Receiver,WR,5'11,71,5.9166643,180,SR,"Bellevue, WA",Bellevue,WA,Newport,http://www.und.com/sports/m-footbl/mtt/ohara_michael00.html
ND,FBALL,2005-2006,38,Nick Possley,Possley,Nick,Wide Receiver,WR,6'1,73,6.0833309,183,SO,"Wheaton, IL",Wheaton,IL,Warrenville South,http://www.und.com/sports/m-footbl/mtt/possley_nick01.html
ND,FBALL,2005-2006,16,Rashon Powers-Neal,Powers-Neal,Rashon,Running Back,RB,6'3,75,6.2499975,238,SR,"St. Paul, MN",St. Paul,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/powers-neal_rashon01.html
ND,FBALL,2005-2006,17,Geoffrey Price,Price,Geoffrey,Punter,P,6'3,75,6.2499975,186,JR,"Hurst, TX",Hurst,TX,Colleyville Heritage,http://www.und.com/sports/m-footbl/mtt/price_geoffrey00.html
ND,FBALL,2005-2006,10,Brady Quinn,Quinn,Brady,Quarterback,QB,6'4,76,6.3333308,231,JR,"Dublin, OH",Dublin,OH,Coffman,http://www.und.com/sports/m-footbl/mtt/quinn_brady00.html
ND,FBALL,2005-2006,48,Steve Quinn,Quinn,Steve,Linebacker,LB,6'2,74,6.1666642,215,FR,"Cherry Hill, NJ",Cherry Hill,NJ,St. Joseph's (Philadelphia),http://www.und.com/sports/m-footbl/mtt/quinn_steve00.html
ND,FBALL,2005-2006,62,Scott Raridon,Raridon,Scott,Offensive Line,OL,6'7,79,6.5833307,304,SR,"Mason City, IA",Mason City,IA,Mason City,http://www.und.com/sports/m-footbl/mtt/raridon_scott00.html
ND,FBALL,2005-2006,96,Bobby Renkes,Renkes,Bobby,Kicker,K,6'0,72,5.9999976,195,JR,"Dallas, TX",Dallas,TX,Lake Highlands,http://www.und.com/sports/m-footbl/mtt/renkes_bobby00.html
ND,FBALL,2005-2006,32,Alvin Reynolds,Reynolds,Alvin,Defensive Back,DB,5'11,71,5.9166643,180,SO,"Charlotte, NC",Charlotte,NC,Country Day,http://www.und.com/sports/m-footbl/mtt/reynolds_alvin00.html
ND,FBALL,2005-2006,30,Mike Richardson,Richardson,Mike,Defensive Back,DB,5'11,71,5.9166643,193,SR,"Warner Robins, GA",Warner Robins,GA,Warner Robins,http://www.und.com/sports/m-footbl/mtt/richardson_mike00.html
ND,FBALL,2005-2006,43,Anthony Salvador,Salvador,Anthony,Linebacker,LB,6'2,74,6.1666642,233,SR,"Concord, CA",Concord,CA,De La Salle,http://www.und.com/sports/m-footbl/mtt/salvador_anthony00.html
ND,FBALL,2005-2006,83,Jeff Samardzija,Samardzija,Jeff,Wide Receiver,WR,6'5,77,6.4166641,216,JR,"Valparaiso, IN",Valparaiso,IN,Valparaiso,http://www.und.com/sports/m-footbl/mtt/samardzija_jeff00.html
ND,FBALL,2005-2006,50,Dan Santucci,Santucci,Dan,Offensive Line,OL,6'4,76,6.3333308,290,SR,"Chicago, IL",Chicago,IL,St. Patrick's,http://www.und.com/sports/m-footbl/mtt/santucci_dan00.html
ND,FBALL,2005-2006,25,Nate Schiccatano,Schiccatano,Nate,Defensive Line,DL,6'2,74,6.1666642,237,SR,"Coal Township, PA",Coal Township,PA,Southern Columbia,http://www.und.com/sports/m-footbl/mtt/schiccatano_nate00.html
ND,FBALL,2005-2006,44,Asaph Schwapp,Schwapp,Asaph,Running Back,RB,6'0,72,5.9999976,250,FR,"Hartford, CT",Hartford,CT,Weaver,http://www.und.com/sports/m-footbl/mtt/schwapp_asaph00.html
ND,FBALL,2005-2006,13,Evan Sharpley,Sharpley,Evan,Quarterback,QB,6'2,74,6.1666642,207,FR,"Marshall, MI",Marshall,MI,Marshall,http://www.und.com/sports/m-footbl/mtt/sharpley_evan00.html
ND,FBALL,2005-2006,82,Matt Shelton,Shelton,Matt,Wide Receiver,WR,6'0,72,5.9999976,172,SR,"Collierville, TN",Collierville,TN,Collierville,http://www.und.com/sports/m-footbl/mtt/shelton_matt00.html
ND,FBALL,2005-2006,41,Scott Smith,Smith,Scott,Linebacker,LB,6'3,75,6.2499975,234,FR,"Highland Park, IL",Highland Park,IL,Highland Park,http://www.und.com/sports/m-footbl/mtt/smith_scott00.html
ND,FBALL,2005-2006,57,"Dwight Stephenson, Jr.","Stephenson, Jr.",Dwight,Defensive Line,DL,6'2,74,6.1666642,252,JR,"Delray Beach, FL",Delray Beach,FL,Pope John Paul II,http://www.und.com/sports/m-footbl/mtt/stephensonjr_dwight00.html
ND,FBALL,2005-2006,74,Dan Stevenson,Stevenson,Dan,Offensive Line,OL,6'6,78,6.4999974,292,SR,"Barrington, IL",Barrington,IL,Barrington,http://www.und.com/sports/m-footbl/mtt/stevenson_dan00.html
ND,FBALL,2005-2006,21,Maurice Stovall,Stovall,Maurice,Wide Receiver,WR,6'5,77,6.4166641,222,SR,"Philadelphia, PA",Philadelphia,PA,Archbishop Carroll,http://www.und.com/sports/m-footbl/mtt/stovall_maurice00.html
ND,FBALL,2005-2006,78,John Sullivan,Sullivan,John,Offensive Line,OL,6'4,76,6.3333308,298,JR,"Old Greenwich, CT",Old Greenwich,CT,Greenwich,http://www.und.com/sports/m-footbl/mtt/sullivan_john00.html
ND,FBALL,2005-2006,86,Mike Talerico,Talerico,Mike,Tight End,TE,6'5,77,6.4166641,245,SO,"St. Louis, MO",St. Louis,MO,University,http://www.und.com/sports/m-footbl/mtt/talerico_mike00.html
ND,FBALL,2005-2006,99,Ronald Talley,Talley,Ronald,Defensive Line,DL,6'4,76,6.3333308,261,SO,"Oak Park, MI",Oak Park,MI,Renaissance,http://www.und.com/sports/m-footbl/mtt/talley_ronald00.html
ND,FBALL,2005-2006,47,Mitchell Thomas,Thomas,Mitchell,Linebacker,LB,6'3,75,6.2499975,240,JR,"Opelika, AL",Opelika,AL,Smiths Station,http://www.und.com/sports/m-footbl/mtt/thomas_mitchell00.html
ND,FBALL,2005-2006,26,Travis Thomas,Thomas,Travis,Running Back,RB,6'0,72,5.9999976,215,JR,"Washington, PA",Washington,PA,Washington,http://www.und.com/sports/m-footbl/mtt/thomas_travis00.html
ND,FBALL,2005-2006,63,Jeff Tisak,Tisak,Jeff,Offensive Line,OL,6'3,75,6.2499975,305,FR,"Ambridge, PA",Ambridge,PA,Duluth East,http://www.und.com/sports/m-footbl/mtt/tisak_jeff00.html
ND,FBALL,2005-2006,77,Michael Turkovich,Turkovich,Michael,Offensive Line,OL,6'6,78,6.4999974,290,FR,"Bedford, PA",Bedford,PA,Valley Forge Military Academy,http://www.und.com/sports/m-footbl/mtt/turkovich_michael00.html
ND,FBALL,2005-2006,4,Anthony Vernaglia,Vernaglia,Anthony,Linebacker,LB,6'3,75,6.2499975,221,SO,"Anaheim Hills, CA",Anaheim Hills,CA,Orange Luthern,http://www.und.com/sports/m-footbl/mtt/vernaglia_anthony00.html
ND,FBALL,2005-2006,3,Darius Walker,Walker,Darius,Running Back,RB,5'11,71,5.9166643,208,SO,"Lawrenceville, GA",Lawrenceville,GA,Buford,http://www.und.com/sports/m-footbl/mtt/walker_darius00.html
ND,FBALL,2005-2006,42,Kevin Washington,Washington,Kevin,Linebacker,LB,6'1,73,6.0833309,231,FR,"Sugar Land, TX",Sugar Land,TX,Austin,http://www.und.com/sports/m-footbl/mtt/washington_kevin00.html
ND,FBALL,2005-2006,45,Rich Whitney III,Whitney III,Rich,Defensive Back,DB,6'2,74,6.1666642,213,JR,"Warminster, PA",Warminster,PA,Kansas City Rockhurst,http://www.und.com/sports/m-footbl/mtt/whitneyiii_rich00.html
ND,FBALL,2005-2006,23,William David Williams,Williams,William David,Defensive Back,DB,5'11,71,5.9166643,170,SO,"Raleigh, NC",Raleigh,NC,Millbrook,http://www.und.com/sports/m-footbl/mtt/williams_williamdavid00.html
ND,FBALL,2005-2006,14,David Wolke,Wolke,David,Quarterback,QB,6'2,74,6.1666642,196,SO,"Mount Juliet, TN",Mount Juliet,TN,Smyrna,http://www.und.com/sports/m-footbl/mtt/wolke_david00.html
ND,FBALL,2005-2006,22,Ambrose Wooden,Wooden,Ambrose,Defensive Back,DB,5'11,71,5.9166643,197,JR,"Baltimore, MD",Baltimore,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/wooden_ambrose00.html
ND,FBALL,2005-2006,81,Rob Woods,Woods,Rob,Wide Receiver,WR,6'2,74,6.1666642,208,SR,"Atlantic, IA",Atlantic,IA,Atlantic,http://www.und.com/sports/m-footbl/mtt/woods_rob00.html
ND,FBALL,2005-2006,9,Tom Zbikowski,Zbikowski,Tom,Defensive Back,DB,6'0,72,5.9999976,208,JR,"Arlington Heights, IL",Arlington Heights,IL,Buffalo Grove,http://www.und.com/sports/m-footbl/mtt/zbikowski_tom00.html
ND,FBALL,2006-2007,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,DL,6'4,76,6.3333308,270,SR,"Randallstown, MD",Randallstown,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
ND,FBALL,2006-2007,34,James Aldridge,Aldridge,James,Running Back,RB,6'0,72,5.9999976,209,FR,"Crown Point, IN",Crown Point,IN,Merrillville,http://www.und.com/sports/m-footbl/mtt/aldridge_james00.html
ND,FBALL,2006-2007,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,WR,6'2,74,6.1666642,201,SR,"Burke, VA",Burke,VA,Robinson,http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2006-2007,43,Mike Anello,Anello,Mike,Defensive Back,DB,5'11,71,5.9166643,180,SO,"Orland Park, IL",Orland Park,IL,Carl Sandburg,http://www.und.com/sports/m-footbl/mtt/anello_mike00.html
ND,FBALL,2006-2007,49,Matt Augustyn,Augustyn,Matt,Running back,RB,6'3,75,6.2499975,220,SR,"Chevy Chase, MD",Chevy Chase,MD,Our Lady of Good Counsel,http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2006-2007,56,Nick Borseti,Borseti,Nick,Linebacker,LB,6'4,76,6.3333308,235,SR,"Saugus, MA",Saugus,MA,St. John's Prep,http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2006-2007,81,Darrin Bragg,Bragg,Darrin,Wide Receiver,WR,6'1,73,6.0833309,192,JR,"San Jose, CA",San Jose,CA,Bellarmine Prep,http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2006-2007,52,Joe Brockington,Brockington,Joe,Linebacker,LB,6'1,73,6.0833309,220,SR,"Palmyra, PA",Palmyra,PA,Palmyra,http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2006-2007,39,Kevin Brooks,Brooks,Kevin,Tight End,TE,6'2,74,6.1666642,230,FR,"Thousand Oaks, CA",Thousand Oaks,CA,Crespi Carmelite,http://www.und.com/sports/m-footbl/mtt/brooks_kevin00.html
ND,FBALL,2006-2007,94,Justin Brown,Brown,Justin,Defensive Line,DL,6'3,75,6.2499975,254,JR,"Clinton, MD",Clinton,MD,Bishop McNamara,http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2006-2007,31,Sergio Brown,Brown,Sergio,Defensive Back,DB,6'1,73,6.0833309,184,FR,"Maywood, IL",Maywood,IL,Proviso East,http://www.und.com/sports/m-footbl/mtt/brown_sergio00.html
ND,FBALL,2006-2007,27,David Bruton,Bruton,David,Defensive Back,DB,6'2,74,6.1666642,192,SO,"Miamisburg, OH",Miamisburg,OH,Miamisburg,http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2006-2007,39,Ryan Burkhart,Burkhart,Ryan,Kicker,K,5'11,71,5.9166643,185,FR,"Wakarusa, IN",Wakarusa,IN,Northwood,http://www.und.com/sports/m-footbl/mtt/burkhart_ryan00.html
ND,FBALL,2006-2007,7,Craig Cardillo,Cardillo,Craig,Wide Receiver,WR,6'0,72,5.9999976,170,SR,"Hauppauge, NY",Hauppauge,NY,Hauppauge,http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
ND,FBALL,2006-2007,89,John Carlson,Carlson,John,Tight End,TE,6'6,78,6.4999974,250,SR,"Litchfield, MN",Litchfield,MN,Litchfield,http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2006-2007,73,Matt Carufel,Carufel,Matt,Offensive Line,OL,6'5,77,6.4166641,288,FR,"Forest Lake, MN",Forest Lake,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/carufel_matt00.html
ND,FBALL,2006-2007,46,Kyle Charters,Charters,Kyle,Linebacker,LB,5'11,71,5.9166643,195,JR,"Rancho Santa Margarita, CA",Rancho Santa Margarita,CA,Trabuco Hills,http://www.und.com/sports/m-footbl/mtt/charters_kyle00.html
ND,FBALL,2006-2007,64,Dan Chervanick,Chervanick,Dan,Offensive Line,OL,6'1,73,6.0833309,255,SR,"Leesport, PA",Leesport,PA,Holy Name,http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
