Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2005.idx_gr:vl-unitid of parent institution reporting graduation rates
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,5,5,5,4,1,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,9,0,9,8,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,6,6,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,12,0,12,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,2,3,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
