Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2000-2001,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,7,32,35,6,29,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,1
2000-2001,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,21,2,19,18,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1
2000-2001,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,10,10,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,6,2,3,3,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,4,1,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,7,4,2,1,1,8,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,5,3,1,1,0,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),22,22,0,9,9,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,0,12,6,0,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4
2000-2001,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,0,7,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3
2000-2001,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,16,0,4,4,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,4,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),45,10,35,41,8,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2000-2001,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,30,6,24,28,5,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2000-2001,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,5,2,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2000-2001,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,3,1,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,5,1,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,4,1,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,7,7,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
