Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,2,3,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,4,4,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,5,2,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,11,11,0,4,4,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,15,9,6,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,4,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,6,1,5,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,13,8,5,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,1,4,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,24,7,17,15,4,11,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,5,2,3
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,11,11,0,8,8,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,3,2,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,12,5,7,8,3,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,22,22,0,10,10,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,17,7,10,10,4,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,2,6,4,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,8,8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,44,11,33,38,7,31,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,9,9,0,7,7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,2,5,1,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,20,13,7,15,11,4,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,13,13,0,2,2,0,10,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,25,5,20,22,3,19,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,5,5,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,1,4,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,15,9,6,11,8,3,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,1,1,0,7,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,17,6,11,10,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,4,2
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,4,4,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,3,5,3,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,11,11,0,1,1,0,9,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,8,1,7,6,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,7,3,4,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,135726,University of Miami,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,36,6,30,33,4,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1
