year,team,rank,value,value_change,revenue,expense,operating_income,debt_value,debt_percent,revenue_multiple,ebitda_multiple,league
2008,Bayern Munich,5,917.00,0.00,302.00,230.00,72.00,82.53,0.09,3.04,12.74,UEFA
2008,AC Milan,6,798.00,0.00,307.00,253.00,54.00,-23.94,-0.03,2.60,14.78,UEFA
2008,Barcelona,7,784.00,0.07,392.00,300.00,92.00,368.48,0.47,2.00,8.52,UEFA
2008,Chelsea,8,764.00,0.00,382.00,387.00,-5.00,320.88,0.42,2.00,0.00,UEFA
2008,Juventus,9,510.00,0.05,196.00,161.00,35.00,-51.00,-0.10,2.60,14.57,UEFA
2008,Schalke 04,10,470.00,48.00,154.00,118.00,36.00,0.00,0.00,3.05,13.06,UEFA
2008,AS Roma,11,434.00,12.00,213.00,165.00,48.00,407.96,0.94,2.04,9.04,UEFA
2008,Tottenham Hotspur,12,414.00,15.00,207.00,143.00,64.00,289.80,0.70,2.00,6.47,UEFA
2008,Olympique Lyonnais,13,408.00,7.00,190.00,175.00,15.00,77.52,0.19,2.15,27.20,UEFA
2008,Inter Milan,14,403.00,0.00,207.00,186.00,21.00,-108.81,-0.27,1.95,19.19,UEFA
2008,Borussia Dortmund,15,323.00,57.00,122.00,91.00,31.00,203.49,0.63,2.65,10.42,UEFA
2008,Newcastle United,16,300.00,43.00,175.00,163.00,12.00,48.00,0.16,1.71,25.00,UEFA
2008,Hamburg SV,17,293.00,0.00,163.00,122.00,41.00,93.76,0.32,1.80,7.15,UEFA
2008,Werder Bremen,18,262.00,0.00,131.00,120.00,11.00,NA,NA,2.00,23.82,UEFA
2008,Valencia,19,254.00,159.00,145.00,194.00,-49.00,78.74,0.31,1.75,0.00,UEFA
2008,Celtic,20,227.00,11.00,151.00,103.00,48.00,52.21,0.23,1.50,4.73,UEFA
2008,Everton,21,197.00,30.00,103.00,104.00,-1.00,47.28,0.24,1.91,0.00,UEFA
2008,West Ham United,22,195.00,23.00,115.00,137.00,-22.00,48.75,0.25,1.70,0.00,UEFA
2008,Manchester City,23,191.00,63.00,114.00,87.00,27.00,-15.28,-0.08,1.68,7.07,UEFA
2008,Aston Villa,24,190.00,12.00,106.00,146.00,-40.00,68.40,0.36,1.79,0.00,UEFA
2008,Olympique Marseille,25,187.00,0.00,134.00,121.00,13.00,35.53,0.19,1.40,14.38,UEFA
2007,Manchester United,1,1453.00,0.84,310.00,218.00,92.00,87.18,0.06,4.69,15.79,UEFA
2007,Real Madrid,2,1036.00,0.10,374.00,291.00,83.00,20.72,0.02,2.77,12.48,UEFA
2007,Arsenal,3,915.00,0.53,246.00,226.00,20.00,82.35,0.09,3.72,45.75,UEFA
2007,Bayern Munich,4,838.00,0.00,262.00,200.00,62.00,75.42,0.09,3.20,13.52,UEFA
2007,AC Milan,5,824.00,0.00,305.00,259.00,46.00,-82.40,-0.10,2.70,17.91,UEFA
2007,Juventus,6,567.00,0.17,321.00,276.00,45.00,-102.06,-0.18,1.77,12.60,UEFA
2007,Internazionale Milan,7,555.00,NA,264.00,238.00,26.00,55.50,0.10,2.10,21.35,UEFA
2007,Chelsea,8,537.00,0.28,283.00,320.00,-37.00,32.22,0.06,1.90,0.00,UEFA
2007,Barcelona,9,535.00,0.12,331.00,319.00,12.00,117.70,0.22,1.62,44.58,UEFA
2007,Schalke 04,10,471.00,53.00,157.00,120.00,37.00,211.95,0.45,3.00,12.73,UEFA
2007,Liverpool,11,454.00,18.00,225.00,188.00,37.00,127.12,0.28,2.02,12.27,UEFA
2007,Olympique Lyonnais,12,343.00,NA,163.00,153.00,10.00,222.95,0.65,2.10,34.30,UEFA
2007,Newcastle United,13,260.00,46.00,159.00,148.00,11.00,-36.40,-0.14,1.64,23.64,UEFA
2007,Tottenham Hotspur,14,243.00,0.00,137.00,128.00,9.00,65.61,0.27,1.77,27.00,UEFA
2007,AS Roma,15,224.00,0.00,162.00,109.00,53.00,-33.60,-0.15,1.38,4.23,UEFA
2007,Hamburg SV,16,221.00,NA,130.00,99.00,31.00,NA,NA,1.70,7.13,UEFA
2007,Manchester City,17,208.00,83.00,114.00,105.00,9.00,-12.48,-0.06,1.82,23.11,UEFA
2007,Borussia Dortmund,18,199.00,126.00,114.00,113.00,1.00,121.39,0.61,1.75,199.00,UEFA
2007,Ajax Amsterdam,19,196.00,0.00,95.00,86.00,9.00,25.48,0.13,2.06,21.78,UEFA
2007,Celtic,20,185.00,14.00,106.00,99.00,7.00,33.30,0.18,1.75,26.43,UEFA
2007,Everton,21,165.00,32.00,107.00,122.00,-15.00,56.10,0.34,1.54,0.00,UEFA
2007,Olympique Marseille,22,157.00,NA,105.00,99.00,6.00,NA,NA,1.50,26.17,UEFA
2007,West Ham United,23,156.00,27.00,111.00,105.00,6.00,NA,NA,1.41,26.00,UEFA
2007,Glasgow Rangers,24,147.00,7.00,113.00,101.00,12.00,47.04,0.32,1.30,12.25,UEFA
2007,Aston Villa,25,140.00,16.00,91.00,112.00,-21.00,22.40,0.16,1.54,0.00,UEFA
2006,Manchester United,1,1373.00,0.10,298.00,215.50,82.50,494.28,0.36,4.61,16.64,UEFA
2006,Real Madrid,2,1012.00,0.10,334.00,304.00,30.00,546.48,0.54,3.03,33.73,UEFA
2006,AC Milan,3,921.00,0.03,283.00,240.50,42.50,0.00,0.00,3.25,21.67,UEFA
2006,Arsenal,4,841.00,0.37,207.00,175.40,31.60,622.34,0.74,4.06,26.61,UEFA
2006,Bayern Munich,5,769.00,0.23,229.00,174.60,54.40,0.00,0.00,3.36,14.14,UEFA
2006,Juventus,6,687.00,-0.18,278.00,195.70,82.30,27.48,0.04,2.47,8.35,UEFA
2006,Chelsea,7,508.00,0.13,267.00,278.30,-11.30,0.00,0.00,1.90,0.00,UEFA
2006,Internazionale Milan,8,504.00,-0.17,215.00,193.50,21.50,NA,NA,2.34,23.44,UEFA
2006,Barcelona,9,440.00,0.13,252.00,233.10,18.90,NA,NA,1.75,23.28,UEFA
2006,Liverpool,10,370.00,-16.00,219.00,221.90,-2.90,48.10,0.13,1.69,0.00,UEFA
2006,Schalke 04,11,324.00,10.00,118.00,90.20,27.80,0.00,0.00,2.75,11.65,UEFA
2006,Newcastle United,12,302.00,-23.00,156.00,117.70,38.30,99.66,0.33,1.94,7.89,UEFA
2006,AS Roma,13,263.00,5.00,160.00,128.10,31.90,13.15,0.05,1.64,8.24,UEFA
2006,Manchester City,14,222.00,-15.00,109.00,102.70,6.30,166.50,0.75,2.04,35.24,UEFA
2006,Tottenham Hotspur,15,214.00,-28.00,127.00,90.40,36.60,21.40,0.10,1.69,5.85,UEFA
2006,Olympique Lyonnais,16,208.00,36.00,112.00,104.90,7.10,NA,NA,1.86,29.30,UEFA
2006,Celtic,17,196.00,-28.00,111.00,106.50,4.50,35.28,0.18,1.77,43.56,UEFA
2006,Valencia,18,195.00,NA,102.00,107.10,-5.10,NA,NA,1.91,0.00,UEFA
2006,Bayer Leverkusen,19,189.00,NA,95.00,85.50,9.50,0.00,0.00,1.99,19.89,UEFA
2006,Glasgow Rangers,20,187.00,-17.00,99.00,113.80,-14.80,117.81,0.63,1.89,0.00,UEFA
2006,Ajax Amsterdam,21,171.00,35.00,81.00,57.80,23.20,0.00,0.00,2.11,7.37,UEFA
2006,Borussia Dortmund,22,141.00,-28.00,91.00,155.60,-64.60,36.66,0.26,1.55,0.00,UEFA
2006,Everton,23,138.00,NA,108.00,108.00,0.00,52.44,0.38,1.28,NA,UEFA
2006,Aston Villa,24,120.00,-49.00,94.00,83.20,10.80,0.00,0.00,1.28,11.11,UEFA
