RSCI,Player,HS,PS,AS,RC,Total,Ht,Height_Inches,Pos,College,City.State,State,City,Country,Class,Ranking_Date,fname,Pre,Chg,DT,RB,SN,HP,FB,HH,FS,VB,JG,SS,Avg,X5yr,Dev,VC,HM,RH,SI,SC,MP,RU,IR,FC
7,Kaleb Tarczewski ,NA,11,NA,21,543,7'0 ,84,C,,"Southborough, MA",MA,Southborough,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,37,8,NA,NA,NA,9,8,NA,NA,NA
20,Brian Cook,22,15,52,NA,543,6'10,82,PF,Illinois,"Lincoln, IL",IL,Lincoln,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,29,18
9,Rick Rickert,9,19,10,NA,542,6'10,82,PF,Minnesota,"Duluth, MN",MN,Duluth,United States,2001,6/1/2001,rcsi01_Final.csv,NA,1,9,NA,11,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bracey Wright,10,10,11,NA,542,6'3,75,SG,Indiana,"The Colony, TX",TX,The Colony,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,1,8,NA,NA,NA,NA,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Rashad McCants,23,9,5,NA,542,6'4,76,SF-SG,North Carolina,"New Hampton, NH",NH,New Hampton,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,8,7,NA,NA,NA,NA,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,J.R. Giddens,9,19,18,37,542,6'5,77,SF,Kansas,"Oklahoma City, OK",OK,Oklahoma City,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,36,NA,NA,NA,NA,NA,24,NA,NA,22,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Andrew Lavender,10,30,27,14,542,5'7,67,PG,Oklahoma,"Columbus, OH",OH,Columbus,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-4,29,NA,NA,NA,NA,NA,20,NA,NA,35,24, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Malcolm Lee,4,23,NA,51,542,6'4,76,PG,"University of California, Los Angeles","Riverside, CA",CA,Riverside,United States,2008,7/1/2007,rcsi08_Fall.csv,NA, ,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,16.8,NA,23,20,22,NA,NA,NA,NA,NA
10,Myck Kabongo ,NA,8,NA,24,542,6'2 ,74,PG,University of Texas at Austin,"Henderson, NV",NV,Henderson,United States,2011,9/1/2010,rcsi11_Summer.csv,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,39,NA,8,7,8,NA,NA,NA,NA,NA
8,Anthony Bennett ,NA,6,NA,8,542,6'8 ,80,SF,,"Henderson, NV",NV,Henderson,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,38,12,NA,NA,NA,10,21,NA,NA,NA
8,Rashad McCants,23,9,6,NA,541,6'4,76,SF-SG,North Carolina,"New Hampton, NH",NH,New Hampton,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,-1,7,NA,NA,NA,NA,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Anthony Roberson,6,11,13,NA,541,6'2,74,PG,Florida,"Saginaw, MI",MI,Saginaw,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,-5,10,NA,NA,NA,NA,NA,NA,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Bracey Wright,10,10,12,NA,541,6'3,75,PG,,"The Colony, TX",TX,The Colony,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,4,8,NA,NA,NA,NA,NA,NA,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,James Lang,NA,16,15,4,541,6'10,82,C,NBA,"Birmingham, AL",AL,Birmingham,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,6,NA,NA,NA,NA,NA,12,NA,NA,12,11,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Chase Budinger,12,12,NA,10,540,6'6,78,SF,Arizona,"Carlsbad, CA",CA,Carlsbad,United States,2006,9/1/2005,rcsi06_Summer.csv,NA,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11, ,3,NA,15,6,NA,NA,NA,NA,NA,NA
20,Johnny Flynn,26,26,24,22,540,6'0,72,PG,Syracuse,"Niagara Falls, NY",NY,Niagara Falls,United States,2007,5/1/2007,rcsi07_Final.csv,NA,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,,5.4,NA,33,15,NA,NA,NA,NA,NA,NA
9,Anthony Roberson,6,11,13,NA,539,6'2,74,PG,Florida,"Saginaw, MI",MI,Saginaw,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,-1,10,NA,NA,NA,NA,NA,NA,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Mason Plumlee ,58,13,NA,42,539,6'11 ,83,PF,Duke,"Arden, NC",NC,Arden,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,28,NA,14,13,9,NA,NA,NA,NA,NA
9,Marcus Smart ,NA,8,NA,15,539,6'4 ,76,SF,Oklahoma State,"Flower Mound, TX",TX,Flower Mound,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,29,6,NA,NA,NA,15,12,NA,NA,NA
10,David Lee,8,8,20,NA,538,6'8,80,PF,Florida,"St. Louis, MO",MO,St. Louis,United States,2001,6/1/2001,rcsi01_Final.csv,NA,-1,11,NA,10,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,DeAndre Liggins,21,30,NA,21,538,6'6,78,SF-PG,Kentucky,"Chicago, IL",IL,Chicago,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,5.7,NA,32,26,19,NA,NA,NA,NA,NA
22,Jordan Hamilton ,NA,15,NA,6,538,6'7,79,SF,University of Texas at Austin,"Compton, CA",CA,Compton,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*,NA,NA,15,10,8,NA,NA,NA,NA,NA
10,Will Barton ,NA,10,NA,11,538,6'6 ,78,SG,Memphis,"Baltimore, MD",MD,Baltimore,United States,2010,6/1/2010,rcsi10_Final.csv,NA,-3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,23,NA,11,16,8,NA,NA,NA,NA,NA
11,Terrence Jones ,NA,18,NA,13,537,6'7 ,79,PF,Kentucky,"Portland, OR",OR,Portland,United States,2010,6/1/2010,rcsi10_Final.csv,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,29,NA,8,13,9,NA,NA,NA,NA,NA
21,Doron Lamb ,NA,26,19,21,536,6'4 ,76,SG,,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,38,NA,25,21,33,NA,NA,NA,NA,NA
20,Luke Babbitt,28,31,NA,34,535,6'8,80,PF,Nevada,"Reno, NV",NV,Reno,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,5.9,NA,24,18,18,NA,NA,NA,NA,NA
20,Eloy Vargas,12,40,NA,10,535,6'9,81,PF,,"Plantation, FL",FL,Plantation,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,12.8,NA,17,35,28,NA,NA,NA,NA,NA
10,Vernon Macklin,8,9,NA,12,534,6'9,81,PF,Georgetown,"Portsmouth, VA",VA,Portsmouth,United States,2006,9/1/2005,rcsi06_Summer.csv,NA,-2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,3.3,NA,12,17,NA,NA,NA,NA,NA,NA
10,Evan Burns,11,17,16,NA,533,6'7,79,SF,,"Los Angeles, CA",CA,Los Angeles,United States,2002,8/26/2001,rcsi02_Summer.csv,NA, ,13,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Mustafa Shakur,NA,9,10,28,533,6'3,75,PG,Arizona,"Wynnewood, PA",PA,Wynnewood,United States,2003,11/16/2002,rcsi03_Fall.csv,NA,1,8,NA,NA,NA,NA,NA,9,NA,NA,9,12,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Devin Ebanks,NA,7,NA,13,533,6'8,80,SF,Indiana,"Oakdale, CT",CT,Oakdale,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,20,NA,NA,NA,NA,NA
12,C.J. Leslie ,NA,9,NA,14,533,6'8 ,80,PF,North Carolina State,"Raleigh, NC",NC,Raleigh,United States,2010,6/1/2010,rcsi10_Final.csv,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,22,NA,14,14,11,NA,NA,NA,NA,NA
11,Rakeem Christmas ,NA,11,NA,12,533,6'8 ,80,C,Syracuse,"Bryn Athyn, PA",PA,Bryn Athyn,United States,2011,9/1/2010,rcsi11_Summer.csv,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,32,NA,12,9,19,NA,NA,NA,NA,NA
10,Evan Burns,11,17,17,NA,532,6'7,79,SF,"University of California, Los Angeles","Los Angeles, CA",CA,Los Angeles,United States,2002,12/1/2001,rcsi02_Fall.csv,NA, ,13,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Gerald Henderson,17,9,NA,11,532,6'4,76,SF,Duke,"Merion Station, PA",PA,Merion Station,United States,2006,5/1/2006,rcsi06_Final.csv,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,3.1,NA,12,10,NA,NA,NA,NA,NA,NA
11,Derrick Caracter,6,8,NA,25,532,6'9,81,PF,Louisville,"Elizabeth, NJ",NJ,Elizabeth,United States,2006,9/1/2005,rcsi06_Summer.csv,NA, ,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,12, ,6.7,NA,10,12,NA,NA,NA,NA,NA,NA
23,Maalik Wayns ,NA,30,20,26,532,6'1,73,PG,Villanova,"Philadelphia, PA",PA,Philadelphia,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,26, ,2.7,NA,24,26,23,NA,NA,NA,NA,NA
22,Dion Harris,33,25,21,18,530,6'4,76,SG,Michigan,"Detroit, MI",MI,Detroit,United States,2003,8/12/2003,rcsi03_Final.csv,NA,3,23,NA,NA,NA,NA,NA,29,NA,NA,28,25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Anthony Randolph,14,9,NA,16,530,6'10,82,PF,,"Dallas, TX",TX,Dallas,United States,2007,8/1/2006,rcsi07_Summer.csv,NA,-1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1.9,NA,16,9,NA,NA,NA,NA,NA,NA
10,Archie Goodwin ,NA,13,NA,13,530,6'4 ,76,SG,Kentucky,"Sherwood, AR",AR,Sherwood,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,28,17,NA,NA,NA,14,6,NA,NA,NA
23,Chris Singleton,36,13,NA,33,529,6'8,80,PF,,"Canton, GA",GA,Canton,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,8.8,NA,28,12,29,NA,NA,NA,NA,NA
10,Archie Goodwin ,NA,11,NA,14,529,6'4 ,76,SG,Kentucky,"Sherwood, AR",AR,Sherwood,United States,2012,5/1/2012,rcsi12_Final.csv,NA,  ,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,32,16,NA,NA,NA,14,7,NA,NA,NA
11,Grant Jerrett ,NA,21,NA,15,528,6'8 ,80,C,Arizona,"LaVerne, CA",CA,LaVerne,United States,2012,5/1/2012,rcsi12_Final.csv,NA,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,39,10,NA,NA,NA,9,14,NA,NA,NA
23,Brandon Cotton,20,32,24,35,527,6'0,72,PG,Michigan State,"Detroit, MI",MI,Detroit,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-2,28,NA,NA,NA,NA,NA,22,NA,NA,19,26, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Darrell Arthur,9,16,NA,16,527,6'9,81,SF,Kansas,"Dallas, TX",TX,Dallas,United States,2006,5/1/2006,rcsi06_Final.csv,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13, ,3.3,NA,15,14,NA,NA,NA,NA,NA,NA
21,Cole Aldrich,10,24,14,30,527,6'10,82,C,Kansas,"Bloomington, MN",MN,Bloomington,United States,2007,5/1/2007,rcsi07_Final.csv,NA,-9,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,27, ,11.8,NA,28,36,NA,NA,NA,NA,NA,NA
11,Cameron Ridley ,NA,24,NA,22,526,6'10 ,82,C,University of Texas at Austin,"Richmond, TX",TX,Richmond,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,50,10,NA,NA,NA,7,9,NA,NA,NA
11,Jawad Williams,17,11,12,NA,525,6'8,80,SF,North Carolina,"Lakewood, OH",OH,Lakewood,United States,2001,6/1/2001,rcsi01_Final.csv,NA,5,13,NA,13,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Kemba Walker,29,35,NA,36,525,6'1,73,PG,Connecticut,"New York, NY",NY,New York,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,44,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,5.3,NA,29,19,11,NA,NA,NA,NA,NA
21,Andrew Gooden,28,26,11,NA,525,6'9,81,PF-C,Kansas,"El Cerrito, CA",CA,El Cerrito,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,12,22
12,Carlos Hurt,11,15,13,NA,524,6'2,74,PG,Louisville,"Louisville, KY",KY,Louisville,United States,2001,6/1/2001,rcsi01_Final.csv,NA,?,18,NA,12,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Regis Koundjia,21,19,23,25,524,6'7,79,SF,LSU,"Laurinburg, NC",NC,Laurinburg,United States,2003,8/12/2003,rcsi03_Final.csv,NA,5,27,NA,NA,NA,NA,NA,35,NA,NA,33,26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DeAndre Jordan,21,12,NA,8,524,6'10,82,PF,Texas A&M,"Bellaire, TX",TX,Bellaire,United States,2007,8/1/2006,rcsi07_Summer.csv,NA,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,5.4,NA,17,8,NA,NA,NA,NA,NA,NA
20,Maalik Wayns ,26,30,NA,25,524,6'1 ,73,PG,Villanova,"Philadelphia, PA",PA,Philadelphia,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,-9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,31,NA,25,29,22,NA,NA,NA,NA,NA
12,Kentavious Caldwell ,NA,18,NA,11,524,6'6 ,78,SG,Georgia,"Greenville, GA",GA,Greenville,United States,2011,9/1/2010,rcsi11_Summer.csv,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,24,NA,16,13,11,NA,NA,NA,NA,NA
22,Cory Joseph ,NA,41,40,7,523,6'3 ,75,PG,,"Henderson, NV",NV,Henderson,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,8,NA,18,26,30,NA,NA,NA,NA,NA
12,Darrell Arthur,10,15,NA,19,522,6'9,81,SF,,"Dallas, TX",TX,Dallas,United States,2006,9/1/2005,rcsi06_Summer.csv,NA,-6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,3,NA,14,14,NA,NA,NA,NA,NA,NA
11,Chris Bosh,5,16,5,NA,521,6'10,82,PF,Georgia Tech,"Dallas, TX",TX,Dallas,United States,2002,12/1/2001,rcsi02_Fall.csv,NA, ,11,NA,NA,NA,NA,NA,NA,35,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Mustafa Shakur,NA,13,11,33,521,6'3,75,PG,Arizona,"Wynnewood, PA",PA,Wynnewood,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-1,10,NA,NA,NA,NA,NA,10,NA,NA,8,14,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Javaris Crittenton,6,20,NA,7,521,6'5,77,SG,Georgia Tech,"Atlanta, GA",GA,Atlanta,United States,2006,5/1/2006,rcsi06_Final.csv,NA,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,8.5,NA,10,28,NA,NA,NA,NA,NA,NA
23,Ryan Harrow ,NA,16,24,24,521,5'11 ,71,PG,North Carolina State,"Marietta, GA",GA,Marietta,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,5,NA,27,22,48,NA,NA,NA,NA,NA
25,Dion Harris,33,30,28,16,520,6'4,76,SG,Michigan,"Detroit, MI",MI,Detroit,United States,2003,11/16/2002,rcsi03_Fall.csv,NA,-1,18,NA,NA,NA,NA,NA,36,NA,NA,26,27, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Malcolm Lee,8,26,NA,48,520,6'4,76,PG,"University of California, Los Angeles","Riverside, CA",CA,Riverside,United States,2008,5/1/2008,rcsi08_Final.csv,NA,2,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,,15.9,NA,19,16,31,NA,NA,NA,NA,NA
13,Cory Joseph ,NA,21,NA,8,520,6'3 ,75,PG,University of Texas at Austin,"Henderson, NV",NV,Henderson,United States,2010,6/1/2010,rcsi10_Final.csv,NA,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,30,NA,12,15,16,NA,NA,NA,NA,NA
22,Nick Collison,27,23,2,NA,520,6'9,81,PF,Kansas,"Iowa Falls, IA",IA,Iowa Falls,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,4,36
14,Fab Melo ,NA,13,NA,16,517,7'0 ,84,C,Syracuse,"Weston, FL",FL,Weston,United States,2010,6/1/2010,rcsi10_Final.csv,NA,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,36,NA,25,8,14,NA,NA,NA,NA,NA
12,Rasheed Sulaimon ,NA,12,NA,18,517,6'3 ,75,SG,Duke,"Houston, TX",TX,Houston,United States,2012,5/1/2012,rcsi12_Final.csv,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,34,15,NA,NA,NA,12,20,NA,NA,NA
12,Rodney Purvis ,NA,17,NA,7,517,6'2 ,74,PG,,"Raleigh, NC",NC,Raleigh,United States,2012,9/1/2011,rcsi12_Summer.csv,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,31,18,NA,NA,NA,16,15,NA,NA,NA
24,Dexter Strickland ,NA,20,13,34,516,6'3,75,SG,North Carolina,"Elizabeth, NJ",NJ,Elizabeth,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-13,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,,5.8,NA,30,34,27,NA,NA,NA,NA,NA
24,Adreian Payne ,NA,33,28,20,516,6'10 ,82,C,,"Dayton, OH",OH,Dayton,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,44,NA,40,28,23,NA,NA,NA,NA,NA
13,Ricardo Ledo ,NA,9,NA,6,516,6'5 ,77,SF,Providence,"Fitchburg, MA",MA,Fitchburt,United States,2012,5/1/2012,rcsi12_Final.csv,NA,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,44,19,NA,NA,NA,17,18,NA,NA,NA
11,Chris Bosh,5,16,8,NA,515,6'10,82,PF,,"Dallas, TX",TX,Dallas,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,36,11,NA,NA,NA,NA,NA,NA,35,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Majestic Mapp,19,31,14,NA,515,6'1,73,PG,Virginia,"Bronx, NY",NY,Bronx,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,20,34
13,David Harrison,19,12,11,NA,514,6'11,83,C,Colorado,"Brentwood, TN",TN,Brentwood,United States,2001,6/1/2001,rcsi01_Final.csv,NA,2,15,NA,16,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Jonathan Hargett,7,17,43,NA,514,6'1,73,PG,West Virginia,"Durham, NC",NC,Durham,United States,2001,6/1/2001,rcsi01_Final.csv,NA,-5,7,NA,9,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,J.J. Redick,13,12,14,NA,514,6'4,76,SG,Duke,"Roanoke, VA",VA,Roanoke,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,1,14,NA,NA,NA,NA,NA,NA,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Jason Fraser,19,15,9,NA,514,6'8,80,PF,Villanova,"Amityville, NY",NY,Amityville,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,2,20,NA,NA,NA,NA,NA,NA,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Sean May,35,13,9,NA,514,6'8,80,C-PF,,"Bloomington, IN",IN,Bloomington,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,10,12,NA,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Daequan Cook,24,17,NA,13,514,6'5,77,SG,Ohio State,"Dayton, OH",OH,Dayton,United States,2006,5/1/2006,rcsi06_Final.csv,NA,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,15, ,4.6,NA,13,12,NA,NA,NA,NA,NA,NA
22,Jamelle Horne,24,29,43,21,514,6'6,78,SF,Arizona,"San Diego, CA",CA,San Diego,United States,2007,5/1/2007,rcsi07_Final.csv,NA,3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,,4.8,NA,19,27,NA,NA,NA,NA,NA,NA
13,Branden Dawson ,NA,16,NA,13,514,6'6 ,78,SF,Michigan State,"Gary, IN",IN,Gary,United States,2011,9/1/2010,rcsi11_Summer.csv,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,31,NA,11,21,16,NA,NA,NA,NA,NA
14,Cameron Ridley ,NA,26,NA,29,514,6'10 ,82,C,University of Texas at Austin,"Richmond, TX",TX,Richmond,United States,2012,5/1/2012,rcsi12_Final.csv,NA,-3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,59,9,NA,NA,NA,11,9,NA,NA,NA
24,Kevin Gaines,9,25,35,NA,514,6'3,75,PG,Michigan,"Las Vegas, NV",NV,Las Vegas,United States,1999,6/13/1999,rcsi99_Final.csv,NA,4,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,36,19
13,J.J. Redick,13,12,15,NA,513,6'4,76,SG,Duke,"Roanoke, VA",VA,Roanoke,United States,2002,8/26/2001,rcsi02_Summer.csv,NA,-2,14,NA,NA,NA,NA,NA,NA,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Kosta Koufos,27,14,NA,12,513,7'0,84,PF,Ohio State,"Canton, OH",OH,Canton,United States,2007,8/1/2006,rcsi07_Summer.csv,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,8.2,NA,10,20,NA,NA,NA,NA,NA,NA
15,Reggie Bullock ,NA,16,NA,10,513,6'6 ,78,SG,North Carolina,"Kinston, NC",NC,Kinston,United States,2010,6/1/2010,rcsi10_Final.csv,NA,-5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,24,NA,15,18,18,NA,NA,NA,NA,NA
25,Joe Johnson,26,45,22,NA,513,6'6,78,SF,Arkansas,"Little Rock, AR",AR,Little Rock,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,25,23
23,E'Twaun Moore,22,33,21,35,512,6'3,75,SG,Purdue,"East Chicago, IN",IN,East Chicago,United States,2007,5/1/2007,rcsi07_Final.csv,NA,16,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,28, ,5.4,NA,26,31,NA,NA,NA,NA,NA,NA
13,Nick Calathes,18,19,NA,11,512,6'4,76,PG,Florida,"Winter Park, FL",FL,Winter Park,United States,2007,8/1/2006,rcsi07_Summer.csv,NA,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,2.9,NA,14,18,NA,NA,NA,NA,NA,NA
14,Patrick Patterson,31,13,NA,14,512,6'8,80,PF,,"Huntington, WV",WV,Huntington,United States,2007,8/1/2006,rcsi07_Summer.csv,NA,34,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,9.6,NA,11,14,NA,NA,NA,NA,NA,NA
21,DeQuan Jones,31,19,NA,23,512,6'5,77,SF,University of Miami,"Marietta, GA",GA,Marietta,United States,2008,5/1/2008,rcsi08_Final.csv,NA,41,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,28, ,11.3,NA,47,25,28,NA,NA,NA,NA,NA
14,DeAngelo Collins,7,8,23,NA,511,6'9,81,C,,"Inglewood, CA",CA,Inglewood,United States,2002,12/1/2001,rcsi02_Fall.csv,NA,1,21,NA,NA,NA,NA,NA,NA,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Sherron Collins,22,13,NA,21,511,5'11,71,PG,Kansas,"Chicago, IL",IL,Chicago,United States,2006,5/1/2006,rcsi06_Final.csv,NA,-1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,,4.4,NA,14,13,NA,NA,NA,NA,NA,NA
13,Sherron Collins,19,13,NA,31,511,5'11,71,PG,Kansas,"Chicago, IL",IL,Chicago,United States,2006,9/1/2005,rcsi06_Summer.csv,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16, ,8.2,NA,13,10,NA,NA,NA,NA,NA,NA
