"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","two_point_conversions","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"76",66,2009,7,"2009-10-25","28-122","HOU","","SFO","W 24-21","*",20,30,0.4,264,2,0,116.5,8.8,10.13,5,9,1.8,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","24-21",24,21
"77",67,2009,8,"2009-11-01","28-129","HOU","@","BUF","W 31-10","*",25,34,0.424,268,0,2,71.7,7.88,5.24,8,3,0.38,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","31-10",31,10
"78",68,2009,9,"2009-11-08","28-136","HOU","@","IND","L 17-20","*",32,43,0.427,311,1,2,82.6,7.23,5.6,3,21,7,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-20",17,20
"79",69,2009,10,"2009-11-23","28-151","HOU","","TEN","L 17-20","*",25,39,0.391,305,2,0,105.2,7.82,8.85,1,0,0,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-20",17,20
"80",70,2009,11,"2009-11-29","28-157","HOU","","IND","L 27-35","*",31,42,0.425,284,2,2,87.8,6.76,5.57,2,6,3,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","27-35",27,35
"81",71,2009,12,"2009-12-06","28-164","HOU","@","JAX","L 18-23","*",19,27,0.413,207,1,1,89.6,7.67,6.74,1,7,7,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","18-23",18,23
"82",72,2009,13,"2009-12-13","28-171","HOU","","SEA","W 34-7","*",29,39,0.426,365,2,1,109.5,9.36,9.23,1,-2,-2,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-7",34,7
"83",73,2009,14,"2009-12-20","28-178","HOU","@","STL","W 16-13","*",28,40,0.412,367,1,0,107,9.18,9.68,5,-3,-0.6,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","16-13",16,13
"84",74,2009,15,"2009-12-27","28-185","HOU","@","MIA","W 27-20","*",20,31,0.392,286,2,1,102.4,9.23,9.06,3,-3,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","27-20",27,20
"85",75,2009,16,"2010-01-03","28-192","HOU","","NWE","W 34-27","*",24,39,0.381,303,2,1,92.1,7.77,7.64,2,1,0.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-27",34,27
"88",76,2010,1,"2010-09-12","29-079","HOU","","IND","W 34-24","*",9,17,0.346,107,1,1,67.5,6.29,4.82,3,-3,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-24",34,24
"89",77,2010,2,"2010-09-19","29-086","HOU","@","WAS","W 30-27","*",38,52,0.422,497,3,1,114,9.56,9.85,1,2,2,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","30-27",30,27
"90",78,2010,3,"2010-09-26","29-093","HOU","","DAL","L 13-27","*",23,32,0.418,241,1,2,77.7,7.53,5.34,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","13-27",13,27
"91",79,2010,4,"2010-10-03","29-100","HOU","@","OAK","W 31-24","*",16,29,0.356,192,2,0,98.6,6.62,8,3,1,0.33,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","31-24",31,24
"92",80,2010,5,"2010-10-10","29-107","HOU","","NYG","L 10-34","*",16,34,0.32,196,0,1,53.1,5.76,4.44,1,-1,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","10-34",10,34
"93",81,2010,6,"2010-10-17","29-114","HOU","","KAN","W 35-31","*",25,33,0.431,305,2,0,123.9,9.24,10.45,1,3,3,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","35-31",35,31
"94",82,2010,7,"2010-11-01","29-129","HOU","@","IND","L 17-30","*",22,38,0.367,201,1,1,70.2,5.29,4.63,1,1,1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-30",17,30
