id,url,model,year,type,photo,total.year.photo
128,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/5/7,fernanda_tavares,2001,model,5,7
129,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/6/7,fernanda_tavares,2001,model,6,7
130,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/7/7,fernanda_tavares,2001,model,7,7
131,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/1/7,heidi_klum,2001,model,1,7
132,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/2/7,heidi_klum,2001,model,2,7
133,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/3/7,heidi_klum,2001,model,3,7
134,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/4/7,heidi_klum,2001,model,4,7
135,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/5/7,heidi_klum,2001,model,5,7
136,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/6/7,heidi_klum,2001,model,6,7
137,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2001/model/7/7,heidi_klum,2001,model,7,7
138,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/1/7,josie_maran,2001,model,1,7
139,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/2/7,josie_maran,2001,model,2,7
140,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/3/7,josie_maran,2001,model,3,7
141,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/4/7,josie_maran,2001,model,4,7
142,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/5/7,josie_maran,2001,model,5,7
143,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/6/7,josie_maran,2001,model,6,7
144,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/josie_maran/2001/model/7/7,josie_maran,2001,model,7,7
145,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/1/7,lujan_fernandez,2001,model,1,7
146,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/2/7,lujan_fernandez,2001,model,2,7
147,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/3/7,lujan_fernandez,2001,model,3,7
148,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/4/7,lujan_fernandez,2001,model,4,7
149,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2001/model/5/7,lujan_fernandez,2001,model,5,7
