Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
94,Ikenna Nwafor,http://www.gostanford.com/sports/m-footbl/mtt/ikenna_nwafor_809232.html,DT/DE,6/6/13,308,FR,"Irving, TX",Irving,TX,Cistercian Preparatory School,,,,Stanford University,2012-2013
10,David Olson,http://www.gostanford.com/sports/m-footbl/mtt/david_olson_702607.html,QB,6/3/13,210,JR,"Columbia, SC",Columbia,SC,Irmo High School,,,,Stanford University,2012-2013
22,Kyle Olugbode,http://www.gostanford.com/sports/m-footbl/mtt/kyle_olugbode_702608.html,FS,6/1/13,194,JR,"San Jose, CA",San Jose,CA,Bellarmine Prep,,,,Stanford University,2012-2013
58,David Parry,http://www.gostanford.com/sports/m-footbl/mtt/david_parry_702625.html,DT,6/2/13,300,JR,"Marion, IA",Marion,IA,Linn Marr High School,,,,Stanford University,2012-2013
21,Jamal-Rashad Patterson,http://www.gostanford.com/sports/m-footbl/mtt/jamal_rashad_patterson_439919.html,WR,6/3/13,208,SR,"McDonough, GA",McDonough,GA,Henry County High School,,,,Stanford University,2012-2013
34,Josiah Paye,http://www.gostanford.com/sports/m-footbl/mtt/josiah_paye_809235.html,FS,5/11/13,170,FR,"Nevada City, CA",Nevada City,CA,Nevada Union,,,,Stanford University,2012-2013
70,Andrus Peat,http://www.gostanford.com/sports/m-footbl/mtt/andrus_peat_809236.html,OT,6/7/13,308,FR,"Chandler, AZ",Chandler,AZ,Corona del Sol,,,,Stanford University,2012-2013
13,Robbie Picazo,http://www.gostanford.com/sports/m-footbl/mtt/robbie_picazo_439920.html,QB,6/3/13,212,SR,"Santa Margarita, CA",Santa Margarita,CA,Tesoro High School,,,,Stanford University,2012-2013
38,Ra'Chard Pippens,http://www.gostanford.com/sports/m-footbl/mtt/rachard_pippens_755818.html,CB,6/2/13,195,SO,"McDonough, GA",McDonough,GA,Ola High School,,,,Stanford University,2012-2013
69,Eddie Plantaric,http://www.gostanford.com/sports/m-footbl/mtt/eddie_plantaric_702609.html,OT,6/5/13,276,JR,"Orangevale, CA",Orangevale,CA,Del Campo High School,,,,Stanford University,2012-2013
87,Jordan Pratt,http://www.gostanford.com/sports/m-footbl/mtt/jordan_pratt_755819.html,WR,6/3/13,215,SO,"Monmouth, OR",Monmouth,OR,Central High School,,,,Stanford University,2012-2013
3,Michael Rector,http://www.gostanford.com/sports/m-footbl/mtt/michael_rector_809239.html,WR,6/1/13,178,FR,"Gig Harbor, WA",Gig Harbor,WA,Bellarmine Preparatory,,,,Stanford University,2012-2013
63,Kevin Reihner,http://www.gostanford.com/sports/m-footbl/mtt/kevin_reihner_755820.html,C,6/4/13,294,SO,"Scranton, PA",Scranton,PA,Scranton Prep,,,,Stanford University,2012-2013
29,Ed Reynolds,http://www.gostanford.com/sports/m-footbl/mtt/ed_reynolds_702645.html,FS,6/2/13,207,JR,"Orange Park, FL",Orange Park,FL,Woodberry Forest High School,,,,Stanford University,2012-2013
14,Ben Rhyne,http://www.gostanford.com/sports/m-footbl/mtt/ben_rhyne_702646.html,P/K,6/2/13,197,JR,"Charlotte, NC",Charlotte,NC,Charlotte Country Day School,,,,Stanford University,2012-2013
8,Jordan Richards,http://www.gostanford.com/sports/m-footbl/mtt/jordan_richards_755821.html,SS,5/11/13,208,SO,"Folsom, CA",Folsom,CA,Folsom High School,,,,Stanford University,2012-2013
84,Jemari Roberts,http://www.gostanford.com/sports/m-footbl/mtt/jemari_roberts_439928.html,TE,6/3/13,233,SR,"Long Beach, CA",Long Beach,CA,Wilson High School,,,,Stanford University,2012-2013
53,Torsten Rotto,http://www.gostanford.com/sports/m-footbl/mtt/torsten_rotto_755822.html,OLB,6/2/13,236,SO,"Woodbury, MN",Woodbury,MN,Woodbury High School,,,,Stanford University,2012-2013
72,J.B. Salem,http://www.gostanford.com/sports/m-footbl/mtt/jb_salem_755823.html,DE,6/4/13,266,SO,"Newport Beach, CA",Newport Beach,CA,Newport Beach High School,,,,Stanford University,2012-2013
26,Barry Sanders,http://www.gostanford.com/sports/m-footbl/mtt/barry_sanders_809241.html,RB,5/10/13,191,FR,"Oklahoma City, OK",Oklahoma City,OK,Heritage Hall,,,,Stanford University,2012-2013
64,Sam Schwartzstein,http://www.gostanford.com/sports/m-footbl/mtt/sam_schwartzstein_360522.html,C,6/3/13,292,RS SR,"Southlake, TX",Southlake,TX,Carroll High School,,,,Stanford University,2012-2013
30,Ricky Seale,http://www.gostanford.com/sports/m-footbl/mtt/ricky_seale_702685.html,RB,5/9/13,193,JR,"Escondido, CA",Escondido,CA,Escondido High School,,,,Stanford University,2012-2013
27,Brent Seals,http://www.gostanford.com/sports/m-footbl/mtt/brent_seals_439931.html,SS,6/1/13,189,SR,"Chino Hills, CA",Chino Hills,CA,Bishop Amat High School,,,,Stanford University,2012-2013
7,Aziz Shittu,http://www.gostanford.com/sports/m-footbl/mtt/aziz_shittu_809243.html,DE,6/3/13,264,FR,"Atwater, CA",Atwater,CA,Buhach Colony,,,,Stanford University,2012-2013
67,Sam Shober,http://www.gostanford.com/sports/m-footbl/mtt/sam_shober_809245.html,OLB,6/3/13,220,FR,"Monroe, WA",Monroe,WA,Archbishop Murphy,,,,Stanford University,2012-2013
52,Graham Shuler,http://www.gostanford.com/sports/m-footbl/mtt/graham_shuler_809248.html,C/OG,6/4/13,268,FR,"Franklin, TN",Franklin,TN,Brentwood Academy,,,,Stanford University,2012-2013
24,Patrick Skov,http://www.gostanford.com/sports/m-footbl/mtt/patrick_skov_755824.html,FB,6/1/13,238,SO,"Piedmont, CA",Piedmont,CA,The Lawrenceville School,,,,Stanford University,2012-2013
11,Shayne Skov,http://www.gostanford.com/sports/m-footbl/mtt/shayne_skov_439934.html,ILB,6/3/13,242,SR,"Piedmont, CA",Piedmont,CA,Trinity-Pawling School,,,,Stanford University,2012-2013
13,Rollins Stallworth,http://www.gostanford.com/sports/m-footbl/mtt/rollins_stallworth_755825.html,WR,6/4/13,194,SO,"Reno, NV",Reno,NV,McQueen High School,,,,Stanford University,2012-2013
99,Terrence Stephens,http://www.gostanford.com/sports/m-footbl/mtt/terrence_stephens_439958.html,DT,6/2/13,305,SR,"Gaithersburg, MD",Gaithersburg,MD,Quince Orchard High School,,,,Stanford University,2012-2013
29,Andrew Stutz,http://www.gostanford.com/sports/m-footbl/mtt/andrew_stutz_439960.html,RB/FB,6/1/13,202,SR,"Scottsdale, AZ",Scottsdale,AZ,Notre Dame Prep,,,,Stanford University,2012-2013
24,Spencer Summers,http://www.gostanford.com/sports/m-footbl/mtt/spencer_summers_797821.html,K,5/8/13,177,SO,"Minneapolis, MN",Minneapolis,MN,Minnehaha Academy,,,,Stanford University,2012-2013
17,A.J. Tarpley,http://www.gostanford.com/sports/m-footbl/mtt/aj_tarpley_817269.html,ILB,6/2/13,238,JR,"Plymouth, MN",Plymouth,MN,Wayzata High School,,,,Stanford University,2012-2013
33,Stepfan Taylor,http://www.gostanford.com/sports/m-footbl/mtt/stepfan_taylor_439961.html,RB,5/11/13,215,SR,"Mansfield, TX",Mansfield,TX,Mansfield High School,,,,Stanford University,2012-2013
4,Drew Terrell,http://www.gostanford.com/sports/m-footbl/mtt/drew_terrell_439964.html,WR,5/11/13,180,SR,"Chandler, AZ",Chandler,AZ,Hamilton High School,,,,Stanford University,2012-2013
44,Chase Thomas,http://www.gostanford.com/sports/m-footbl/mtt/chase_thomas_360527.html,OLB,6/4/13,248,RS SR,"Marietta, GA",Marietta,GA,Walton High School,,,,Stanford University,2012-2013
11,Levine Toilolo,http://www.gostanford.com/sports/m-footbl/mtt/levine_toilolo_439967.html,TE,6/8/13,265,SR,"La Mesa, CA",La Mesa,CA,Helix High School,,,,Stanford University,2012-2013
18,Jeff Trojan,http://www.gostanford.com/sports/m-footbl/mtt/jeff_trojan_702687.html,WR,6/3/13,185,JR,"Huntington Beach, CA",Huntington Beach,CA,Edison High School,,,,Stanford University,2012-2013
62,Austin Tubbs,http://www.gostanford.com/sports/m-footbl/mtt/austin_tubbs_755844.html,LS,6/1/00,203,SO,"San Clemente, CA",San Clemente,CA,San Clemente High School,,,,Stanford University,2012-2013
34,Conrad Ukropina,http://www.gostanford.com/sports/m-footbl/mtt/conrad_ukropina_809249.html,P/K,6/1/13,175,FR,"Pasadena, CA",Pasadena,CA,Loyola,,,,Stanford University,2012-2013
50,Cole Underwood,http://www.gostanford.com/sports/m-footbl/mtt/cole_underwood_702707.html,OT/OG,6/4/13,301,JR,"Denton, TX",Denton,TX,John H. Guyer High School,,,,Stanford University,2012-2013
9,James Vaughters,http://www.gostanford.com/sports/m-footbl/mtt/james_vaughters_755827.html,ILB,6/2/13,246,SO,"Stone Mountain, GA",Stone Mountain,GA,Tucker High School,,,,Stanford University,2012-2013
46,Lee Ward,http://www.gostanford.com/sports/m-footbl/mtt/lee_ward_702666.html,FB,6/1/13,245,JR,"Chesterfield, MO",Chesterfield,MO,Parkway Central High School,,,,Stanford University,2012-2013
75,Jordan Watkins,http://www.gostanford.com/sports/m-footbl/mtt/jordan_watkins_809250.html,DT/DE,6/5/13,274,FR,"Decatur, GA",Decatur,GA,Woodward Academy,,,,Stanford University,2012-2013
9,Kodi Whitfield,http://www.gostanford.com/sports/m-footbl/mtt/kodi_whitfield_809251.html,WR,6/2/13,188,FR,"Los Angeles, CA",Los Angeles,CA,Loyola,,,,Stanford University,2012-2013
32,Anthony Wilkerson,http://www.gostanford.com/sports/m-footbl/mtt/anthony_wilkerson_702726.html,RB,6/1/13,218,JR,"Foothill Ranch, CA",Foothill Ranch,CA,Tustin High School,,,,Stanford University,2012-2013
65,Khalil Wilkes,http://www.gostanford.com/sports/m-footbl/mtt/khalil_wilkes_439970.html,OG,6/3/13,291,SR,"Teaneck, NJ",Teaneck,NJ,St. Peters Prep,,,,Stanford University,2012-2013
19,Jordan Williamson,http://www.gostanford.com/sports/m-footbl/mtt/jordan_williamson_702745.html,K,5/11/13,192,JR,"Austin, TX",Austin,TX,Westwood High School,,,,Stanford University,2012-2013
22,Remound Wright,http://www.gostanford.com/sports/m-footbl/mtt/remound_wright_755828.html,RB,5/9/13,205,SO,"Fort Wayne, IN",Fort Wayne,IN,Bishop Dwenger High School,,,,Stanford University,2012-2013
54,David Yankey,http://www.gostanford.com/sports/m-footbl/mtt/david_yankey_702785.html,OG,6/5/13,301,JR,"Roswell, GA",Roswell,GA,Centennial High School,,,,Stanford University,2012-2013
79,Alex Yazdi,http://www.gostanford.com/sports/m-footbl/mtt/alex_yazdi_755829.html,DE,6/1/13,255,SO,"Cave Creek, AZ",Cave Creek,AZ,Cactus Shadows High School,,,,Stanford University,2012-2013
39,Kelsey Young,http://www.gostanford.com/sports/m-footbl/mtt/kelsey_young_755830.html,WR/RB,5/10/13,195,SO,"Norco, CA",Norco,CA,Norco High School,,,,Stanford University,2012-2013
68,Sam Yules,http://www.gostanford.com/sports/m-footbl/mtt/sam_yules_809252.html,ILB,6/2/13,230,FR,"Dartmouth, MA",Dartmouth,MA,Moses Brown School,,,,Stanford University,2012-2013
36,Daniel Zychlinski,http://www.gostanford.com/sports/m-footbl/mtt/daniel_zychlinski_360538.html,P,6/3/13,208,RS SR,"Tampa, FL",Tampa,FL,King High School,,,,Stanford University,2012-2013
