Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
27,Terrance Mitchell,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204920084&Q_SEASON=2012,DB,6/1/00,189,So.,"Sacramento, Calif. ",Sacramento,CA,Luther Burbank High School,,University of Oregon,2012-2013,,,
28,Eric Amoako,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504141&Q_SEASON=2012,DB,5/11/13,193,Fr.,"Arlington, Texas ",Arlington,TX,Martin High School,,University of Oregon,2012-2013,,,
29,Stephen Amoako,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504193&Q_SEASON=2012,DB,5/11/13,194,Fr.,"Arlington, Texas ",Arlington,TX,Martin High School,,University of Oregon,2012-2013,,,
30,Dylan Ausherman,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205503985&Q_SEASON=2012,PK,6/3/13,170,Jr.,"Visalia, Calif. ",Visalia,CA,El Diamante High School,College of the Sequoias,University of Oregon,2012-2013,,,
30,Ayele Forde,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205003468&Q_SEASON=2012,RB,5/7/13,183,So.,"Victorville, Cal. ",Victorville,CA,Silverado High School,,University of Oregon,2012-2013,,,
30,Bronson Yim,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205269139&Q_SEASON=2012,DB,5/10/13,180,RFr.,"Honolulu, Hawaii ",Honolulu,HAWAII,St. Louis High School,,University of Oregon,2012-2013,,,
31,Kenny Bassett,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978484&Q_SEASON=2012,RB,5/9/13,178,So.,"Beverly Hills, Calif. ",Beverly Hills,CA,Beverly Hills High School,,University of Oregon,2012-2013,,,
31,Oshay Dunmore,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205503887&Q_SEASON=2012,DB,6/2/13,195,Fr.,"Newport, Ore. ",Newport,ORE,Newport High School,,University of Oregon,2012-2013,,,
32,Evan Baylis,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205409480&Q_SEASON=2012,TE,6/6/13,244,Fr.,"Centennial, Colo. ",Centennial,CO,Grandview High School,,University of Oregon,2012-2013,,,
32,J.R. Maffie,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204835693&Q_SEASON=2012,DB,5/11/13,205,Jr.,"Diamond Bar, Calif. ",Diamond Bar,CA,Bishop Amat High School,,University of Oregon,2012-2013,,,
33,Tyson Coleman,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205126111&Q_SEASON=2012,LB,6/1/13,222,RFr.,"Lake Oswego, Ore. ",Lake Oswego,ORE,Lake Oswego High School,,University of Oregon,2012-2013,,,
34,Rahim Cassell,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205237443&Q_SEASON=2012,LB,6/1/00,215,RFr.,"Lakewood, Calif. ",Lakewood,CA,Lakewood High School,,University of Oregon,2012-2013,,,
