Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
9,Matt McIntosh,http://www.niuhuskies.com/sports/m-footbl/mtt/mcintosh_matt00.html,QB,6/1/13,197,RS FR,"Evansville, IN",Evansville,IN,Reitz,,,,,Northern Illinois University,2012-2013
32,Nate McNeal,http://www.niuhuskies.com/sports/m-footbl/mtt/mcneal_nate00.html,S,5/10/13,171,RS JR,"Chicago, IL",Chicago,IL,Thornwood,Harper College,,,,Northern Illinois University,2012-2013
49,Jason Meehan,http://www.niuhuskies.com/sports/m-footbl/mtt/meehan_jason00.html,DE,6/1/13,241,SO,"St. Louis, MO",St. Louis,MO,Webster Groves,,,,,Northern Illinois University,2012-2013
11,Rashaan Melvin,http://www.niuhuskies.com/sports/m-footbl/mtt/melvin_rashaan00.html,CB,6/2/13,193,RS SR,"Waukegan, IL",Waukegan,IL,Waukegan,,,,,Northern Illinois University,2012-2013
13,Charlie Miller,http://www.niuhuskies.com/sports/m-footbl/mtt/miller_charlie00.html,WR,5/10/13,176,FR,"Vero Beach, FL",Vero Beach,FL,Vero Beach,,,,,Northern Illinois University,2012-2013
30,Marlon Moore,http://www.niuhuskies.com/sports/m-footbl/mtt/moore_marlon00.html,CB,5/9/13,180,FR,"Mobile, AL",Mobile,AL,C.F. Vigor,,,,,Northern Illinois University,2012-2013
1,Martel Moore,http://www.niuhuskies.com/sports/m-footbl/mtt/moore_martel00.html,WR,6/1/00,183,SR,"San Antonio, TX",San Antonio,TX,Earl Warren,,,,,Northern Illinois University,2012-2013
33,Tre' Moore,http://www.niuhuskies.com/sports/m-footbl/mtt/moore_tre01.html,S,5/9/13,194,RS FR,"Dayton, OH",Dayton,OH,Wayne,,,,,Northern Illinois University,2012-2013
38,Alex Morrow,http://www.niuhuskies.com/sports/m-footbl/mtt/morrow_alex00.html,RB,5/8/13,194,FR,"Streamwood, IL",Streamwood,IL,Streamwood,,,,,Northern Illinois University,2012-2013
71,Levon Myers,http://www.niuhuskies.com/sports/m-footbl/mtt/myers_levon00.html,OL,6/5/13,267,FR,"Franklin, WI",Franklin,WI,Franklin,,,,,Northern Illinois University,2012-2013
18,Ryan Neir,http://www.niuhuskies.com/sports/m-footbl/mtt/neir_ryan00.html,P,6/3/13,208,RS SR,"Roscoe, IL",Roscoe,IL,Hononegah,,,,,Northern Illinois University,2012-2013
35,Videl Nelson,http://www.niuhuskies.com/sports/m-footbl/mtt/nelson_videl00.html,LB,6/1/00,230,RS FR,"Kansas City, MO",Kansas City,MO,Staley,,,,,Northern Illinois University,2012-2013
55,Andrew Ness,http://www.niuhuskies.com/sports/m-footbl/mtt/ness_andrew00.html,OL,6/3/13,286,RS FR,"O'Fallon, MO",O'Fallon,MO,Christian Brothers College,,,,,Northern Illinois University,2012-2013
89,Stephen O'Neal,http://www.niuhuskies.com/sports/m-footbl/mtt/oneal_stephen00.html,DE,6/3/13,235,RS JR,"Park Forest, IL",Park Forest,IL,Rich East,,,,,Northern Illinois University,2012-2013
65,Wes Ott,http://www.niuhuskies.com/sports/m-footbl/mtt/ott_wes00.html,OL,6/3/13,281,RS SO,"Western Springs, IL",Western Springs,IL,Lyons Township,,,,,Northern Illinois University,2012-2013
70,Logan Pegram,http://www.niuhuskies.com/sports/m-footbl/mtt/pegram_logan00.html,OL,6/3/13,306,RS SR,"Silver Lake, KS",Silver Lake,KS,Silver Lake,,,,,Northern Illinois University,2012-2013
67,Tyler Pitt,http://www.niuhuskies.com/sports/m-footbl/mtt/pitt_tyler00.html,OL,6/5/13,292,RS SO,"McRae, GA",McRae,GA,Telfair County,,,,,Northern Illinois University,2012-2013
95,Sean Progar,http://www.niuhuskies.com/sports/m-footbl/mtt/progar_sean00.html,DE,6/2/13,254,RS SR,"Glenview, IL",Glenview,IL,Glenbrook South,,,,,Northern Illinois University,2012-2013
46,George Rainey,http://www.niuhuskies.com/sports/m-footbl/mtt/rainey_george00.html,DE,6/2/13,222,RS JR,"Milwaukee, WI",Milwaukee,WI,South Division,,,,,Northern Illinois University,2012-2013
66,Bobby Ramlet,http://www.niuhuskies.com/sports/m-footbl/mtt/ramlet_bobby00.html,DS,6/3/13,236,FR,"Appleton, WI",Appleton,WI,Xavier,,,,,Northern Illinois University,2012-2013
72,Josh Ruka,http://www.niuhuskies.com/sports/m-footbl/mtt/ruka_josh00.html,OL,6/6/13,295,FR,"Greenfield, WI",Greenfield,WI,Greenfield,,,,,Northern Illinois University,2012-2013
52,Michael Santacaterina,http://www.niuhuskies.com/sports/m-footbl/mtt/santacaterina_michael00.html,LB,5/10/13,210,RS SO,"Geneva, IL",Geneva,IL,Geneva,,,,,Northern Illinois University,2012-2013
87,Jason Schepler,http://www.niuhuskies.com/sports/m-footbl/mtt/schepler_jason00.html,TE,6/2/13,274,RS SR,"Sycamore, IL",Sycamore,IL,Sycamore,,,,,Northern Illinois University,2012-2013
85,Angelo Sebastiano,http://www.niuhuskies.com/sports/m-footbl/mtt/sebastiano_angelo00.html,WR,6/1/00,205,RS FR,"Coconut Creek, FL",Coconut Creek,FL,North Broward Prep,,,,,Northern Illinois University,2012-2013
88,Tim Semisch,http://www.niuhuskies.com/sports/m-footbl/mtt/semisch_tim00.html,TE,6/8/13,266,RS SO,"Omaha, NE",Omaha,NE,Millard North,Nebraska-Omaha,,,,Northern Illinois University,2012-2013
23,Leighton Settle,http://www.niuhuskies.com/sports/m-footbl/mtt/settle_leighton00.html,RB,5/9/13,199,JR,"Madison, WI",Madison,WI,Madison West,Fresno City Community College,,,,Northern Illinois University,2012-2013
99,Mathew Sims,http://www.niuhuskies.com/sports/m-footbl/mtt/sims_mathew00.html,K,5/9/13,181,JR,"Hannibal, MO",Hannibal,MO,Hannibal,,,,,Northern Illinois University,2012-2013
34,James Spencer,http://www.niuhuskies.com/sports/m-footbl/mtt/spencer_james00.html,RB,5/8/13,181,RS SO,"Fremont, OH",Fremont,OH,Ross,,,,,Northern Illinois University,2012-2013
76,Brad Steger,http://www.niuhuskies.com/sports/m-footbl/mtt/steger_brad00.html,OL,6/6/13,346,FR,"Rock Island, IL",Rock Island,IL,Rock Island,,,,,Northern Illinois University,2012-2013
14,Courtney Stephen,http://www.niuhuskies.com/sports/m-footbl/mtt/stephen_courtney00.html,S,6/1/00,194,RS SR,"Brampton, Ont., Canada",Brampton,ON,Turner Fenton,Wilfrid Laurier University,,,,Northern Illinois University,2012-2013
47,Rob Sterling,http://www.niuhuskies.com/sports/m-footbl/mtt/sterling_rob00.html,FB,5/10/13,231,SO,"Lansing, IL",Lansing,IL,T.F. South,,,,,Northern Illinois University,2012-2013
42,Cameron Stingily,http://www.niuhuskies.com/sports/m-footbl/mtt/stingily_cameron00.html,RB,6/1/13,244,RS SO,"Romeoville, IL",Romeoville,IL,Romeoville,,,,,Northern Illinois University,2012-2013
19,Demetrius Stone,http://www.niuhuskies.com/sports/m-footbl/mtt/stone_demetrius00.html,CB,5/10/13,203,SR,"Miami, FL",Miami,FL,American Senior,Coffeyville Community College,,,,Northern Illinois University,2012-2013
39,Mark Strbjak,http://www.niuhuskies.com/sports/m-footbl/mtt/strbjak_mark00.html,P,6/3/13,200,FR,"Munster, IN",Munster,IN,Munster,,,,,Northern Illinois University,2012-2013
43,Jess Striedl,http://www.niuhuskies.com/sports/m-footbl/mtt/striedl_jess00.html,TE,6/1/13,221,RS SO,"St. Charles, IL",St. Charles,IL,St. Charles East,,,,,Northern Illinois University,2012-2013
57,Scott Taylor,http://www.niuhuskies.com/sports/m-footbl/mtt/taylor_scott00.html,OL,6/2/13,295,FR,"Marengo, IL",Marengo,IL,Marian Central Catholic,,,,,Northern Illinois University,2012-2013
84,Kevin Tennenbaum,http://www.niuhuskies.com/sports/m-footbl/mtt/tennenbaum_kevin00.html,TE,6/3/13,239,RS FR,"Buffalo Grove, IL",Buffalo Grove,IL,Buffalo Grove,,,,,Northern Illinois University,2012-2013
69,Corey Thomas,http://www.niuhuskies.com/sports/m-footbl/mtt/thomas_corey00.html,DT,6/2/13,308,FR,"Chicago, IL",Chicago,IL,Lindblom Math & Science Academy,,,,,Northern Illinois University,2012-2013
77,Jared Volk,http://www.niuhuskies.com/sports/m-footbl/mtt/volk_jared00.html,OL,6/3/13,315,RS JR,"Hartland, WI",Hartland,WI,Arrowhead,,,,,Northern Illinois University,2012-2013
15,Jimmie Ward,http://www.niuhuskies.com/sports/m-footbl/mtt/ward_jimmie00.html,DB,5/11/13,192,JR,"Mobile, AL",Mobile,AL,Davidson,,,,,Northern Illinois University,2012-2013
24,Dominique Ware,http://www.niuhuskies.com/sports/m-footbl/mtt/ware_dominique00.html,CB,5/11/13,180,RS JR,"Bolingbrook, IL",Bolingbrook,IL,Plainfield North,,,,,Northern Illinois University,2012-2013
26,Tyler Wedel,http://www.niuhuskies.com/sports/m-footbl/mtt/wedel_tyler00.html,P/K,5/11/13,186,SO,"McFarland, WI",McFarland,WI,McFarland,,,,,Northern Illinois University,2012-2013
91,Anthony Wells,http://www.niuhuskies.com/sports/m-footbl/mtt/wells_anthony00.html,DT,6/3/13,276,RS JR,"North Chicago, IL",North Chicago,IL,North Chicago,,,,,Northern Illinois University,2012-2013
22,Jamison Wells,http://www.niuhuskies.com/sports/m-footbl/mtt/wells_jamison00.html,WR,5/11/13,193,RS JR,"Combined Locks, WI",Combined Locks,WI,Kimberly,,,,,Northern Illinois University,2012-2013
12,Matt Williams,http://www.niuhuskies.com/sports/m-footbl/mtt/williams_matt00.html,QB,6/1/13,188,FR,"Geneva, IL",Geneva,IL,Geneva,,,,,Northern Illinois University,2012-2013
97,Joe Windsor,http://www.niuhuskies.com/sports/m-footbl/mtt/windsor_joe00.html,DE,6/1/00,236,JR,"Kearney, MO",Kearney,MO,Kearney,,,,,Northern Illinois University,2012-2013
27,Bobby Winkel,http://www.niuhuskies.com/sports/m-footbl/mtt/winkel_bobby00.html,LB,6/1/13,227,RS SO,"Batavia, IL",Batavia,IL,Marmion Academy,,,,,Northern Illinois University,2012-2013
5,Jamal Womble,http://www.niuhuskies.com/sports/m-footbl/mtt/womble_jamal00.html,RB,5/10/13,246,SR,"Teachey, NC",Teachey,NC,Buena,Hutchinson Community College,,,,Northern Illinois University,2012-2013
