,unitid,DOE.Institution_Name,ID_School,ID_Conference,Year,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
1558,243744,Stanford University,STAN,PAC12,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,36,13,23,27,12,15,5,0,5,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1998Size.csv
1562,243744,Stanford University,STAN,PAC12,1997-1998,Basketball,Athletes,Scholarship Awards,28,13,15,11,4,7,13,7,6,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1998Size.csv
1564,243744,Stanford University,STAN,PAC12,1997-1998,All other sports combined,Athletes,Scholarship Awards,196,74,122,153,57,96,7,2,5,9,5,4,16,6,10,0,0,0,0,0,0,11,4,7,1998Size.csv
1398,228723,Texas A & M University-College Station,TAM,SEC,1997-1998,Football,Athletes,Scholarship Awards,90,90,0,32,32,0,52,52,0,1,1,0,3,3,0,0,0,0,2,2,0,0,0,0,1998Size.csv
1407,228723,Texas A & M University-College Station,TAM,SEC,1997-1998,All other sports combined,Athletes,Scholarship Awards,142,44,98,119,34,85,0,0,0,8,3,5,1,0,1,1,1,0,1,0,1,12,6,6,1998Size.csv
1419,228723,Texas A & M University-College Station,TAM,SEC,1997-1998,Basketball,Athletes,Scholarship Awards,28,13,15,12,3,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1998Size.csv
1426,228723,Texas A & M University-College Station,TAM,SEC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,68,35,33,39,19,20,21,11,10,1,0,1,2,0,2,0,0,0,1,1,0,4,4,0,1998Size.csv
1427,228723,Texas A & M University-College Station,TAM,SEC,1997-1998,Baseball,Athletes,Scholarship Awards,37,37,0,35,35,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
399,139959,University of Georgia,UGA,SEC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,39,15,24,15,6,9,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,1998Size.csv
408,139959,University of Georgia,UGA,SEC,1997-1998,Baseball,Athletes,Scholarship Awards,35,35,0,33,33,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
414,139959,University of Georgia,UGA,SEC,1997-1998,Basketball,Athletes,Scholarship Awards,23,12,11,6,3,3,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1998Size.csv
415,139959,University of Georgia,UGA,SEC,1997-1998,Football,Athletes,Scholarship Awards,81,81,0,32,32,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
432,139959,University of Georgia,UGA,SEC,1997-1998,All other sports combined,Athletes,Scholarship Awards,130,33,97,110,26,84,5,2,3,0,0,0,1,0,1,2,0,2,0,0,0,12,5,7,1998Size.csv
736,170976,University of Michigan-Ann Arbor,UM,BIG10,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,51,22,29,25,9,16,15,7,8,0,0,0,0,0,0,0,0,0,1,1,0,10,5,5,1998Size.csv
737,170976,University of Michigan-Ann Arbor,UM,BIG10,1997-1998,Basketball,Athletes,Scholarship Awards,23,11,12,9,4,5,11,6,5,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1998Size.csv
739,170976,University of Michigan-Ann Arbor,UM,BIG10,1997-1998,Baseball,Athletes,Scholarship Awards,20,20,0,19,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
740,170976,University of Michigan-Ann Arbor,UM,BIG10,1997-1998,All other sports combined,Athletes,Scholarship Awards,204,78,126,170,61,109,5,3,2,2,0,2,6,1,5,0,0,0,6,2,4,15,11,4,1998Size.csv
742,170976,University of Michigan-Ann Arbor,UM,BIG10,1997-1998,Football,Athletes,Scholarship Awards,91,91,0,48,48,0,40,40,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1998Size.csv
924,199120,University of North Carolina at Chapel Hill,UNC,ACC,1997-1998,Baseball,Athletes,Scholarship Awards,22,22,0,20,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
929,199120,University of North Carolina at Chapel Hill,UNC,ACC,1997-1998,All other sports combined,Athletes,Scholarship Awards,242,113,129,233,107,126,6,4,2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1998Size.csv
934,199120,University of North Carolina at Chapel Hill,UNC,ACC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,50,21,29,27,11,16,20,7,13,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1998Size.csv
955,199120,University of North Carolina at Chapel Hill,UNC,ACC,1997-1998,Basketball,Athletes,Scholarship Awards,26,12,14,7,3,4,15,5,10,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1998Size.csv
963,199120,University of North Carolina at Chapel Hill,UNC,ACC,1997-1998,Football,Athletes,Scholarship Awards,84,84,0,25,25,0,57,57,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1998Size.csv
358,135726,University of Miami,UOFM,ACC,1997-1998,Football,Athletes,Scholarship Awards,69,69,0,16,16,0,48,48,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1998Size.csv
363,135726,University of Miami,UOFM,ACC,1997-1998,Baseball,Athletes,Scholarship Awards,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
364,135726,University of Miami,UOFM,ACC,1997-1998,All other sports combined,Athletes,Scholarship Awards,42,11,31,23,6,17,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,15,4,11,1998Size.csv
376,135726,University of Miami,UOFM,ACC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,29,10,19,7,5,2,13,2,11,4,2,2,0,0,0,0,0,0,0,0,0,5,1,4,1998Size.csv
384,135726,University of Miami,UOFM,ACC,1997-1998,Basketball,Athletes,Scholarship Awards,23,12,11,3,0,3,17,11,6,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1998Size.csv
174,123961,University of Southern California,USC,PAC12,1997-1998,Baseball,Athletes,Scholarship Awards,17,17,0,11,11,0,1,1,0,3,3,0,0,0,0,1,1,0,1,1,0,0,0,0,1998Size.csv
177,123961,University of Southern California,USC,PAC12,1997-1998,Basketball,Athletes,Scholarship Awards,26,15,11,5,2,3,16,11,5,1,1,0,0,0,0,0,0,0,3,0,3,1,1,0,1998Size.csv
178,123961,University of Southern California,USC,PAC12,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,15,11,4,1,1,0,5,5,0,0,0,0,0,0,0,1,0,1,0,0,0,8,5,3,1998Size.csv
186,123961,University of Southern California,USC,PAC12,1997-1998,All other sports combined,Athletes,Scholarship Awards,122,39,83,85,23,62,3,1,2,4,0,4,3,1,2,0,0,0,4,2,2,23,12,11,1998Size.csv
192,123961,University of Southern California,USC,PAC12,1997-1998,Football,Athletes,Scholarship Awards,84,84,0,29,29,0,47,47,0,3,3,0,2,2,0,1,1,0,2,2,0,0,0,0,1998Size.csv
1441,228778,The University of Texas at Austin,UT,BIG12,1997-1998,Basketball,Athletes,Scholarship Awards,31,14,17,11,3,8,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1998Size.csv
1442,228778,The University of Texas at Austin,UT,BIG12,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,64,36,28,28,20,8,23,9,14,5,2,3,0,0,0,1,1,0,0,0,0,7,4,3,1998Size.csv
1443,228778,The University of Texas at Austin,UT,BIG12,1997-1998,All other sports combined,Athletes,Scholarship Awards,157,54,103,127,50,77,8,0,8,7,0,7,3,0,3,2,1,1,0,0,0,10,3,7,1998Size.csv
1446,228778,The University of Texas at Austin,UT,BIG12,1997-1998,Baseball,Athletes,Scholarship Awards,39,39,0,36,36,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
1472,228778,The University of Texas at Austin,UT,BIG12,1997-1998,Football,Athletes,Scholarship Awards,86,86,0,40,40,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
1492,230728,Utah State University,UTA.ST,MWC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,55,23,32,50,20,30,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,1998Size.csv
1495,230728,Utah State University,UTA.ST,MWC,1997-1998,Basketball,Athletes,Scholarship Awards,13,13,0,5,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998Size.csv
1497,230728,Utah State University,UTA.ST,MWC,1997-1998,Football,Athletes,Scholarship Awards,77,77,0,39,39,0,28,28,0,3,3,0,5,5,0,0,0,0,1,1,0,1,1,0,1998Size.csv
1518,230728,Utah State University,UTA.ST,MWC,1997-1998,All other sports combined,Athletes,Scholarship Awards,75,17,58,71,17,54,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1998Size.csv
1309,221999,Vanderbilt University,VANDY,SEC,1997-1998,Football,Athletes,Scholarship Awards,91,91,0,38,38,0,50,50,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1998Size.csv
1333,221999,Vanderbilt University,VANDY,SEC,1997-1998,Baseball,Athletes,Scholarship Awards,21,21,0,19,19,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1998Size.csv
1334,221999,Vanderbilt University,VANDY,SEC,1997-1998,Basketball,Athletes,Scholarship Awards,27,13,14,14,7,7,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1998Size.csv
1335,221999,Vanderbilt University,VANDY,SEC,1997-1998,Cross-country and/or track,Athletes,Scholarship Awards,24,0,24,16,0,16,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1998Size.csv
1345,221999,Vanderbilt University,VANDY,SEC,1997-1998,All other sports combined,Athletes,Scholarship Awards,86,33,53,70,31,39,1,0,1,1,0,1,1,0,1,0,0,0,10,1,9,3,1,2,1998Size.csv
83,100858,Auburn University,AUB,SEC,1998-1999,Football,Athletes,Scholarship Awards,88,88,0,34,34,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
96,100858,Auburn University,AUB,SEC,1998-1999,All other sports combined,Athletes,Scholarship Awards,137,41,96,116,31,85,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,15,9,6,1999Size.csv
97,100858,Auburn University,AUB,SEC,1998-1999,Baseball,Athletes,Scholarship Awards,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
99,100858,Auburn University,AUB,SEC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,43,22,21,24,14,10,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1999Size.csv
100,100858,Auburn University,AUB,SEC,1998-1999,Basketball,Athletes,Scholarship Awards,26,11,15,5,2,3,19,8,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1999Size.csv
9,100751,The University of Alabama,BAMA,SEC,1998-1999,Basketball,Athletes,Scholarship Awards,27,13,14,6,3,3,20,10,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1999Size.csv
15,100751,The University of Alabama,BAMA,SEC,1998-1999,Baseball,Athletes,Scholarship Awards,26,26,0,23,23,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
26,100751,The University of Alabama,BAMA,SEC,1998-1999,Football,Athletes,Scholarship Awards,90,90,0,25,25,0,64,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
35,100751,The University of Alabama,BAMA,SEC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,36,16,20,14,5,9,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,1999Size.csv
47,100751,The University of Alabama,BAMA,SEC,1998-1999,All other sports combined,Athletes,Scholarship Awards,118,33,85,82,18,64,5,0,5,5,1,4,4,1,3,1,0,1,0,0,0,21,13,8,1999Size.csv
462,142115,Boise State University,BOS.ST,MWC,1998-1999,All other sports combined,Athletes,Scholarship Awards,21,6,15,17,6,11,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,1999Size.csv
469,142115,Boise State University,BOS.ST,MWC,1998-1999,Basketball,Athletes,Scholarship Awards,6,3,3,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
480,142115,Boise State University,BOS.ST,MWC,1998-1999,Football,Athletes,Scholarship Awards,20,20,0,8,8,0,7,7,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,1999Size.csv
484,142115,Boise State University,BOS.ST,MWC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,9,6,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1999Size.csv
1217,217882,Clemson University,CLEM,ACC,1998-1999,Baseball,Athletes,Scholarship Awards,35,35,0,34,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
1221,217882,Clemson University,CLEM,ACC,1998-1999,Football,Athletes,Scholarship Awards,85,85,0,32,32,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
1224,217882,Clemson University,CLEM,ACC,1998-1999,Basketball,Athletes,Scholarship Awards,28,13,15,5,2,3,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1999Size.csv
1225,217882,Clemson University,CLEM,ACC,1998-1999,All other sports combined,Athletes,Scholarship Awards,135,68,67,108,52,56,4,3,1,2,1,1,0,0,0,0,0,0,2,2,0,19,10,9,1999Size.csv
1231,217882,Clemson University,CLEM,ACC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,54,28,26,32,17,15,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1999Size.csv
877,198419,Duke University,DUKE,ACC,1998-1999,Football,Athletes,Scholarship Awards,82,82,0,48,48,0,32,32,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1999Size.csv
878,198419,Duke University,DUKE,ACC,1998-1999,All other sports combined,Athletes,Scholarship Awards,141,56,85,125,48,77,7,4,3,0,0,0,2,1,1,0,0,0,2,1,1,5,2,3,1999Size.csv
879,198419,Duke University,DUKE,ACC,1998-1999,Basketball,Athletes,Scholarship Awards,25,11,14,12,4,8,10,6,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1999Size.csv
883,198419,Duke University,DUKE,ACC,1998-1999,Baseball,Athletes,Scholarship Awards,19,19,0,17,17,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
305,134130,University of Florida,FLA,SEC,1998-1999,Basketball,Athletes,Scholarship Awards,24,12,12,7,5,2,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1999Size.csv
307,134130,University of Florida,FLA,SEC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,70,38,32,41,25,16,24,13,11,1,0,1,0,0,0,0,0,0,2,0,2,2,0,2,1999Size.csv
317,134130,University of Florida,FLA,SEC,1998-1999,Baseball,Athletes,Scholarship Awards,32,32,0,26,26,0,1,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1999Size.csv
331,134130,University of Florida,FLA,SEC,1998-1999,All other sports combined,Athletes,Scholarship Awards,138,37,101,107,25,82,8,1,7,7,3,4,2,2,0,0,0,0,3,0,3,11,6,5,1999Size.csv
341,134130,University of Florida,FLA,SEC,1998-1999,Football,Athletes,Scholarship Awards,86,86,0,26,26,0,58,58,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1999Size.csv
287,134097,Florida State University,FSU,ACC,1998-1999,Football,Athletes,Scholarship Awards,81,81,0,17,17,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Size.csv
288,134097,Florida State University,FSU,ACC,1998-1999,Baseball,Athletes,Scholarship Awards,28,28,0,25,25,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
292,134097,Florida State University,FSU,ACC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,46,19,27,20,11,9,19,6,13,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,1999Size.csv
293,134097,Florida State University,FSU,ACC,1998-1999,All other sports combined,Athletes,Scholarship Awards,101,26,75,61,13,48,9,2,7,5,0,5,0,0,0,2,1,1,0,0,0,24,10,14,1999Size.csv
294,134097,Florida State University,FSU,ACC,1998-1999,Basketball,Athletes,Scholarship Awards,20,6,14,10,1,9,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
219,131496,Georgetown University,GTOWN,BIGEAST,1998-1999,All other sports combined,Athletes,Scholarship Awards,91,41,50,77,40,37,3,1,2,4,0,4,5,0,5,0,0,0,2,0,2,0,0,0,1999Size.csv
227,131496,Georgetown University,GTOWN,BIGEAST,1998-1999,Basketball,Athletes,Scholarship Awards,24,11,13,6,0,6,14,8,6,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1999Size.csv
229,131496,Georgetown University,GTOWN,BIGEAST,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,42,20,22,26,12,14,14,7,7,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1999Size.csv
239,131496,Georgetown University,GTOWN,BIGEAST,1998-1999,Baseball,Athletes,Scholarship Awards,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
590,155399,Kansas State University,KAN.ST,BIG12,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,50,25,25,32,18,14,16,7,9,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1999Size.csv
591,155399,Kansas State University,KAN.ST,BIG12,1998-1999,Football,Athletes,Scholarship Awards,79,79,0,33,33,0,43,43,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1999Size.csv
601,155399,Kansas State University,KAN.ST,BIG12,1998-1999,Basketball,Athletes,Scholarship Awards,29,15,14,16,6,10,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
623,155399,Kansas State University,KAN.ST,BIG12,1998-1999,All other sports combined,Athletes,Scholarship Awards,82,13,69,79,13,66,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1999Size.csv
627,155399,Kansas State University,KAN.ST,BIG12,1998-1999,Baseball,Athletes,Scholarship Awards,37,37,0,32,32,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
632,157289,University of Louisville,LOUIS,BIGEAST,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,21,8,13,15,6,9,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1999Size.csv
638,157289,University of Louisville,LOUIS,BIGEAST,1998-1999,Football,Athletes,Scholarship Awards,71,71,0,22,22,0,47,47,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
640,157289,University of Louisville,LOUIS,BIGEAST,1998-1999,All other sports combined,Athletes,Scholarship Awards,148,67,81,109,44,65,12,5,7,2,1,1,4,4,0,0,0,0,0,0,0,21,13,8,1999Size.csv
643,157289,University of Louisville,LOUIS,BIGEAST,1998-1999,Baseball,Athletes,Scholarship Awards,25,25,0,21,21,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1999Size.csv
644,157289,University of Louisville,LOUIS,BIGEAST,1998-1999,Basketball,Athletes,Scholarship Awards,26,13,13,11,4,7,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1999Size.csv
704,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1998-1999,Baseball,Athletes,Scholarship Awards,26,26,0,24,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
715,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,39,18,21,10,7,3,16,4,12,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,1999Size.csv
721,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1998-1999,All other sports combined,Athletes,Scholarship Awards,127,35,92,98,25,73,3,0,3,1,1,0,0,0,0,2,0,2,0,0,0,23,9,14,1999Size.csv
723,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1998-1999,Basketball,Athletes,Scholarship Awards,26,13,13,4,2,2,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1999Size.csv
727,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1998-1999,Football,Athletes,Scholarship Awards,85,85,0,24,24,0,60,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1999Size.csv
538,152080,University of Notre Dame,ND,IND,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,37,22,15,26,16,10,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3,1999Size.csv
546,152080,University of Notre Dame,ND,IND,1998-1999,Football,Athletes,Scholarship Awards,85,85,0,34,34,0,48,48,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1999Size.csv
551,152080,University of Notre Dame,ND,IND,1998-1999,Basketball,Athletes,Scholarship Awards,23,12,11,13,8,5,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1999Size.csv
564,152080,University of Notre Dame,ND,IND,1998-1999,All other sports combined,Athletes,Scholarship Awards,181,77,104,159,63,96,3,2,1,5,2,3,2,1,1,0,0,0,0,0,0,12,9,3,1999Size.csv
567,152080,University of Notre Dame,ND,IND,1998-1999,Baseball,Athletes,Scholarship Awards,27,27,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
788,181464,University of Nebraska-Lincoln,NEB,BIG10,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,74,39,35,51,26,25,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,1999Size.csv
793,181464,University of Nebraska-Lincoln,NEB,BIG10,1998-1999,Football,Athletes,Scholarship Awards,96,96,0,56,56,0,35,35,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,1999Size.csv
797,181464,University of Nebraska-Lincoln,NEB,BIG10,1998-1999,Baseball,Athletes,Scholarship Awards,32,32,0,26,26,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,1999Size.csv
803,181464,University of Nebraska-Lincoln,NEB,BIG10,1998-1999,All other sports combined,Athletes,Scholarship Awards,204,74,130,134,42,92,7,2,5,8,7,1,6,1,5,1,0,1,0,0,0,48,22,26,1999Size.csv
819,181464,University of Nebraska-Lincoln,NEB,BIG10,1998-1999,Basketball,Athletes,Scholarship Awards,31,15,16,17,6,11,13,9,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1999Size.csv
489,147767,Northwestern University,NWST,BIG12,1998-1999,Basketball,Athletes,Scholarship Awards,26,13,13,18,8,10,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1999Size.csv
498,147767,Northwestern University,NWST,BIG12,1998-1999,Baseball,Athletes,Scholarship Awards,21,21,0,20,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
516,147767,Northwestern University,NWST,BIG12,1998-1999,Football,Athletes,Scholarship Awards,78,78,0,43,43,0,33,33,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1999Size.csv
521,147767,Northwestern University,NWST,BIG12,1998-1999,All other sports combined,Athletes,Scholarship Awards,165,56,109,144,48,96,7,2,5,1,0,1,10,6,4,0,0,0,3,0,3,0,0,0,1999Size.csv
1066,207500,University of Oklahoma Norman Campus,OK,BIG12,1998-1999,Basketball,Athletes,Scholarship Awards,28,13,15,6,2,4,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,1999Size.csv
1068,207500,University of Oklahoma Norman Campus,OK,BIG12,1998-1999,Football,Athletes,Scholarship Awards,87,87,0,29,29,0,54,54,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2,0,1999Size.csv
1069,207500,University of Oklahoma Norman Campus,OK,BIG12,1998-1999,Baseball,Athletes,Scholarship Awards,23,23,0,19,19,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1999Size.csv
1077,207500,University of Oklahoma Norman Campus,OK,BIG12,1998-1999,All other sports combined,Athletes,Scholarship Awards,139,58,81,101,43,58,8,3,5,9,4,5,4,2,2,6,3,3,0,0,0,11,3,8,1999Size.csv
1082,207500,University of Oklahoma Norman Campus,OK,BIG12,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,47,19,28,18,5,13,13,7,6,1,1,0,0,0,0,3,0,3,0,0,0,12,6,6,1999Size.csv
1020,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1998-1999,All other sports combined,Athletes,Scholarship Awards,77,32,45,64,23,41,3,3,0,3,1,2,3,2,1,3,2,1,0,0,0,1,1,0,1999Size.csv
1025,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1998-1999,Baseball,Athletes,Scholarship Awards,29,29,0,27,27,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
1036,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1998-1999,Basketball,Athletes,Scholarship Awards,28,10,18,13,4,9,12,6,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1999Size.csv
1046,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1998-1999,Football,Athletes,Scholarship Awards,80,80,0,27,27,0,51,51,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1999Size.csv
1063,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,33,10,23,18,9,9,11,0,11,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2,1999Size.csv
1157,209551,University of Oregon,ORE,PAC12,1998-1999,All other sports combined,Athletes,Scholarship Awards,109,37,72,85,31,54,2,0,2,0,0,0,3,1,2,0,0,0,5,0,5,14,5,9,1999Size.csv
1163,209551,University of Oregon,ORE,PAC12,1998-1999,Cross-country and/or track,Athletes,Scholarship Awards,54,26,28,42,20,22,4,1,3,0,0,0,1,1,0,0,0,0,4,1,3,3,3,0,1999Size.csv
1166,209551,University of Oregon,ORE,PAC12,1998-1999,Basketball,Athletes,Scholarship Awards,27,13,14,10,2,8,10,7,3,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,1999Size.csv
1170,209551,University of Oregon,ORE,PAC12,1998-1999,Football,Athletes,Scholarship Awards,86,86,0,38,38,0,32,32,0,6,6,0,6,6,0,1,1,0,3,3,0,0,0,0,1999Size.csv
1126,209542,Oregon State University,ORE.ST,PAC12,1998-1999,Baseball,Athletes,Scholarship Awards,36,36,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1999Size.csv
1127,209542,Oregon State University,ORE.ST,PAC12,1998-1999,Basketball,Athletes,Scholarship Awards,25,10,15,13,4,9,5,2,3,0,0,0,1,1,0,0,0,0,3,0,3,3,3,0,1999Size.csv
1131,209542,Oregon State University,ORE.ST,PAC12,1998-1999,All other sports combined,Athletes,Scholarship Awards,158,57,101,118,45,73,2,1,1,5,1,4,7,0,7,1,1,0,14,6,8,11,3,8,1999Size.csv
