Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
Fred Carter,Baltimore Bullets,"$20,000 ",1969-1970,,,,,
Michael Davis,Baltimore Bullets,"$45,000 ",1969-1970,,,,,
Leroy Ellis,Baltimore Bullets,"$45,000 ",1969-1970,,,,,
Jack Marin,Baltimore Bullets,"$50,000 ",1969-1970,,,,,
Edward Miles,Baltimore Bullets,"$40,000 ",1969-1970,,,,,
Albert Tucker,Baltimore Bullets,"$30,000 ",1969-1970,,,,,
Jim Barnes,Boston Celtics,"$25,000 ",1969-1970,,,,,
Emmette Bryant,Boston Celtics,"$40,000 ",1969-1970,,,,,
Donald Chaney,Boston Celtics,"$30,000 ",1969-1970,,,,,
Henry Finkel,Boston Celtics,"$30,000 ",1969-1970,,,,,
John Havlicek,Boston Celtics,"$140,000 ",1969-1970,,,,,
Bailey Howell,Boston Celtics,"$62,500 ",1969-1970,,,,,
Steve Kuberski,Boston Celtics,"$37,500 ",1969-1970,,,,,
Donald Nelson,Boston Celtics,"$40,000 ",1969-1970,,,,,
Thomas Sanders,Boston Celtics,"$40,000 ",1969-1970,,,,,
John Baum,Chicago Bulls,"$35,000 ",1969-1970,,,,,
Thomas Boerwinkle,Chicago Bulls,"$50,000 ",1969-1970,,,,,
Shaler Halimon,Chicago Bulls,"$25,000 ",1969-1970,,,,,
Clem Haskins,Chicago Bulls,"$59,000 ",1969-1970,,,,,
Robert Kauffman,Chicago Bulls,"$43,500 ",1969-1970,,,,,
Robert Love,Chicago Bulls,"$41,000 ",1969-1970,,,,,
Edward Manning,Chicago Bulls,"$27,000 ",1969-1970,,,,,
Loy Peterson,Chicago Bulls,"$25,000 ",1969-1970,,,,,
Jerry Sloan,Chicago Bulls,"$60,000 ",1969-1970,,,,,
Chester Walker,Chicago Bulls,"$65,000 ",1969-1970,,,,,
Robert Weiss,Chicago Bulls,"$40,000 ",1969-1970,,,,,
Walter Wesley,Chicago Bulls,"$42,000 ",1969-1970,,,,,
Cliff Anderson,Denver Nuggets,"$10,000 ",1969-1970,,,,,
Dave Bing,Detroit Pistons,"$90,000 ",1969-1970,,,,,
Howard Komives,Detroit Pistons,"$42,500 ",1969-1970,,,,,
Paul Long,Detroit Pistons,"$20,000 ",1969-1970,,,,,
McCoy McLemore,Detroit Pistons,"$30,000 ",1969-1970,,,,,
Steven Mix,Detroit Pistons,"$20,000 ",1969-1970,,,,,
Otto Moore,Detroit Pistons,"$35,000 ",1969-1970,,,,,
Erwin Mueller,Detroit Pistons,"$43,000 ",1969-1970,,,,,
Robert Quick,Detroit Pistons,"$22,000 ",1969-1970,,,,,
Mel Counts,Los Angeles Lakers,"$30,000 ",1969-1970,,,,,
Keith Erickson,Los Angeles Lakers,"$75,000 ",1969-1970,,,,,
Harold Hairston,Los Angeles Lakers,"$52,000 ",1969-1970,,,,,
William Hewitt,Los Angeles Lakers,"$22,500 ",1969-1970,,,,,
Michael Lynn,Los Angeles Lakers,"$21,000 ",1969-1970,,,,,
Willie McCarter,Los Angeles Lakers,"$35,500 ",1969-1970,,,,,
Jerry West,Los Angeles Lakers,"$90,000 ",1969-1970,,,,,
Kareem Abdul-Jabar,Milwaukee Bucks,"$249,996 ",1969-1970,,,,,
Len Chappell,Milwaukee Bucks,"$30,000 ",1969-1970,,,,,
Fred Crawford,Milwaukee Bucks,"$37,500 ",1969-1970,,,,,
Richard Cunningham,Milwaukee Bucks,"$27,000 ",1969-1970,,,,,
Robert Dandridge,Milwaukee Bucks,"$37,500 ",1969-1970,,,,,
Robert Greacen,Milwaukee Bucks,"$22,000 ",1969-1970,,,,,
John McGlockin,Milwaukee Bucks,"$35,000 ",1969-1970,,,,,
Gregory Smith,Milwaukee Bucks,"$35,000 ",1969-1970,,,,,
Sam Williams,Milwaukee Bucks,"$35,000 ",1969-1970,,,,,
Robert Arnzen,New York Knicks,"$24,000 ",1969-1970,,,,,
Richard Barnett,New York Knicks,"$70,000 ",1969-1970,,,,,
Nate Bowman,New York Knicks,"$40,000 ",1969-1970,,,,,
David De Busschere,New York Knicks,"$100,000 ",1969-1970,,,,,
Walter Frazier,New York Knicks,"$75,000 ",1969-1970,,,,,
Wilmer Hosket,New York Knicks,"$15,000 ",1969-1970,,,,,
Donald May,New York Knicks,"$77,500 ",1969-1970,,,,,
Willis Reed,New York Knicks,"$101,950 ",1969-1970,,,,,
Michael Riordan,New York Knicks,"$32,000 ",1969-1970,,,,,
Cazzie Russell,New York Knicks,"$45,000 ",1969-1970,,,,,
Walter Simon,New York Knicks,"$13,500 ",1969-1970,,,,,
David Stallworth,New York Knicks,"$39,000 ",1969-1970,,,,,
John Warren,New York Knicks,"$39,000 ",1969-1970,,,,,
Harold Greer,Philadelphia 76ers,"$100,000 ",1969-1970,,,,,
Matthew Guokas,Philadelphia 76ers,"$30,000 ",1969-1970,,,,,
Lucious Jackson,Philadelphia 76ers,"$100,000 ",1969-1970,,,,,
Walter Jones,Philadelphia 76ers,"$60,000 ",1969-1970,,,,,
James Washington,Philadelphia 76ers,"$45,000 ",1969-1970,,,,,
George Wilson,Philadelphia 76ers,"$28,000 ",1969-1970,,,,,
James Fox,Phoenix Suns,"$30,000 ",1969-1970,,,,,
Lamar Green,Phoenix Suns,"$25,500 ",1969-1970,,,,,
Arthur Harris,Phoenix Suns,"$30,000 ",1969-1970,,,,,
Richard Van Arsdale,Phoenix Suns,"$50,000 ",1969-1970,,,,,
Rick Adelman,San Diego Rockets,"$18,000 ",1969-1970,,,,,
James Barnett,San Diego Rockets,"$35,000 ",1969-1970,,,,,
Donald Kojis,San Diego Rockets,"$50,000 ",1969-1970,,,,,
Stuart Lantz,San Diego Rockets,"$25,000 ",1969-1970,,,,,
Pat Riley,San Diego Rockets,"$27,500 ",1969-1970,,,,,
John Trapp,San Diego Rockets,"$20,000 ",1969-1970,,,,,
Bernard Williams,San Diego Rockets,"$17,500 ",1969-1970,,,,,
Lucius Allen,Seattle Supersonics,"$45,000 ",1969-1970,,,,,
Robert Boozer,Seattle Supersonics,"$45,000 ",1969-1970,,,,,
Barry Clemens,Seattle Supersonics,"$34,000 ",1969-1970,,,,,
Alan Hairston,Seattle Supersonics,"$17,500 ",1969-1970,,,,,
Thomas Meschery,Seattle Supersonics,"$35,000 ",1969-1970,,,,,
Dorie Murrey,Seattle Supersonics,"$27,500 ",1969-1970,,,,,
Bobby Rule,Seattle Supersonics,"$70,000 ",1969-1970,,,,,
Rodney Thorn,Seattle Supersonics,"$24,000 ",1969-1970,,,,,
John Tresvant,Seattle Supersonics,"$35,000 ",1969-1970,,,,,
Leroy Winfield,Seattle Supersonics,"$22,500 ",1969-1970,,,,,
Joe Ellis,San Francisco Warriors,"$36,333 ",1969-1970,,,,,
James King,San Francisco Warriors,"$45,000 ",1969-1970,,,,,
Jerry Lucas,San Francisco Warriors,"$40,000 ",1969-1970,,,,,
Dale Schlueter,San Francisco Warriors,$0 ,1969-1970,,,,,
Adrian Smith,San Francisco Warriors,"$35,000 ",1969-1970,,,,,
Ron Williams,San Francisco Warriors,"$27,500 ",1969-1970,,,,,
Elvin Hayes,Baltimore Bullets,"$100,000 ",1972-1973,,,,,
Tom Patterson,Baltimore Bullets,"$40,000 ",1972-1973,,,,,
Kevin Porter,Baltimore Bullets,"$35,000 ",1972-1973,,,,,
Michael Riordan,Baltimore Bullets,"$100,000 ",1972-1973,,,,,
Donald Chaney,Boston Celtics,"$50,000 ",1972-1973,,,,,
Dave Cowens,Boston Celtics,"$151,000 ",1972-1973,,,,,
Henry Finkel,Boston Celtics,"$52,500 ",1972-1973,,,,,
John Havlicek,Boston Celtics,"$250,000 ",1972-1973,,,,,
Steve Kuberski,Boston Celtics,"$70,000 ",1972-1973,,,,,
Donald Nelson,Boston Celtics,"$75,000 ",1972-1973,,,,,
Paul Westphal,Boston Celtics,"$60,000 ",1972-1973,,,,,
Joseph White,Boston Celtics,"$125,000 ",1972-1973,,,,,
robert Kauffman,Buffalo Braves,"$85,000 ",1972-1973,,,,,
Randolph Smith,Buffalo Braves,"$50,000 ",1972-1973,,,,,
Rowland Garrett,Chicago Bulls,"$30,000 ",1972-1973,,,,,
Robert Love,Chicago Bulls,"$75,000 ",1972-1973,,,,,
Chester Walker,Chicago Bulls,"$125,000 ",1972-1973,,,,,
Robert Weiss,Chicago Bulls,"$85,000 ",1972-1973,,,,,
Steve Patterson,Cleveland Cavaliers,"$60,000 ",1972-1973,,,,,
Bobby Rule,Cleveland Cavaliers,"$95,000 ",1972-1973,,,,,
Chris Ford,Detroit Pistons,"$65,000 ",1972-1973,,,,,
Fred Foster,Detroit Pistons,"$30,000 ",1972-1973,,,,,
Curtis Rowe,Detroit Pistons,"$110,000 ",1972-1973,,,,,
Richard Barry,Golden State Warriors,"$237,500 ",1972-1973,,,,,
Zaid Abdul-Aziz,Houston Rockets,"$150,000 ",1972-1973,,,,,
Richard Gibbs,Houston Rockets,"$32,000 ",1972-1973,,,,,
Jack Marin,Houston Rockets,"$140,000 ",1972-1973,,,,,
Paul McCracken,Houston Rockets,"$17,500 ",1972-1973,,,,,
Otto Moore,Houston Rockets,"$150,000 ",1972-1973,,,,,
Calvin Murphy,Houston Rockets,"$115,000 ",1972-1973,,,,,
Rudy Tomjanovich,Houston Rockets,"$100,000 ",1972-1973,,,,,
James Walker,Houston Rockets,"$150,000 ",1972-1973,,,,,
John Green,Kansas City-Omaha Kings,"$60,000 ",1972-1973,,,,,
Donald Kojis,Kansas City-Omaha Kings,"$75,000 ",1972-1973,,,,,
Mike Ratliff,Kansas City-Omaha Kings,"$45,000 ",1972-1973,,,,,
William Bridges,Los Angeles Lakers,"$75,000 ",1972-1973,,,,,
Gail Goodrich,Los Angeles Lakers,"$180,000 ",1972-1973,,,,,
Travis Grant,Los Angeles Lakers,"$75,000 ",1972-1973,,,,,
Harold Hairston,Los Angeles Lakers,"$135,000 ",1972-1973,,,,,
Jim McMillan,Los Angeles Lakers,"$150,000 ",1972-1973,,,,,
Jim Price,Los Angeles Lakers,"$75,000 ",1972-1973,,,,,
pat Riley,Los Angeles Lakers,"$57,000 ",1972-1973,,,,,
Kareem Abdul-Jabar,Milwaukee Bucks,"$375,000 ",1972-1973,,,,,
Lucius Allen,Milwaukee Bucks,"$79,459 ",1972-1973,,,,,
Richard Cunningham,Milwaukee Bucks,"$42,500 ",1972-1973,,,,,
Robert Dandridge,Milwaukee Bucks,"$80,000 ",1972-1973,,,,,
Chuck Terry,Milwaukee Bucks,"$42,500 ",1972-1973,,,,,
Richard Barnett,New York Knicks,"$90,000 ",1972-1973,,,,,
Henry Bibby,New York Knicks,"$40,000 ",1972-1973,,,,,
William Bradley,New York Knicks,"$300,000 ",1972-1973,,,,,
Walter Frazier,New York Knicks,"$300,000 ",1972-1973,,,,,
John Gianelle,New York Knicks,"$83,333 ",1972-1973,,,,,
Philip Jackson,New York Knicks,"$70,000 ",1972-1973,,,,,
Jerry Lucas,New York Knicks,"$49,000 ",1972-1973,,,,,
Earl Monroe,New York Knicks,"$250,000 ",1972-1973,,,,,
Willis Reed,New York Knicks,"$300,000 ",1972-1973,,,,,
Tom Riker,New York Knicks,"$110,000 ",1972-1973,,,,,
Harthorne Wingo,New York Knicks,"$40,000 ",1972-1973,,,,,
