rank,team,value,value_change,debt_percent,revenue,operating_income,year
2,New York Mets,824.00,12.00,97.00,235.00,32.90,2008
3,Boston Red Sox,816.00,13.00,29.00,263.00,-19.10,2008
4,Los Angeles Dodgers,694.00,10.00,61.00,224.00,20.00,2008
5,Chicago Cubs,642.00,8.00,0.00,214.00,21.40,2008
6,Los Angeles Angels of Anaheim,500.00,16.00,7.00,200.00,15.20,2008
7,Atlanta Braves,497.00,9.00,0.00,199.00,28.10,2008
8,San Francisco Giants,494.00,8.00,28.00,197.00,19.90,2008
9,St Louis Cardinals,484.00,5.00,51.00,194.00,21.50,2008
10,Philadelphia Phillies,481.00,5.00,36.00,192.00,14.30,2008
11,Seattle Mariners,466.00,7.00,21.00,194.00,10.10,2008
12,Houston Astros,463.00,5.00,12.00,193.00,20.40,2008
13,Washington Nationals,460.00,3.00,54.00,153.00,43.70,2008
14,Chicago White Sox,443.00,16.00,9.00,193.00,30.60,2008
15,Cleveland Indians,417.00,14.00,24.00,181.00,29.20,2008
16,Texas Rangers,412.00,13.00,65.00,172.00,17.20,2008
17,Detroit Tigers,407.00,14.00,52.00,173.00,4.60,2008
18,Baltimore Orioles,398.00,1.00,38.00,166.00,7.70,2008
19,San Diego Padres,385.00,5.00,45.00,167.00,23.60,2008
20,Arizona Diamondbacks,379.00,12.00,54.00,165.00,5.90,2008
21,Colorado Rockies,371.00,17.00,22.00,169.00,26.20,2008
22,Toronto Blue Jays,352.00,2.00,0.00,160.00,-1.80,2008
23,Cincinnati Reds,337.00,10.00,12.00,161.00,19.30,2008
24,Milwaukee Brewers,331.00,15.00,36.00,158.00,19.20,2008
25,Minnesota Twins,328.00,14.00,27.00,149.00,23.80,2008
26,Oakland Athletics,323.00,11.00,28.00,154.00,15.40,2008
27,Kansas City Royals,301.00,7.00,13.00,131.00,7.40,2008
28,Pittsburgh Pirates,292.00,7.00,34.00,139.00,17.60,2008
29,Tampa Bay Rays,290.00,8.00,14.00,138.00,29.70,2008
30,Florida Marlins,256.00,5.00,34.00,128.00,35.60,2008
1,New York Yankees,1500.00,15.00,95.00,375.00,-3.70,2009
2,New York Mets,912.00,11.00,76.00,261.00,23.50,2009
3,Boston Red Sox,833.00,2.00,29.00,269.00,25.70,2009
4,Los Angeles Dodgers,722.00,4.00,58.00,241.00,16.50,2009
5,Chicago Cubs,700.00,9.00,0.00,239.00,29.70,2009
6,Los Angeles Angels of Anaheim,509.00,2.00,7.00,212.00,10.30,2009
7,Philadelphia Phillies,496.00,3.00,35.00,216.00,16.30,2009
8,St Louis Cardinals,486.00,0.00,50.00,195.00,6.60,2009
9,San Francisco Giants,471.00,-5.00,28.00,196.00,22.40,2009
10,Chicago White Sox,450.00,2.00,9.00,196.00,13.80,2009
11,Atlanta Braves,446.00,-10.00,0.00,186.00,4.70,2009
12,Houston Astros,445.00,-4.00,12.00,194.00,17.00,2009
13,Seattle Mariners,426.00,-9.00,23.00,189.00,3.80,2009
14,Washington Nationals,406.00,-12.00,62.00,184.00,42.60,2009
15,Texas Rangers,405.00,-2.00,66.00,176.00,17.40,2009
16,San Diego Padres,401.00,4.00,60.00,174.00,22.90,2009
17,Baltimore Orioles,400.00,0.00,38.00,174.00,27.20,2009
18,Cleveland Indians,399.00,-4.00,25.00,181.00,19.50,2009
19,Arizona Diamondbacks,390.00,3.00,51.00,177.00,3.90,2009
20,Colorado Rockies,373.00,1.00,21.00,178.00,24.50,2009
21,Detroit Tigers,371.00,-9.00,57.00,186.00,-26.30,2009
22,Minnesota Twins,356.00,9.00,28.00,158.00,26.80,2009
23,Toronto Blue Jays,353.00,0.00,0.00,172.00,3.00,2009
24,Milwaukee Brewers,347.00,5.00,35.00,173.00,11.80,2009
25,Cincinnati Reds,342.00,2.00,12.00,171.00,17.00,2009
26,Tampa Bay Rays,320.00,10.00,19.00,160.00,29.40,2009
27,Oakland Athletics,319.00,-1.00,28.00,160.00,26.20,2009
28,Kansas City Royals,314.00,4.00,13.00,143.00,9.00,2009
29,Pittsburgh Pirates,288.00,-1.00,35.00,144.00,15.90,2009
30,Florida Marlins,277.00,8.00,32.00,139.00,43.70,2009
1,New York Yankees,1600.00,7.00,89.00,441.00,24.90,2010
2,Boston Red Sox,870.00,4.00,28.00,266.00,40.00,2010
3,New York Mets,858.00,-6.00,81.00,268.00,26.20,2010
4,Los Angeles Dodgers,727.00,1.00,58.00,247.00,33.10,2010
5,Chicago Cubs,726.00,4.00,80.00,246.00,25.50,2010
6,Philadelphia Phillies,537.00,8.00,33.00,233.00,14.50,2010
7,Los Angeles Angels of Anaheim,521.00,2.00,7.00,217.00,12.00,2010
8,St Louis Cardinals,488.00,0.00,56.00,195.00,12.80,2010
9,San Francisco Giants,483.00,3.00,26.00,201.00,23.50,2010
10,Chicago White Sox,466.00,3.00,9.00,194.00,26.40,2010
11,Houston Astros,453.00,2.00,12.00,189.00,7.10,2010
12,Texas Rangers,451.00,11.00,105.00,180.00,4.70,2010
13,Atlanta Braves,450.00,1.00,0.00,188.00,1.50,2010
14,Seattle Mariners,439.00,3.00,23.00,191.00,10.50,2010
15,San Diego Padres,408.00,2.00,49.00,157.00,32.10,2010
16,Minnesota Twins,405.00,14.00,25.00,162.00,25.00,2010
17,Cleveland Indians,391.00,-2.00,28.00,170.00,10.10,2010
18,Washington Nationals,387.00,-5.00,65.00,184.00,33.50,2010
19,Colorado Rockies,384.00,3.00,21.00,183.00,20.10,2010
20,Arizona Diamondbacks,379.00,-3.00,38.00,172.00,-0.60,2010
21,Baltimore Orioles,376.00,-6.00,40.00,171.00,19.40,2010
22,Detroit Tigers,375.00,1.00,56.00,188.00,-29.50,2010
23,Milwaukee Brewers,351.00,1.00,34.00,171.00,10.20,2010
24,Kansas City Royals,341.00,9.00,15.00,155.00,8.90,2010
25,Cincinnati Reds,331.00,-3.00,12.00,166.00,17.80,2010
26,Toronto Blue Jays,326.00,-8.00,0.00,163.00,13.10,2010
27,Florida Marlins,317.00,15.00,32.00,144.00,46.10,2010
28,Tampa Bay Rays,316.00,-1.00,19.00,156.00,15.70,2010
29,Oakland Athletics,295.00,-8.00,30.00,155.00,22.10,2010
30,Pittsburgh Pirates,289.00,0.00,35.00,145.00,15.60,2010
1,New York Yankees,1700.00,6.00,4.00,427.00,25.70,2011
2,Boston Red Sox,912.00,5.00,26.00,272.00,-1.10,2011
3,Los Angeles Dodgers,800.00,10.00,54.00,246.00,32.80,2011
4,Chicago Cubs,773.00,6.00,75.00,258.00,23.40,2011
5,New York Mets,747.00,-13.00,60.00,233.00,-6.20,2011
6,Philadelphia Phillies,609.00,13.00,29.00,239.00,8.90,2011
7,San Francisco Giants,563.00,16.00,21.00,230.00,29.90,2011
8,Texas Rangers,561.00,25.00,66.00,206.00,22.60,2011
9,Los Angeles Angels of Anaheim,554.00,6.00,10.00,222.00,11.80,2011
10,Chicago White Sox,526.00,13.00,8.00,210.00,27.60,2011
11,St Louis Cardinals,518.00,6.00,53.00,207.00,19.80,2011
12,Minnesota Twins,490.00,21.00,20.00,213.00,26.50,2011
13,Atlanta Braves,482.00,7.00,0.00,201.00,22.20,2011
14,Houston Astros,474.00,5.00,12.00,197.00,14.40,2011
15,Seattle Mariners,449.00,2.00,15.00,204.00,9.90,2011
16,Washington Nationals,417.00,8.00,60.00,194.00,36.60,2011
17,Colorado Rockies,414.00,8.00,19.00,188.00,16.30,2011
18,Baltimore Orioles,411.00,9.00,37.00,175.00,25.50,2011
19,San Diego Padres,406.00,0.00,49.00,159.00,37.20,2011
20,Arizona Diamondbacks,396.00,4.00,25.00,180.00,6.20,2011
21,Detroit Tigers,385.00,3.00,55.00,192.00,-29.10,2011
22,Milwaukee Brewers,376.00,7.00,32.00,179.00,12.40,2011
23,Cincinnati Reds,375.00,13.00,11.00,179.00,20.10,2011
24,Florida Marlins,360.00,13.00,40.00,143.00,20.20,2011
25,Cleveland Indians,353.00,-10.00,31.00,168.00,12.10,2011
26,Kansas City Royals,351.00,3.00,14.00,160.00,10.30,2011
27,Toronto Blue Jays,337.00,3.00,0.00,168.00,3.60,2011
28,Tampa Bay Rays,331.00,5.00,35.00,166.00,6.80,2011
29,Oakland Athletics,307.00,4.00,29.00,161.00,23.20,2011
30,Pittsburgh Pirates,304.00,5.00,42.00,160.00,24.60,2011
1,New York Yankees,1850.00,9.00,2.00,439.00,10.00,2012
2,Los Angeles Dodgers,1400.00,75.00,41.00,230.00,1.20,2012
3,Boston Red Sox,1000.00,10.00,24.00,310.00,25.40,2012
4,Chicago Cubs,879.00,14.00,66.00,266.00,28.10,2012
5,Philadelphia Phillies,723.00,19.00,24.00,249.00,-11.60,2012
6,New York Mets,719.00,-4.00,69.00,225.00,-40.80,2012
7,Texas Rangers,674.00,20.00,55.00,233.00,15.30,2012
8,Los Angeles Angels of Anaheim,656.00,18.00,3.00,226.00,-1.20,2012
9,San Francisco Giants,643.00,14.00,16.00,230.00,8.80,2012
10,Chicago White Sox,600.00,14.00,7.00,214.00,10.70,2012
11,St Louis Cardinals,591.00,14.00,47.00,233.00,25.00,2012
12,Seattle Mariners,585.00,30.00,0.00,210.00,2.20,2012
13,Houston Astros,549.00,16.00,41.00,196.00,24.30,2012
14,Minnesota Twins,510.00,4.00,20.00,213.00,16.60,2012
15,Atlanta Braves,508.00,5.00,0.00,203.00,20.70,2012
16,Washington Nationals,480.00,15.00,52.00,200.00,25.90,2012
17,Detroit Tigers,478.00,24.00,39.00,217.00,8.20,2012
18,Colorado Rockies,464.00,12.00,15.00,193.00,14.40,2012
19,Baltimore Orioles,460.00,12.00,33.00,179.00,12.90,2012
20,San Diego Padres,458.00,13.00,44.00,163.00,23.20,2012
21,Miami Marlins,450.00,25.00,32.00,148.00,8.90,2012
22,Milwaukee Brewers,448.00,19.00,27.00,195.00,19.20,2012
23,Arizona Diamondbacks,447.00,13.00,39.00,186.00,27.20,2012
24,Cincinnati Reds,424.00,13.00,10.00,185.00,17.10,2012
25,Toronto Blue Jays,413.00,23.00,0.00,188.00,24.90,2012
26,Cleveland Indians,410.00,16.00,27.00,178.00,30.10,2012
27,Kansas City Royals,354.00,1.00,14.00,161.00,28.50,2012
28,Pittsburgh Pirates,336.00,11.00,38.00,168.00,15.90,2012
29,Tampa Bay Rays,323.00,-2.00,36.00,161.00,26.20,2012
30,Oakland Athletics,321.00,5.00,28.00,160.00,14.60,2012
1,New York Yankees,2300.00,24.00,2.00,471.00,1.40,2013
2,Los Angeles Dodgers,1615.00,15.00,26.00,245.00,3.20,2013
3,Boston Red Sox,1312.00,31.00,18.00,336.00,23.90,2013
4,Chicago Cubs,1000.00,14.00,58.00,274.00,32.10,2013
5,Philadelphia Phillies,893.00,24.00,20.00,279.00,0.60,2013
6,New York Mets,811.00,13.00,53.00,232.00,-2.40,2013
7,San Francisco Giants,786.00,22.00,12.00,262.00,17.60,2013
8,Texas Rangers,764.00,13.00,48.00,239.00,-8.70,2013
9,Los Angeles Angels of Anaheim,718.00,9.00,3.00,239.00,-12.90,2013
10,St Louis Cardinals,716.00,21.00,38.00,239.00,19.90,2013
11,Chicago White Sox,692.00,15.00,6.00,216.00,22.90,2013
12,Seattle Mariners,644.00,10.00,0.00,215.00,12.90,2013
13,Detroit Tigers,643.00,35.00,28.00,238.00,-0.40,2013
14,Washington Nationals,631.00,31.00,40.00,225.00,28.40,2013
15,Atlanta Braves,629.00,24.00,0.00,225.00,12.40,2013
16,Houston Astros,626.00,14.00,36.00,196.00,24.70,2013
17,Baltimore Orioles,618.00,34.00,24.00,206.00,30.10,2013
18,San Diego Padres,600.00,31.00,50.00,189.00,29.90,2013
19,Arizona Diamondbacks,584.00,31.00,24.00,195.00,7.60,2013
20,Minnesota Twins,578.00,13.00,17.00,214.00,10.80,2013
21,Toronto Blue Jays,568.00,38.00,0.00,203.00,-4.80,2013
22,Milwaukee Brewers,562.00,25.00,21.00,201.00,9.00,2013
23,Cleveland Indians,559.00,36.00,20.00,186.00,22.90,2013
24,Cincinnati Reds,546.00,29.00,9.00,202.00,20.90,2013
25,Colorado Rockies,537.00,16.00,13.00,199.00,18.70,2013
26,Miami Marlins,520.00,16.00,29.00,195.00,-7.10,2013
27,Pittsburgh Pirates,479.00,43.00,27.00,178.00,26.80,2013
28,Oakland Athletics,468.00,46.00,19.00,173.00,27.50,2013
29,Kansas City Royals,457.00,29.00,11.00,169.00,16.30,2013
30,Tampa Bay Rays,451.00,40.00,26.00,167.00,10.00,2013
