Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2004.idx_gr:vl-id number of parent institution - graduation rates
2003-2004,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,9,9,0,11,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,19,0,8,8,0,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,2,13,14,2,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,1,9,9,1,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,3,7,6,3,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,155399,Kansas State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,155399,Kansas State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,157289,University of Louisville,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),29,13,16,22,9,13,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,3,3,0,-2
2003-2004,157289,University of Louisville,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,6,10,11,3,8,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,2,0,-2
2003-2004,157289,University of Louisville,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,157289,University of Louisville,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,0,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,157289,University of Louisville,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,0,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,157289,University of Louisville,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,157289,University of Louisville,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,157289,University of Louisville,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,12,0,2,2,0,9,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,157289,University of Louisville,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,10,29,31,6,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,22,5,17,18,3,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,7,4,2,1,1,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,3,1,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,8,6,6,4,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,5,4,1,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,7,7,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),58,27,31,52,24,28,0,0,0,2,2,0,0,0,0,0,0,0,4,1,3,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,49,22,27,45,19,26,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,2,5,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,6,2,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,5,2,4,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,170976,University of Michigan-Ann Arbor,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,12,0,9,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,181464,University of Nebraska-Lincoln,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),35,8,27,19,3,16,1,0,1,3,2,1,1,0,1,0,0,0,2,0,2,9,3,6,-2
2003-2004,181464,University of Nebraska-Lincoln,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,24,3,21,14,1,13,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,7,2,5,-2
2003-2004,181464,University of Nebraska-Lincoln,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,-2
2003-2004,181464,University of Nebraska-Lincoln,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,181464,University of Nebraska-Lincoln,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,-2
2003-2004,181464,University of Nebraska-Lincoln,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,181464,University of Nebraska-Lincoln,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,11,8,14,8,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2003-2004,181464,University of Nebraska-Lincoln,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,6,6,10,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,181464,University of Nebraska-Lincoln,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,10,10,0,7,7,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2003-2004,181464,University of Nebraska-Lincoln,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,16,0,9,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),48,23,25,36,17,19,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,6,4,2,-2
2003-2004,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,32,16,16,23,11,12,2,1,1,0,0,0,2,1,1,0,0,0,1,0,1,4,3,1,-2
2003-2004,186380,Rutgers University-New Brunswick,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,4,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,4,2,2,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,7,8,6,3,3,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,4,5,2,1,1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,186380,Rutgers University-New Brunswick,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),34,11,23,30,11,19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,-2
2003-2004,198419,Duke University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,33,11,22,29,11,18,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,-2
2003-2004,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,9,9,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,198419,Duke University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,13,0,7,7,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),58,24,34,51,20,31,1,1,0,1,0,1,2,1,1,2,1,1,0,0,0,1,1,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,44,15,29,40,13,27,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,4,2,4,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,4,1,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,3,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,16,0,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,199120,University of North Carolina at Chapel Hill,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),69,23,46,51,17,34,1,1,0,3,1,2,3,1,2,0,0,0,0,0,0,11,3,8,-2
2003-2004,204796,Ohio State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,47,10,37,36,8,28,0,0,0,2,0,2,2,1,1,0,0,0,0,0,0,7,1,6,-2
2003-2004,204796,Ohio State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,204796,Ohio State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,204796,Ohio State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,13,0,3,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,204796,Ohio State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),32,9,23,25,5,20,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,4,1,3,-2
2003-2004,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,20,3,17,15,0,15,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,2,-2
2003-2004,207388,Oklahoma State University-Main Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,6,7,5,4,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,-2
2003-2004,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,5,2,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2003-2004,207388,Oklahoma State University-Main Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,5,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207388,Oklahoma State University-Main Campus,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,14,0,4,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207500,University of Oklahoma Norman Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),33,15,18,24,12,12,2,0,2,1,1,0,0,0,0,4,2,2,0,0,0,2,0,2,-2
2003-2004,207500,University of Oklahoma Norman Campus,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,21,8,13,16,7,9,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0,1,0,1,-2
2003-2004,207500,University of Oklahoma Norman Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2003-2004,207500,University of Oklahoma Norman Campus,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207500,University of Oklahoma Norman Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,1,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,207500,University of Oklahoma Norman Campus,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,207500,University of Oklahoma Norman Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,7,6,4,2,2,6,4,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,-2
2003-2004,207500,University of Oklahoma Norman Campus,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,6,4,3,2,1,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,-2
2003-2004,207500,University of Oklahoma Norman Campus,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,6,6,0,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,207500,University of Oklahoma Norman Campus,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,2,2,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,209542,Oregon State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),50,12,38,39,9,30,0,0,0,0,0,0,4,1,3,0,0,0,5,2,3,2,0,2,-2
