year,team,rank,value,value_change,debt,debt_percent,revenue,expenses,ebitda,revenue_multiple,ebitda_multiple,debt_yield,ebitda_yield,gate_revenue,media_revenue,stadium_revenue,player_expense,other_revenue,other_expense,name,team_id,wiki_url,logo_image_url,dbpedia_url,dbpedia_data_json,league
2010,New York Giants,4,1182,0,650.1,0.55,241,238.9,2.1,4.9,562.86,0,0,NA,NA,NA,NA,NA,NA,Giants,nyg,wikipedia.org/wiki/New_York_Giants,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/200px-New_York_Giants_logo.svg.png,live.dbpedia.org/page/New_York_Giants,live.dbpedia.org/page/New_York_Giants.json,NFL
2010,Houston Texans,5,1171,0.02,199.07,0.17,272,235.5,36.5,4.31,32.08,0.18,0.03,NA,NA,NA,NA,NA,NA,Texans,htx,wikipedia.org/wiki/Houston_Texans,http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/200px-Houston_Texans_logo.svg.png,live.dbpedia.org/page/Houston_Texans,live.dbpedia.org/page/Houston_Texans.json,NFL
2010,New York Jets,6,1144,-0.02,755.04,0.66,238,230.4,7.6,4.81,150.53,0.01,0.01,NA,NA,NA,NA,NA,NA,Jets,nyj,wikipedia.org/wiki/New_York_Jets,http://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/200px-New_York_Jets_logo.svg.png,live.dbpedia.org/page/New_York_Jets,live.dbpedia.org/page/New_York_Jets.json,NFL
2010,Philadelphia Eagles,7,1119,0,179.04,0.16,260,225.3,34.7,4.3,32.25,0.19,0.03,NA,NA,NA,NA,NA,NA,Eagles,phi,wikipedia.org/wiki/Philadelphia_Eagles,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Philadelphia_Eagles_primary_logo.svg/200px-Philadelphia_Eagles_primary_logo.svg.png,live.dbpedia.org/page/Philadelphia_Eagles,live.dbpedia.org/page/Philadelphia_Eagles.json,NFL
2010,Baltimore Ravens,8,1073,-0.01,268.25,0.25,255,210.1,44.9,4.21,23.9,0.17,0.04,NA,NA,NA,NA,NA,NA,Ravens,rav,wikipedia.org/wiki/Baltimore_Ravens,http://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png,live.dbpedia.org/page/Baltimore_Ravens,live.dbpedia.org/page/Baltimore_Ravens.json,NFL
2010,Chicago Bears,9,1067,-0.01,96.03,0.09,254,216.7,37.3,4.2,28.61,0.39,0.03,NA,NA,NA,NA,NA,NA,Bears,chi,wikipedia.org/wiki/Chicago_Bears,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/200px-Chicago_Bears_logo.svg.png,live.dbpedia.org/page/Chicago_Bears,live.dbpedia.org/page/Chicago_Bears.json,NFL
2010,Denver Broncos,10,1049,-0.03,146.86,0.14,250,228,22,4.2,47.68,0.15,0.02,NA,NA,NA,NA,NA,NA,Broncos,den,wikipedia.org/wiki/Denver_Broncos,http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/200px-Denver_Broncos_logo.svg.png,live.dbpedia.org/page/Denver_Broncos,live.dbpedia.org/page/Denver_Broncos.json,NFL
2010,Indianapolis Colts,11,1040,0.01,41.6,0.04,248,204.8,43.2,4.19,24.07,1.04,0.04,NA,NA,NA,NA,NA,NA,Colts,clt,wikipedia.org/wiki/Indianapolis_Colts,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/200px-Indianapolis_Colts_logo.svg.png,live.dbpedia.org/page/Indianapolis_Colts,live.dbpedia.org/page/Indianapolis_Colts.json,NFL
2010,Carolina Panthers,12,1037,-0.01,186.66,0.18,247,232,15,4.2,69.13,0.08,0.01,NA,NA,NA,NA,NA,NA,Panthers,car,wikipedia.org/wiki/Carolina_Panthers,http://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Carolina_Panthers_logo_2012.svg/200px-Carolina_Panthers_logo_2012.svg.png,live.dbpedia.org/page/Carolina_Panthers,live.dbpedia.org/page/Carolina_Panthers.json,NFL
2010,Tampa Bay Buccaneers,13,1032,-0.05,144.48,0.14,246,189.9,56.1,4.2,18.4,0.39,0.05,NA,NA,NA,NA,NA,NA,Buccaneers,tam,wikipedia.org/wiki/Tampa_Bay_Buccaneers,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/200px-Tampa_Bay_Buccaneers_logo.svg.png,live.dbpedia.org/page/Tampa_Bay_Buccaneers,live.dbpedia.org/page/Tampa_Bay_Buccaneers.json,NFL
