,date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
8247,12/7/88,Nolan Ryan,1989,Rangers,signed free agent to a 1-year contract,free agency,0,1,1989,1990,,1988
8248,12/7/88,Dave Collins,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8257,12/7/88,Odell Jones,1989,Brewers,re-signed to a AAA contract,re-signinging,0,1,1989,1990,,1988
8258,12/7/88,Scott Sanderson,1989,Cubs,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8260,12/7/88,Mario Soto,1989,Dodgers,signed to a AAA contract,free agency,0,1,1989,1990,,1988
8261,12/7/88,Lary Sorensen,1989,Giants,re-signed free agent to a AAA contract,re-signinging,0,1,1989,1990,,1988
8263,12/9/88,Greg Harris,1989,Phillies,re-signed free agent to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8266,12/9/88,Edwin Correa,1989,Rangers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8268,12/9/88,Kevin Reimer,1989,Rangers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8270,12/9/88,Rick Mahler,1989,Reds,signed to a 2-year contract,free agency,0,2,1989,1991,,1988
8272,12/9/88,Dave Bergman,1989,Tigers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8273,12/9/88,Jim Dwyer,1989,Twins,signed to a 1-year contract,free agency,0,1,1989,1990,,1988
8274,12/9/88,Andy Hawkins,1989,Yankees,signed to a 3-year contract,free agency,0,3,1989,1992,,1988
8276,12/9/88,Bob Forsch,1989,Astros,re-signed (player accepted salary arbitration offer),re-signinging,0,1,1989,1990,,1988
8283,12/9/88,Jesse Orosco,1989,Indians,signed free agent to a 2-year contract with a 1-year option,free agency,0,2,1989,1991,,1988
8284,12/9/88,Tom Niedenfuer,1989,Mariners,signed to a 2-year contract,free agency,0,2,1989,1991,,1988
8287,12/9/88,Bruce Hurst,1989,Padres,signed to a 3-year contract,free agency,0,3,1989,1992,,1988
8288,12/9/88,Garry Templeton,1989,Padres,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8289,12/10/88,Willie Randolph,1989,Dodgers,signed to a 2-year contract,free agency,0,2,1989,1991,,1988
8290,12/12/88,Roy Smith,1989,Twins,re-signed free agent to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8292,12/13/88,Tony Gwynn Sr.,1989,Padres,"re-signed to a 1-year, $2M contract with a 1-year, $2M option",re-signinging,0,1,1989,1990,,1988
8293,12/13/88,Randy Bush,1989,Twins,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1988
8296,12/14/88,Sal Butera,1989,Blue Jays,re-signed to a AAA contract,re-signinging,0,1,1989,1990,,1988
8297,12/14/88,Domingo Ramos,1989,Cubs,signed free agent,free agency,0,1,1989,1990,,1988
8304,12/15/88,Roger Craig,1989,Giants,re-signed to a 2-year contract extension through 1991,re-signinging,0,2,1989,1991,,1988
8306,12/16/88,Dave Johnson,1989,Astros,signed free agent,free agency,0,1,1989,1990,,1988
8312,12/16/88,Wayne Tolleson,1989,Yankees,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1988
8314,12/19/88,Ronn Reynolds,1989,Brewers,signed,free agency,0,1,1989,1990,,1988
8315,12/19/88,Terry Leach,1989,Mets,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8316,12/19/88,Tim Laudner,1989,Twins,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1988
8320,12/20/88,Craig McMurtry,1989,Rangers,"re-signed to a 1-year, $275K contract",re-signinging,0,1,1989,1990,,1988
8322,12/20/88,Steve Buechele,1989,Rangers,"signed to a 2-year, $960K contract",free agency,0,2,1989,1991,,1988
8324,12/20/88,Jamie Quirk,1989,Yankees,signed free agent,free agency,0,1,1989,1990,,1988
8326,12/21/88,Alex Trevino,1989,Astros,signed to a 1-year contract,free agency,0,1,1989,1990,,1988
8327,12/21/88,Bob Forsch,1989,Astros,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8330,12/21/88,Rick Honeycutt,1989,Athletics,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8332,12/21/88,Frank DiPino,1989,Cardinals,signed to a 1-year contract,free agency,0,1,1989,1990,,1988
8338,12/21/88,Ed Vande Berg,1989,Rangers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1988
8341,12/21/88,Joel Youngblood,1989,Reds,"signed free agent to a 1-year, $320K contract",free agency,0,1,1989,1990,,1988
8342,12/21/88,Manny Trillo,1989,Reds,"signed free agent to a 1-year, $320K contract",free agency,0,1,1989,1990,,1988
8344,12/21/88,Mike Cook,1989,Twins,signed to a 1-year contract,free agency,0,1,1989,1990,,1988
8346,12/22/88,Dickie Noles,1989,Yankees,signed free agent,free agency,0,1,1989,1990,,1988
8349,12/30/88,Dave Walsh,1989,Dodgers,signed to a 1-year AAA contract,free agency,0,1,1989,1990,,1988
8350,1/1/89,Bill Dawley,1989,Athletics,signed free agent (date approximate),free agency,0,1,1989,1990,,1989
8351,1/3/89,Morris Madden,1989,Pirates,re-signed,re-signinging,0,1,1989,1990,,1989
8352,1/3/89,Willie Smith,1989,Pirates,signed,free agency,0,1,1989,1990,,1989
8353,1/3/89,Nick Esasky,1989,Red Sox,"re-signed to a 1-year, $570K contract",re-signinging,0,1,1989,1990,,1989
8354,1/3/89,Fred Toliver,1989,Twins,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8355,1/4/89,Glenn Hoffman,1989,Angels,signed free agent to a AAA contract,free agency,0,1,1989,1990,,1989
8356,1/4/89,Danny Cox,1989,Cardinals,"re-signed to a 1-year, $600K contract (with incentives that could reach $750K)",re-signinging,0,1,1989,1990,,1989
8357,1/5/89,Jim Eppard,1989,Angels,signed,free agency,0,1,1989,1990,,1989
8359,1/6/89,Greg Booker,1989,Padres,"re-signed to a 1-year, $235K contract",re-signinging,0,1,1989,1990,,1989
8360,1/6/89,Bobby Meacham,1989,Rangers,signed,free agency,0,1,1989,1990,,1989
8361,1/6/89,Jim Sundberg,1989,Rangers,signed,free agency,0,1,1989,1990,,1989
8362,1/6/89,Charlie Lea,1989,Twins,"re-signed to a 1-year, $150K contract (plus $270K incentives)",re-signinging,0,1,1989,1990,,1989
8363,1/6/89,Steve Lyons,1989,White Sox,"re-signed to a 1-year, $325K contract",re-signinging,0,1,1989,1990,,1989
8367,1/8/89,Dave Leiper,1989,Padres,"re-signed to a 1-year, $155K contract",re-signinging,0,1,1989,1990,,1989
8368,1/8/89,Cecilio Guante,1989,Rangers,"signed to a 1-year, $425K contract",free agency,0,1,1989,1990,,1989
8369,1/9/89,Buddy Bell,1989,Rangers,signed free agent to a 1-year contract,free agency,0,1,1989,1990,,1989
8370,1/9/89,Ron Robinson,1989,Reds,"re-signed to a 1-year, $350K contract",re-signinging,0,1,1989,1990,,1989
8371,1/10/89,Pat Clements,1989,Padres,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8372,1/10/89,Ken Howell,1989,Phillies,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8375,1/10/89,Matt Young,1989,Athletics,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8377,1/10/89,Mike Fitzgerald,1989,Expos,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8378,1/11/89,Lonnie Smith,1989,Braves,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8379,1/11/89,Mike Young,1989,Brewers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8380,1/11/89,Rick Cerone,1989,Red Sox,signed free agent to a 1-year contract,free agency,0,1,1989,1990,,1989
8381,1/11/89,Herman Winningham,1989,Reds,"signed to a 1-year, $230K contract",free agency,0,1,1989,1990,,1989
8382,1/11/89,Gene Larkin,1989,Twins,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8384,1/11/89,Mark Pittman,1989,Twins,signed,free agency,0,1,1989,1990,,1989
8385,1/11/89,Mike Dyer,1989,Twins,signed,free agency,0,1,1989,1990,,1989
8386,1/12/89,Bob McClure,1989,Angels,signed free agent to a 1-year contract,free agency,0,1,1989,1990,,1989
8388,1/12/89,Mike Smithson,1989,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8389,1/12/89,Mark Salas,1989,White Sox,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8390,1/13/89,Brian Fisher,1989,Pirates,re-signed,re-signinging,0,1,1989,1990,,1989
8391,1/13/89,Doyle Alexander,1989,Tigers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8392,1/13/89,Mark Huismann,1989,Tigers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8393,1/13/89,German Rivera,1989,Braves,signed,free agency,0,1,1989,1990,,1989
8394,1/13/89,Terry Pendleton,1989,Cardinals,"re-signed to a 1-year, $675K contract",re-signinging,0,1,1989,1990,,1989
8395,1/13/89,Mitch Webster,1989,Cubs,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8396,1/13/89,Pat Perry,1989,Cubs,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8397,1/13/89,Franklin Stubbs,1989,Dodgers,re-signed,re-signinging,0,1,1989,1990,,1989
8398,1/13/89,Mariano Duncan,1989,Dodgers,re-signed,re-signinging,0,1,1989,1990,,1989
8400,1/13/89,Dennis Rasmussen,1989,Padres,signed to a 2-year contract,free agency,0,2,1989,1991,,1989
8402,1/13/89,Juan Samuel,1989,Phillies,"re-signed to a 2-year, $2.8M contract",re-signinging,2.8,2,1989,1991,,1989
8403,1/14/89,Marvell Wynne,1989,Padres,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8404,1/15/89,R.J. Reynolds,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8405,1/16/89,Bill Schroeder,1989,Angels,re-signed,re-signinging,0,1,1989,1990,,1989
8406,1/16/89,Tony Armas,1989,Angels,re-signed,re-signinging,0,1,1989,1990,,1989
8407,1/16/89,Paul Runge,1989,Braves,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8408,1/16/89,Otis Nixon,1989,Expos,signed,free agency,0,1,1989,1990,,1989
8409,1/16/89,Carmen Castillo,1989,Indians,re-signed,re-signinging,0,1,1989,1990,,1989
8410,1/16/89,Jeff Dedmon,1989,Indians,signed,free agency,0,1,1989,1990,,1989
8411,1/16/89,Scott Bailes,1989,Indians,re-signed,re-signinging,0,1,1989,1990,,1989
8412,1/16/89,Henry Cotto,1989,Mariners,signed,free agency,0,1,1989,1990,,1989
8413,1/16/89,Larry Owen,1989,Royals,re-signed,re-signinging,0,1,1989,1990,,1989
8414,1/16/89,Frank Williams,1989,Tigers,signed free agent to a 1-year contract,free agency,0,1,1989,1990,,1989
8415,1/16/89,Mike Heath,1989,Tigers,re-signed,re-signinging,0,1,1989,1990,,1989
8418,1/17/89,Claudell Washington,1989,Angels,signed free agent,free agency,0,1,1989,1990,,1989
8419,1/17/89,John Cerutti,1989,Blue Jays,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8420,1/17/89,Zane Smith,1989,Braves,"re-signed to a 1-year, ~$450K contract",re-signinging,0,1,1989,1990,,1989
8422,1/17/89,Al Nipper,1989,Cubs,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8423,1/17/89,Matt Stairs,1989,Expos,signed non-drafted free agent,free agency,0,1,1989,1990,,1989
8424,1/17/89,Neil Allen,1989,Indians,"signed free agent (from Yankees) to a 1-year, $325K contract (plus up to $75K in incentives)",free agency,0,1,1989,1990,,1989
8425,1/17/89,Alvin Davis,1989,Mariners,"re-signed to a 3-year, reported $4.45M contract",re-signinging,4.45,3,1989,1992,,1989
8426,1/17/89,Edwin Nunez,1989,Mets,"re-signed to a 1-year, ~$300K contract",re-signinging,0,1,1989,1990,,1989
8427,1/18/89,Ron Hassey,1989,Athletics,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8428,1/18/89,Bob Brenly,1989,Blue Jays,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8429,1/18/89,Andres Galarraga,1989,Expos,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8430,1/18/89,Joe Hesketh,1989,Expos,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8431,1/18/89,Kevin Mitchell,1989,Giants,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8433,1/18/89,Wes Gardner,1989,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8434,1/18/89,Jerry Don Gleaton,1989,Royals,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8435,1/18/89,Chris Brown,1989,Tigers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8436,1/19/89,Ray Searage,1989,Dodgers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8437,1/19/89,Kevin Gross,1989,Expos,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1989
8438,1/19/89,Pascual Perez,1989,Expos,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8439,1/19/89,Brook Jacoby,1989,Indians,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1989
8440,1/19/89,Mark Thurmond,1989,Orioles,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8441,1/19/89,Don Carman,1989,Phillies,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8442,1/19/89,Rafael Belliard,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8443,1/19/89,Donnie Hill,1989,White Sox,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8444,1/20/89,Kirk McCaskill,1989,Angels,"re-signed to a 1-year, $400K contract",re-signinging,0,1,1989,1990,,1989
8446,1/20/89,Steve Lake,1989,Phillies,"signed to a 1-year, $280K contract",free agency,0,1,1989,1990,,1989
8447,1/20/89,Geno Petralli,1989,Rangers,"re-signed to a 1-year, $325K contract",re-signinging,0,1,1989,1990,,1989
8448,1/20/89,Jose Guzman,1989,Rangers,"re-signed to a 1-year, $425K contract",re-signinging,0,1,1989,1990,,1989
8450,1/23/89,Greg Gagne,1989,Twins,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8452,1/23/89,Tom Henke,1989,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8453,1/24/89,Chris Jones,1989,Dodgers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8454,1/24/89,Dave Hansen,1989,Dodgers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8455,1/24/89,Jose Vizcaino,1989,Dodgers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8456,1/24/89,Bill Krueger,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8457,1/24/89,Bill Landrum,1989,Pirates,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8458,1/24/89,Mike Lavalliere,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8459,1/24/89,Rick Leach,1989,Rangers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8460,1/25/89,Darrell Miller,1989,Angels,"re-signed to a 1-year, $157K contract",re-signinging,0,1,1989,1990,,1989
8461,1/25/89,Jack Howell,1989,Angels,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8462,1/25/89,Ernest Riles,1989,Giants,"signed to a 1-year, estimated $450K contract",free agency,0,1,1989,1990,,1989
8463,1/25/89,Oddibe McDowell,1989,Indians,"re-signed to a 1-year, $375K contract",re-signinging,0,1,1989,1990,,1989
8464,1/25/89,Bob Melvin,1989,Orioles,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8465,1/25/89,Ken Dixon,1989,Orioles,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8466,1/25/89,Jeff Robinson,1989,Pirates,"re-signed to a 2-year, $1.7M contract",re-signinging,1.7,2,1989,1991,,1989
8467,1/25/89,Sid Bream,1989,Pirates,"re-signed to a 1-year, $510K contract",re-signinging,0,1,1989,1990,,1989
8468,1/25/89,Kirby Puckett,1989,Twins,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8470,1/27/89,Jason Grimsley,1989,Phillies,signed,free agency,0,1,1989,1990,,1989
8471,1/27/89,Scott Service,1989,Phillies,signed,free agency,0,1,1989,1990,,1989
8472,1/27/89,Jeff Reed,1989,Reds,"signed to a 1-year, $175K contract",free agency,0,1,1989,1990,,1989
8473,1/27/89,Luis Quinones,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8474,1/27/89,Dan Gladden,1989,Twins,"re-signed to a 1-year, $610K contract",re-signinging,0,1,1989,1990,,1989
8475,1/27/89,Keith Atherton,1989,Twins,"re-signed to a 1-year, $450K contract",re-signinging,0,1,1989,1990,,1989
8476,1/27/89,Mark Clear,1989,Angels,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8477,1/27/89,Dave Anderson,1989,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8478,1/27/89,Andy McGaffigan,1989,Expos,"re-signed to a 1-year, $632K contract",re-signinging,0,1,1989,1990,,1989
8480,1/27/89,Chuck McElroy,1989,Phillies,signed,free agency,0,1,1989,1990,,1989
8481,1/27/89,Darren Daulton,1989,Phillies,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8482,1/28/89,Rick Dempsey,1989,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8483,1/30/89,Billy Hatcher,1989,Astros,"re-signed to a 1-year, $495K contract",re-signinging,0,1,1989,1990,,1989
8484,1/30/89,Jim Deshaies,1989,Astros,"re-signed to a 1-year, $470K contract",re-signinging,0,1,1989,1990,,1989
8485,1/30/89,Juan Agosto,1989,Astros,"re-signed to a 1-year, $480K contract",re-signinging,0,1,1989,1990,,1989
8486,1/30/89,Juan Nieves,1989,Brewers,"re-signed to a 1-year, $370K contract",re-signinging,0,1,1989,1990,,1989
8487,1/30/89,Dave Valle,1989,Mariners,"re-signed to a 1-year, $290K contract",re-signinging,0,1,1989,1990,,1989
8488,1/30/89,Jim Presley,1989,Mariners,"re-signed to a 1-year, $595K contract",re-signinging,0,1,1989,1990,,1989
8489,1/30/89,Bruce Ruffin,1989,Phillies,"re-signed to a 1-year, $175K contract",re-signinging,0,1,1989,1990,,1989
8490,1/30/89,Larry McWilliams,1989,Phillies,signed free agent,free agency,0,1,1989,1990,,1989
8491,1/30/89,Joel Skinner,1989,Yankees,"re-signed to a 1-year, $200K contract",re-signinging,0,1,1989,1990,,1989
8493,1/31/89,Ted Higuera,1989,Brewers,"re-signed to a 1-year, $1.5M contract",re-signinging,1.5,1,1989,1990,,1989
8494,1/31/89,Tracy Jones,1989,Giants,"signed to a 1-year, $300K contract",free agency,0,1,1989,1990,,1989
8495,1/31/89,Carl Nichols,1989,Orioles,signed,free agency,0,1,1989,1990,,1989
8496,1/31/89,John Habyan,1989,Orioles,signed,free agency,0,1,1989,1990,,1989
8497,1/31/89,Mike Smith,1989,Orioles,signed,free agency,0,1,1989,1990,,1989
8498,1/31/89,John Russell,1989,Phillies,"re-signed to a 1-year, $145K contract",re-signinging,0,1,1989,1990,,1989
8499,2/2/89,Dion James,1989,Braves,"re-signed to a 1-year, $400K contract (player lost salary arbitration)",re-signinging,0,1,1989,1990,,1989
8500,2/2/89,Paul Mirabella,1989,Brewers,"re-signed to a 1-year, $230K contract ($200K if sent to minors)",re-signinging,0,1,1989,1990,,1989
8501,2/2/89,Dickie Thon Sr.,1989,Phillies,"re-signed to a 1-year, $450K contract",re-signinging,0,1,1989,1990,,1989
8502,2/2/89,Kurt Stillwell,1989,Royals,"signed to a 1-year, $460K contract",free agency,0,1,1989,1990,,1989
8503,2/2/89,Steve Lombardozzi,1989,Twins,"re-signed to a 1-year, $222K contract",re-signinging,0,1,1989,1990,,1989
8504,2/2/89,Mike Pagliarulo,1989,Yankees,"re-signed to a 1-year, $575K contract",re-signinging,0,1,1989,1990,,1989
8505,2/2/89,Dick Schofield Jr.,1989,Angels,"re-signed to a 3-year, $3.3M contract",re-signinging,3.3,3,1989,1992,,1989
8506,2/3/89,Wally Joyner,1989,Angels,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8507,2/3/89,Jose Canseco,1989,Athletics,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8508,2/3/89,Tony Fernandez,1989,Blue Jays,re-signed to a 3-year contract,re-signinging,0,3,1989,1992,,1989
8509,2/3/89,Andres Thomas,1989,Braves,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8510,2/3/89,Wallace Johnson,1989,Expos,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8511,2/3/89,Harold Reynolds,1989,Mariners,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8512,2/3/89,Ron Guidry,1989,Yankees,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8513,2/4/89,Albert Hall,1989,Braves,"re-signed to a 1-year, $250K contract (player lost salary arbitration)",re-signinging,0,1,1989,1990,,1989
8514,2/4/89,Scott Bradley,1989,Mariners,"re-signed to a 1-year, $290K contract",re-signinging,0,1,1989,1990,,1989
8515,2/6/89,Barry Lyons,1989,Mets,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8516,2/6/89,Curt Ford,1989,Phillies,"signed to a 1-year, $111K contract",free agency,0,1,1989,1990,,1989
8517,2/6/89,Danny Heep,1989,Red Sox,"signed free agent to a 1-year, $285K contract (plus $40K in incentives)",free agency,0,1,1989,1990,,1989
8518,2/6/89,Mike Macfarlane,1989,Royals,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8519,2/7/89,Bob Kipper,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8520,2/7/89,Chris Hammond,1989,Reds,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8521,2/7/89,John Franco,1989,Reds,"re-signed to a 1-year, $1.1M contract",re-signinging,1.1,1,1989,1990,,1989
8522,2/7/89,Lenny Harris,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8524,2/7/89,Ron Washington,1989,Astros,signed free agent (from Indians),free agency,0,1,1989,1990,,1989
8525,2/8/89,Kelly Gruber,1989,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8527,2/8/89,Greg Vaughn,1989,Brewers,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8529,2/8/89,Mark Knudson,1989,Brewers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8530,2/8/89,Tim Watkins,1989,Brewers,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8531,2/8/89,Tim Burke,1989,Expos,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8534,2/8/89,Dwight Gooden,1989,Mets,re-signed to a 3-year contract,re-signinging,0,3,1989,1992,,1989
8535,2/8/89,Rick Parker,1989,Phillies,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8536,2/8/89,Steve Jeltz,1989,Phillies,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8541,2/8/89,Doug Baker,1989,Twins,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8542,2/8/89,Ozzie Guillen,1989,White Sox,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8543,2/9/89,Tim Wallach,1989,Expos,re-signed to a 2-year contract extension,re-signinging,0,2,1989,1991,,1989
8544,2/9/89,Joe Oliver,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8545,2/9/89,Marty Brown,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8546,2/9/89,Reggie Jefferson,1989,Reds,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8547,2/10/89,Tom Candiotti,1989,Indians,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8548,2/10/89,Jose Rijo,1989,Reds,re-signed,re-signinging,0,1,1989,1990,,1989
8549,2/10/89,Bill Wegman,1989,Brewers,re-signed,re-signinging,0,1,1989,1990,,1989
8550,2/10/89,Gary Sheffield,1989,Brewers,re-signed,re-signinging,0,1,1989,1990,,1989
8551,2/10/89,Curtis Wilkerson,1989,Cubs,re-signed to a 2-year contract,re-signinging,0,2,1989,1991,,1989
8552,2/11/89,Vince Coleman,1989,Cardinals,"re-signed to a 1-year, $775K contract (player lost salary arbitration)",re-signinging,0,1,1989,1990,,1989
8553,2/11/89,Carlton Fisk,1989,White Sox,"re-signed to a 1-year, $1.3M contract",re-signinging,1.3,1,1989,1990,,1989
8555,2/16/89,Orel Hershiser,1989,Dodgers,re-signed to a 3-year contract,re-signinging,0,3,1989,1992,,1989
8556,2/16/89,Brian Holman,1989,Expos,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8558,2/16/89,Pete Incaviglia,1989,Rangers,re-signed (player lost salary arbitration),re-signinging,0,1,1989,1990,,1989
8559,2/16/89,Eric Davis,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8560,2/16/89,Tom Browning,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8561,2/18/89,Charlie Kerfeld,1989,Astros,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8562,2/18/89,Eric Anthony,1989,Astros,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8563,2/18/89,Fred Costello,1989,Astros,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8564,2/18/89,Karl Rhodes,1989,Astros,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8565,2/18/89,Sam August,1989,Astros,signed to a 1-year contract,free agency,0,1,1989,1990,,1989
8566,2/19/89,Jose Alvarez,1989,Braves,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8569,2/21/89,Alex Cole,1989,Cardinals,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8570,2/21/89,Wally Whitehurst,1989,Mets,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8571,2/21/89,Doug Drabek,1989,Pirates,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8573,2/21/89,Luis Rivera,1989,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8574,2/21/89,Mike Greenwell,1989,Red Sox,"re-signed to a 2-year, $1.7M contract",re-signinging,1.7,2,1989,1991,,1989
8575,2/21/89,Randy St. Claire,1989,Reds,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8576,2/21/89,Kevin Seitzer,1989,Royals,re-signed to a 1-year contract,re-signinging,0,1,1989,1990,,1989
8578,2/21/89,Brian Giles,1989,Indians,signed free agent (from Mariners),free agency,0,1,1989,1990,,1989
8579,2/21/89,Doug Henry,1989,Brewers,signed,free agency,0,1,1989,1990,,1989
8580,2/21/89,George Canale,1989,Brewers,signed,free agency,0,1,1989,1990,,1989
8581,2/21/89,Jay Aldrich,1989,Brewers,re-signed,re-signinging,0,1,1989,1990,,1989
8582,2/21/89,Matias Carrillo,1989,Brewers,signed,free agency,0,1,1989,1990,,1989
8583,2/21/89,Mike Felder,1989,Brewers,re-signed,re-signinging,0,1,1989,1990,,1989
8584,2/21/89,Tom Filer,1989,Brewers,signed,free agency,0,1,1989,1990,,1989
8586,2/22/89,Jim Pankovits,1989,Pirates,signed free agent,free agency,0,1,1989,1990,,1989
8587,2/23/89,Jeff Manto,1989,Angels,signed,free agency,0,1,1989,1990,,1989
8588,2/23/89,Lee Stevens,1989,Angels,signed,free agency,0,1,1989,1990,,1989
