"","League","Variable","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value"
"124","MLB","Average Premium Ticket","Franchise","New York Mets","Dollars","Team Marketing Report",2012,NA,91.76
"125","MLB","Average Premium Ticket","Franchise","Minnesota Twins","Dollars","Team Marketing Report",2012,NA,71.08
"126","MLB","Average Premium Ticket","Franchise","St. Louis Cardinals","Dollars","Team Marketing Report",2012,NA,73.97
"127","MLB","Average Premium Ticket","Franchise","Houston Astros","Dollars","Team Marketing Report",2012,NA,51.24
"128","MLB","Average Premium Ticket","Franchise","San Francisco Giants","Dollars","Team Marketing Report",2012,NA,82.45
"129","MLB","Average Premium Ticket","Franchise","Chicago White Sox","Dollars","Team Marketing Report",2012,NA,90.97
"130","MLB","Average Premium Ticket","Franchise","Toronto Blue Jays","Dollars","Team Marketing Report",2012,NA,58.52
"131","MLB","Average Premium Ticket","Franchise","Los Angeles Dodgers","Dollars","Team Marketing Report",2012,NA,222.38
"132","MLB","Average Premium Ticket","Franchise","Washington Nationals","Dollars","Team Marketing Report",2012,NA,166.25
"133","MLB","Average Premium Ticket","Franchise","Seattle Mariners","Dollars","Team Marketing Report",2012,NA,56.98
"134","MLB","Average Premium Ticket","Franchise","Oakland Athletics","Dollars","Team Marketing Report",2012,NA,46.28
"135","MLB","Average Premium Ticket","Franchise","Kansas City Royals","Dollars","Team Marketing Report",2012,NA,92.38
"136","MLB","Average Premium Ticket","Franchise","Colorado Rockies","Dollars","Team Marketing Report",2012,NA,38
"137","MLB","Average Premium Ticket","Franchise","Texas Rangers","Dollars","Team Marketing Report",2012,NA,50.2
"138","MLB","Average Premium Ticket","Franchise","Baltimore Orioles","Dollars","Team Marketing Report",2012,NA,43.9
"139","MLB","Average Premium Ticket","Franchise","Cleveland Indians","Dollars","Team Marketing Report",2012,NA,65.93
"140","MLB","Average Premium Ticket","Franchise","Atlanta Braves","Dollars","Team Marketing Report",2012,NA,43.46
"141","MLB","Average Premium Ticket","Franchise","Milwaukee Brewers","Dollars","Team Marketing Report",2012,NA,42.53
"142","MLB","Average Premium Ticket","Franchise","Cincinnati Reds","Dollars","Team Marketing Report",2012,NA,59.56
"143","MLB","Average Premium Ticket","Franchise","Los Angeles Angels","Dollars","Team Marketing Report",2012,NA,74.21
"144","MLB","Average Premium Ticket","Franchise","Tampa Bay Rays","Dollars","Team Marketing Report",2012,NA,82.31
"145","MLB","Average Premium Ticket","Franchise","Pittsburgh Pirates","Dollars","Team Marketing Report",2012,NA,49.38
"146","MLB","Average Premium Ticket","Franchise","San Diego Padres","Dollars","Team Marketing Report",2012,NA,37.83
"147","MLB","Average Premium Ticket","Franchise","Arizona Diamondbacks","Dollars","Team Marketing Report",2012,NA,58.28
"148","MLB","Fan Cost Index","Franchise","Boston Red Sox","Dollars","Team Marketing Report",2012,NA,336.99
"149","MLB","Fan Cost Index","Franchise","New York Yankees","Dollars","Team Marketing Report",2012,NA,324.3
"150","MLB","Fan Cost Index","Franchise","Chicago Cubs","Dollars","Team Marketing Report",2012,NA,300.29
"151","MLB","Fan Cost Index","Franchise","Philadelphia Phillies","Dollars","Team Marketing Report",2012,NA,257.16
"152","MLB","Fan Cost Index","Franchise","Miami Marlins","Dollars","Team Marketing Report",2012,NA,242.47
"153","MLB","Fan Cost Index","Franchise","Detroit Tigers","Dollars","Team Marketing Report",2012,NA,233.49
"154","MLB","Fan Cost Index","Franchise","New York Mets","Dollars","Team Marketing Report",2012,NA,230.44
"155","MLB","Fan Cost Index","Franchise","Minnesota Twins","Dollars","Team Marketing Report",2012,NA,225.14
"156","MLB","Fan Cost Index","Franchise","St. Louis Cardinals","Dollars","Team Marketing Report",2012,NA,224.76
"157","MLB","Fan Cost Index","Franchise","Houston Astros","Dollars","Team Marketing Report",2012,NA,224.33
"158","MLB","Fan Cost Index","Franchise","San Francisco Giants","Dollars","Team Marketing Report",2012,NA,224.32
"159","MLB","Fan Cost Index","Franchise","Chicago White Sox","Dollars","Team Marketing Report",2012,NA,222.98
"160","MLB","Fan Cost Index","Franchise","Toronto Blue Jays","Dollars","Team Marketing Report",2012,NA,216.89
"161","MLB","Fan Cost Index","Franchise","Los Angeles Dodgers","Dollars","Team Marketing Report",2012,NA,213.36
"162","MLB","Fan Cost Index","Franchise","Washington Nationals","Dollars","Team Marketing Report",2012,NA,196.34
"163","MLB","Fan Cost Index","Franchise","Seattle Mariners","Dollars","Team Marketing Report",2012,NA,198.16
"164","MLB","Fan Cost Index","Franchise","Oakland Athletics","Dollars","Team Marketing Report",2012,NA,195.57
"165","MLB","Fan Cost Index","Franchise","Kansas City Royals","Dollars","Team Marketing Report",2012,NA,186.55
"166","MLB","Fan Cost Index","Franchise","Colorado Rockies","Dollars","Team Marketing Report",2012,NA,185.33
"167","MLB","Fan Cost Index","Franchise","Texas Rangers","Dollars","Team Marketing Report",2012,NA,184.2
"168","MLB","Fan Cost Index","Franchise","Baltimore Orioles","Dollars","Team Marketing Report",2012,NA,183.93
"169","MLB","Fan Cost Index","Franchise","Cleveland Indians","Dollars","Team Marketing Report",2012,NA,176.04
"170","MLB","Fan Cost Index","Franchise","Atlanta Braves","Dollars","Team Marketing Report",2012,NA,173.66
"171","MLB","Fan Cost Index","Franchise","Milwaukee Brewers","Dollars","Team Marketing Report",2012,NA,171.74
"172","MLB","Fan Cost Index","Franchise","Cincinnati Reds","Dollars","Team Marketing Report",2012,NA,171.52
"173","MLB","Fan Cost Index","Franchise","Los Angeles Angels","Dollars","Team Marketing Report",2012,NA,165.95
"174","MLB","Fan Cost Index","Franchise","Tampa Bay Rays","Dollars","Team Marketing Report",2012,NA,153.3
"175","MLB","Fan Cost Index","Franchise","Pittsburgh Pirates","Dollars","Team Marketing Report",2012,NA,152.41
"176","MLB","Fan Cost Index","Franchise","San Diego Padres","Dollars","Team Marketing Report",2012,NA,150.66
"177","MLB","Fan Cost Index","Franchise","Arizona Diamondbacks","Dollars","Team Marketing Report",2012,NA,145.94
"178","MLB","Number of Games","Event","World Series","Games","MLB",2003,NA,6
"179","MLB","Number of Games","Event","World Series","Games","MLB",2004,NA,4
"180","MLB","Number of Games","Event","World Series","Games","MLB",2005,NA,4
"181","MLB","Number of Games","Event","World Series","Games","MLB",2006,NA,5
"182","MLB","Number of Games","Event","World Series","Games","MLB",2007,NA,4
"183","MLB","Number of Games","Event","World Series","Games","MLB",2008,NA,5
"184","MLB","Number of Games","Event","World Series","Games","MLB",2009,NA,6
"185","MLB","Number of Games","Event","World Series","Games","MLB",2010,NA,5
